T	<m>	d<m>
2.260	0.491	0.104
2.260	-0.644	0.114
2.260	-0.257	0.076
2.260	0.641	0.099
2.260	0.633	0.110
2.260	0.329	0.098
2.260	-0.674	0.107
2.260	0.652	0.105
2.260	-0.358	0.105
2.260	0.434	0.118
2.260	0.665	0.094
2.260	-0.588	0.124
2.260	-0.335	0.099
2.260	-0.443	0.088
2.260	0.558	0.120
2.260	0.152	0.071
2.260	-0.172	0.098
2.260	-0.434	0.109
2.260	-0.749	0.092
2.260	0.493	0.105
2.260	-0.681	0.106
2.260	0.401	0.113
2.260	0.144	0.085
2.260	-0.686	0.112
2.260	0.529	0.102
2.260	0.653	0.104
2.260	0.564	0.121
2.260	-0.632	0.097
2.260	0.424	0.122
2.260	0.707	0.095
2.260	-0.691	0.104
2.260	0.597	0.089
2.260	0.713	0.098
2.260	0.661	0.102
2.260	0.402	0.114
2.260	0.426	0.102
2.260	0.677	0.094
2.260	-0.516	0.106
2.260	-0.644	0.119
2.260	-0.700	0.107
2.260	-0.632	0.086
2.260	-0.710	0.104
2.260	-0.536	0.113
2.260	0.533	0.120
2.260	-0.654	0.102
2.260	0.364	0.086
2.260	0.513	0.105
2.260	0.499	0.117
2.260	-0.637	0.102
2.260	0.716	0.108
2.260	-0.753	0.086
2.260	-0.556	0.105
2.260	0.332	0.104
2.260	-0.695	0.113
2.260	-0.598	0.118
2.260	-0.666	0.110
2.260	0.632	0.106
2.260	0.553	0.105
2.260	-0.573	0.096
2.260	0.491	0.114
2.260	0.704	0.086
2.260	0.631	0.115
2.260	0.604	0.085
2.260	0.662	0.105
2.260	0.513	0.097
2.260	0.654	0.092
2.260	-0.572	0.118
2.260	0.744	0.090
2.260	-0.606	0.101
2.260	-0.486	0.089
2.260	0.642	0.112
2.260	-0.693	0.098
2.260	-0.643	0.103
2.260	0.616	0.122
2.260	0.675	0.103
2.260	-0.523	0.096
2.260	-0.681	0.097
2.260	-0.360	0.114
2.260	0.290	0.104
2.260	0.609	0.113
2.260	0.750	0.096
2.260	0.587	0.113
2.260	0.707	0.100
2.260	-0.693	0.087
2.260	0.638	0.098
2.260	-0.568	0.081
2.260	0.652	0.110
2.260	0.696	0.111
2.260	-0.438	0.130
2.260	0.671	0.111
2.260	-0.543	0.100
2.260	0.449	0.103
2.260	0.603	0.100
2.260	0.518	0.110
