T	<m>	d<m>
2.260	0.491	0.080
2.260	-0.631	0.105
2.260	0.730	0.087
2.260	-0.517	0.110
2.260	-0.478	0.111
2.260	-0.678	0.098
2.260	0.468	0.106
2.260	-0.323	0.089
2.260	0.680	0.104
2.260	0.629	0.111
2.260	0.673	0.113
2.260	-0.724	0.092
2.260	-0.566	0.119
2.260	-0.516	0.101
2.260	0.654	0.114
2.260	-0.667	0.106
2.260	-0.471	0.105
2.260	0.595	0.105
2.260	-0.361	0.121
2.260	0.646	0.098
2.260	-0.634	0.109
2.260	0.579	0.122
2.260	0.627	0.095
2.260	0.548	0.100
2.260	0.641	0.095
2.260	0.624	0.106
2.260	0.513	0.107
2.260	-0.648	0.109
2.260	0.642	0.098
2.260	-0.711	0.094
2.260	0.685	0.103
2.260	-0.703	0.105
2.260	0.093	0.071
2.260	0.589	0.115
2.260	0.511	0.123
2.260	-0.654	0.111
2.260	0.607	0.107
2.260	0.595	0.118
2.260	-0.565	0.108
2.260	0.255	0.102
2.260	-0.411	0.101
2.260	0.111	0.098
2.260	0.716	0.101
2.260	0.677	0.099
2.260	-0.510	0.092
2.260	-0.619	0.104
2.260	0.584	0.109
2.260	-0.588	0.108
2.260	-0.107	0.078
2.260	0.522	0.121
2.260	-0.650	0.109
2.260	-0.530	0.121
2.260	-0.603	0.113
2.260	-0.687	0.104
2.260	-0.404	0.118
2.260	-0.389	0.117
2.260	0.039	0.105
2.260	-0.523	0.105
2.260	-0.324	0.113
2.260	0.615	0.107
2.260	0.370	0.115
2.260	0.745	0.099
2.260	-0.144	0.121
2.260	-0.339	0.119
2.260	-0.623	0.119
2.260	0.635	0.111
2.260	-0.635	0.114
2.260	-0.699	0.102
2.260	0.446	0.118
2.260	-0.612	0.124
2.260	-0.550	0.114
2.260	0.696	0.101
2.260	-0.221	0.093
2.260	-0.131	0.082
2.260	0.606	0.103
2.260	-0.323	0.113
2.260	-0.674	0.091
2.260	-0.626	0.096
2.260	-0.629	0.100
2.260	0.504	0.102
2.260	-0.638	0.097
2.260	-0.491	0.102
2.260	0.628	0.099
2.260	0.685	0.097
2.260	0.679	0.108
2.260	0.572	0.093
2.260	0.575	0.106
2.260	0.726	0.091
2.260	-0.642	0.096
2.260	0.542	0.088
2.260	-0.391	0.108
2.260	-0.643	0.111
2.260	-0.230	0.112
2.260	0.588	0.111
2.260	-0.664	0.093
2.260	-0.678	0.104
2.260	-0.307	0.110
2.260	-0.623	0.105
2.260	0.568	0.120
2.260	-0.458	0.104
2.260	-0.566	0.097
2.260	0.605	0.113
2.260	-0.704	0.094
2.260	0.182	0.071
2.260	0.537	0.115
2.260	-0.539	0.102
2.260	-0.116	0.084
2.260	0.583	0.101
2.260	-0.545	0.109
2.260	0.570	0.098
2.260	0.681	0.111
2.260	0.298	0.105
2.260	0.606	0.104
2.260	-0.153	0.095
2.260	0.489	0.116
2.260	0.078	0.088
2.260	0.644	0.099
2.260	-0.682	0.096
2.260	0.675	0.094
2.260	-0.561	0.121
2.260	0.555	0.113
2.260	0.643	0.102
2.260	0.383	0.099
2.260	0.606	0.106
2.260	0.682	0.102
2.260	-0.610	0.121
2.260	-0.626	0.112
2.260	-0.238	0.115
2.260	-0.644	0.109
2.260	-0.561	0.109
2.260	-0.579	0.099
2.260	-0.543	0.115
2.260	0.735	0.101
2.260	-0.336	0.103
2.260	0.695	0.104
2.260	-0.637	0.106
2.260	0.664	0.113
2.260	0.668	0.091
2.260	0.616	0.117
2.260	-0.580	0.097
2.260	0.547	0.134
2.260	0.369	0.110
2.260	-0.490	0.100
2.260	0.427	0.121
2.260	0.673	0.094
2.260	0.559	0.098
2.260	-0.647	0.088
2.260	0.657	0.109
2.260	0.468	0.110
2.260	-0.588	0.124
2.260	0.690	0.110
2.260	0.280	0.087
2.260	0.619	0.091
2.260	0.346	0.097
2.260	-0.484	0.124
2.260	-0.563	0.104
2.260	0.447	0.113
2.260	0.430	0.120
2.260	-0.746	0.092
2.260	0.644	0.123
2.260	-0.570	0.090
2.260	-0.376	0.100
2.260	-0.572	0.111
2.260	0.665	0.118
2.260	-0.562	0.113
2.260	-0.674	0.107
2.260	-0.644	0.089
2.260	0.494	0.096
2.260	0.630	0.102
2.260	0.604	0.110
2.260	-0.551	0.109
2.260	0.497	0.124
2.260	0.322	0.107
2.260	-0.447	0.121
2.260	0.639	0.091
2.260	0.648	0.104
2.260	-0.702	0.093
2.260	-0.469	0.102
2.260	-0.699	0.096
2.260	0.553	0.108
2.260	0.577	0.107
2.260	0.577	0.105
2.260	0.698	0.100
2.260	-0.644	0.097
2.260	0.588	0.108
2.260	0.543	0.108
2.260	0.720	0.093
2.260	-0.620	0.107
2.260	0.582	0.103
2.260	0.646	0.090
2.260	0.526	0.112
2.260	-0.646	0.099
2.260	0.594	0.109
2.260	0.607	0.105
2.260	-0.444	0.119
2.260	-0.700	0.099
2.260	-0.466	0.123
2.260	-0.567	0.114
2.260	0.520	0.101
2.260	0.734	0.101
2.260	0.624	0.105
2.260	-0.405	0.111
2.260	0.635	0.102
2.260	-0.624	0.106
2.260	-0.700	0.104
2.260	0.675	0.101
2.260	-0.590	0.099
2.260	-0.138	0.073
2.260	-0.456	0.105
2.260	0.647	0.098
2.260	0.229	0.100
2.260	-0.473	0.131
2.260	0.563	0.100
2.260	-0.616	0.107
2.260	-0.645	0.107
2.260	-0.493	0.108
2.260	0.690	0.117
2.260	0.711	0.092
2.260	-0.567	0.098
2.260	0.402	0.089
2.260	-0.395	0.087
2.260	-0.603	0.101
2.260	0.560	0.111
2.260	0.571	0.112
2.260	-0.643	0.101
2.260	0.599	0.099
2.260	-0.184	0.083
2.260	-0.291	0.109
2.260	-0.699	0.096
2.260	-0.576	0.115
2.260	-0.593	0.100
2.260	0.614	0.096
2.260	0.585	0.124
2.260	-0.515	0.114
2.260	-0.637	0.094
2.260	-0.598	0.107
2.260	-0.244	0.082
2.260	0.589	0.115
2.260	-0.670	0.098
2.260	0.673	0.087
2.260	0.644	0.112
2.260	0.683	0.105
2.260	-0.392	0.117
2.260	0.683	0.099
2.260	-0.429	0.097
2.260	0.253	0.100
2.260	-0.695	0.086
2.260	-0.655	0.122
2.260	-0.645	0.113
2.260	0.570	0.105
2.260	-0.247	0.109
2.260	0.377	0.114
2.260	-0.650	0.106
2.260	-0.232	0.096
2.260	0.545	0.122
2.260	0.667	0.112
2.260	0.466	0.109
2.260	-0.692	0.096
2.260	0.663	0.112
2.260	-0.333	0.104
2.260	-0.534	0.114
2.260	-0.294	0.102
2.260	-0.577	0.117
2.260	0.465	0.104
2.260	-0.371	0.099
2.260	0.167	0.102
2.260	0.663	0.103
2.260	-0.575	0.098
2.260	0.615	0.093
2.260	0.561	0.111
2.260	-0.625	0.109
2.260	-0.628	0.112
2.260	-0.600	0.104
2.260	0.480	0.114
2.260	0.534	0.103
2.260	-0.649	0.116
2.260	-0.537	0.110
2.260	-0.519	0.112
2.260	-0.581	0.123
2.260	0.651	0.093
2.260	-0.442	0.099
2.260	0.711	0.108
2.260	-0.549	0.131
2.260	-0.434	0.115
2.260	0.699	0.113
2.260	-0.709	0.106
2.260	-0.618	0.114
2.260	-0.690	0.117
2.260	0.456	0.122
2.260	-0.517	0.095
2.260	0.446	0.117
2.260	-0.632	0.104
2.260	0.599	0.123
2.260	0.600	0.117
2.260	0.317	0.098
2.260	0.571	0.109
2.260	-0.655	0.103
2.260	0.619	0.120
2.260	-0.563	0.117
2.260	0.704	0.090
2.260	-0.371	0.089
2.260	0.150	0.082
2.260	-0.573	0.125
2.260	-0.601	0.129
2.260	-0.663	0.105
2.260	0.211	0.091
2.260	-0.639	0.105
2.260	0.645	0.105
2.260	-0.690	0.089
2.260	-0.383	0.117
2.260	0.504	0.121
2.260	-0.052	0.071
2.260	0.500	0.117
2.260	0.635	0.115
2.260	-0.518	0.111
2.260	-0.604	0.107
2.260	-0.639	0.106
2.260	0.429	0.109
2.260	-0.596	0.103
2.260	0.688	0.106
2.260	-0.724	0.112
2.260	0.601	0.107
2.260	-0.467	0.108
2.260	0.579	0.117
2.260	0.120	0.075
2.260	-0.302	0.099
2.260	0.240	0.102
2.260	-0.581	0.105
2.260	0.202	0.076
2.260	0.475	0.111
2.260	-0.401	0.107
2.260	-0.541	0.101
2.260	0.416	0.110
2.260	-0.492	0.107
2.260	0.607	0.100
2.260	-0.610	0.110
2.260	0.538	0.116
2.260	-0.675	0.103
2.260	-0.699	0.114
2.260	0.420	0.114
2.260	0.700	0.109
2.260	0.604	0.110
2.260	0.652	0.124
2.260	0.275	0.072
2.260	0.670	0.106
2.260	0.180	0.078
2.260	-0.561	0.116
2.260	0.472	0.117
2.260	0.564	0.119
2.260	-0.489	0.116
2.260	-0.688	0.100
2.260	0.111	0.074
2.260	0.461	0.098
2.260	0.641	0.107
2.260	-0.525	0.103
2.260	0.665	0.100
2.260	0.723	0.095
2.260	-0.551	0.106
2.260	-0.562	0.120
2.260	-0.150	0.095
2.260	-0.501	0.094
2.260	0.726	0.089
2.260	0.629	0.116
2.260	-0.088	0.103
2.260	0.685	0.101
2.260	0.714	0.091
2.260	-0.543	0.123
2.260	0.561	0.100
2.260	-0.729	0.099
2.260	-0.571	0.104
2.260	-0.477	0.107
2.260	-0.263	0.087
2.260	-0.695	0.090
2.260	-0.598	0.113
2.260	0.673	0.113
2.260	0.590	0.100
2.260	-0.561	0.111
2.260	-0.592	0.105
2.260	0.474	0.114
2.260	-0.573	0.116
2.260	0.552	0.084
2.260	0.717	0.104
2.260	-0.518	0.104
2.260	-0.475	0.102
2.260	0.579	0.101
2.260	-0.580	0.099
2.260	-0.688	0.104
2.260	0.543	0.105
2.260	-0.671	0.107
2.260	0.623	0.115
2.260	0.551	0.092
2.260	0.370	0.108
2.260	0.492	0.112
2.260	-0.287	0.090
2.260	-0.673	0.091
2.260	0.181	0.081
2.260	-0.561	0.095
2.260	-0.685	0.116
2.260	-0.471	0.101
2.260	-0.553	0.099
2.260	0.385	0.112
2.260	-0.577	0.099
2.260	-0.403	0.117
2.260	0.280	0.106
2.260	-0.051	0.091
2.260	0.571	0.109
2.260	0.687	0.092
2.260	-0.532	0.105
2.260	0.634	0.106
2.260	-0.126	0.072
2.260	-0.753	0.090
2.260	0.690	0.095
2.260	-0.509	0.091
2.260	-0.260	0.090
2.260	0.653	0.090
2.260	0.512	0.125
2.260	0.638	0.100
2.260	0.593	0.113
2.260	0.162	0.079
2.260	0.594	0.096
2.260	0.022	0.076
2.260	-0.621	0.098
2.260	0.506	0.088
2.260	-0.321	0.116
2.260	0.486	0.112
2.260	-0.047	0.073
2.260	0.657	0.096
2.260	0.543	0.109
2.260	-0.174	0.094
2.260	0.495	0.107
2.260	-0.312	0.113
2.260	-0.681	0.108
2.260	0.328	0.111
2.260	-0.616	0.098
2.260	-0.231	0.087
2.260	0.545	0.125
2.260	-0.216	0.079
2.260	0.200	0.106
2.260	-0.345	0.107
2.260	-0.347	0.098
2.260	-0.696	0.108
2.260	0.755	0.081
2.260	0.615	0.122
2.260	0.586	0.108
2.260	0.710	0.091
2.260	0.498	0.111
2.260	-0.607	0.106
2.260	-0.043	0.086
2.260	0.688	0.088
2.260	0.614	0.103
2.260	-0.406	0.098
2.260	-0.691	0.099
2.260	0.254	0.086
2.260	0.418	0.099
2.260	0.698	0.099
2.260	-0.380	0.114
2.260	-0.660	0.121
2.260	-0.726	0.092
2.260	0.735	0.091
2.260	-0.617	0.100
2.260	-0.527	0.122
2.260	-0.694	0.100
2.260	-0.672	0.095
2.260	0.601	0.107
2.260	0.722	0.113
2.260	-0.433	0.121
2.260	-0.689	0.102
2.260	-0.628	0.112
2.260	0.593	0.105
2.260	0.476	0.091
2.260	-0.082	0.081
2.260	-0.096	0.096
2.260	-0.699	0.093
2.260	-0.275	0.104
2.260	-0.506	0.106
2.260	0.709	0.103
2.260	-0.521	0.115
2.260	-0.373	0.093
2.260	-0.512	0.102
2.260	0.619	0.103
2.260	-0.357	0.105
2.260	0.673	0.088
2.260	-0.670	0.100
2.260	-0.630	0.112
2.260	-0.636	0.105
2.260	-0.685	0.099
2.260	0.716	0.091
2.260	-0.735	0.087
2.260	0.644	0.111
2.260	0.620	0.109
2.260	0.252	0.075
2.260	0.584	0.104
2.260	0.298	0.103
2.260	-0.117	0.096
2.260	-0.266	0.104
2.260	-0.525	0.114
2.260	-0.472	0.099
2.260	0.468	0.107
2.260	-0.561	0.098
2.260	-0.542	0.105
2.260	0.498	0.101
2.260	0.614	0.098
2.260	0.634	0.098
2.260	0.631	0.094
2.260	-0.648	0.092
2.260	0.687	0.100
2.260	0.584	0.100
2.260	-0.588	0.127
2.260	-0.676	0.107
2.260	0.547	0.111
2.260	-0.677	0.095
2.260	0.355	0.083
2.260	-0.665	0.104
2.260	-0.440	0.102
2.260	0.134	0.072
2.260	0.497	0.104
2.260	0.703	0.099
2.260	-0.429	0.086
2.260	-0.638	0.107
2.260	-0.587	0.094
2.260	-0.212	0.117
2.260	-0.499	0.114
2.260	-0.530	0.116
2.260	-0.678	0.109
2.260	0.637	0.094
2.260	0.641	0.104
2.260	-0.690	0.102
2.260	-0.675	0.097
2.260	0.640	0.092
2.260	0.653	0.108
2.260	-0.702	0.102
2.260	-0.278	0.074
2.260	-0.411	0.085
2.260	-0.685	0.105
2.260	-0.735	0.084
2.260	0.635	0.112
2.260	-0.025	0.076
2.260	-0.626	0.104
2.260	-0.434	0.103
2.260	0.697	0.095
2.260	0.688	0.101
2.260	0.673	0.114
2.260	-0.601	0.110
2.260	-0.322	0.098
2.260	0.340	0.091
2.260	-0.551	0.109
2.260	0.536	0.115
2.260	0.282	0.109
2.260	-0.679	0.109
2.260	0.667	0.089
2.260	-0.670	0.086
2.260	0.650	0.097
2.260	-0.561	0.100
2.260	0.606	0.100
2.260	0.613	0.110
2.260	0.538	0.113
2.260	0.345	0.114
2.260	0.699	0.092
2.260	0.416	0.116
2.260	-0.408	0.109
2.260	-0.711	0.099
2.260	0.696	0.097
2.260	0.548	0.121
2.260	-0.269	0.116
2.260	0.047	0.124
2.260	-0.395	0.107
2.260	-0.614	0.103
2.260	0.033	0.072
2.260	-0.649	0.082
2.260	0.662	0.097
2.260	0.660	0.102
2.260	0.654	0.105
2.260	-0.685	0.106
2.260	0.535	0.114
2.260	0.531	0.105
2.260	0.082	0.089
2.260	-0.591	0.105
2.260	0.622	0.102
2.260	0.124	0.089
2.260	0.200	0.103
2.260	0.371	0.097
2.260	-0.625	0.106
2.260	0.653	0.098
2.260	0.327	0.105
2.260	0.694	0.100
2.260	0.577	0.113
2.260	0.386	0.122
2.260	-0.606	0.105
2.260	0.594	0.109
2.260	-0.388	0.119
2.260	0.641	0.099
2.260	-0.712	0.093
2.260	-0.595	0.117
2.260	0.612	0.113
2.260	-0.581	0.112
2.260	-0.694	0.103
2.260	-0.560	0.101
2.260	-0.373	0.115
2.260	0.621	0.099
2.260	-0.703	0.099
2.260	0.226	0.088
2.260	-0.602	0.098
2.260	-0.520	0.097
2.260	-0.123	0.071
2.260	-0.669	0.108
2.260	-0.422	0.105
2.260	-0.252	0.111
2.260	0.192	0.094
2.260	-0.526	0.123
2.260	0.590	0.106
2.260	-0.452	0.123
2.260	-0.705	0.100
2.260	0.576	0.108
2.260	0.658	0.107
2.260	-0.388	0.105
2.260	0.086	0.093
2.260	0.710	0.095
2.260	-0.634	0.130
2.260	0.697	0.100
2.260	-0.714	0.106
2.260	0.268	0.087
2.260	-0.696	0.094
2.260	0.675	0.109
2.260	0.206	0.073
2.260	-0.573	0.114
2.260	0.526	0.112
2.260	-0.664	0.087
2.260	0.707	0.094
2.260	-0.366	0.110
2.260	-0.549	0.113
2.260	-0.525	0.117
2.260	0.612	0.113
2.260	-0.578	0.095
2.260	-0.390	0.115
2.260	0.642	0.099
2.260	0.721	0.091
2.260	-0.575	0.104
2.260	0.699	0.101
2.260	-0.697	0.090
2.260	-0.636	0.108
2.260	-0.710	0.092
2.260	-0.634	0.097
2.260	-0.492	0.087
2.260	-0.638	0.123
2.260	-0.402	0.101
2.260	-0.274	0.114
2.260	0.635	0.091
2.260	0.727	0.084
2.260	-0.380	0.112
2.260	-0.577	0.125
2.260	0.551	0.101
2.260	-0.503	0.110
2.260	-0.614	0.099
2.260	-0.708	0.109
2.260	0.636	0.096
2.260	-0.523	0.104
2.260	0.688	0.103
2.260	0.648	0.102
2.260	0.374	0.108
2.260	-0.636	0.106
2.260	0.524	0.107
2.260	-0.500	0.110
2.260	0.633	0.099
2.260	-0.692	0.098
2.260	-0.614	0.087
2.260	-0.563	0.107
2.260	-0.640	0.113
2.260	0.326	0.078
2.260	-0.493	0.124
2.260	-0.334	0.097
2.260	-0.704	0.096
2.260	-0.611	0.104
2.260	0.149	0.078
2.260	-0.371	0.083
2.260	0.362	0.116
2.260	0.384	0.117
2.260	-0.101	0.066
2.260	-0.521	0.112
2.260	-0.713	0.103
2.260	-0.564	0.086
2.260	-0.583	0.114
2.260	-0.724	0.105
2.260	-0.559	0.097
2.260	0.532	0.108
2.260	-0.699	0.105
2.260	0.521	0.109
2.260	-0.697	0.089
2.260	-0.439	0.103
2.260	-0.671	0.112
2.260	-0.647	0.109
2.260	0.307	0.077
2.260	0.623	0.107
2.260	0.612	0.096
2.260	0.702	0.088
2.260	-0.366	0.107
2.260	0.308	0.119
2.260	-0.644	0.089
2.260	-0.611	0.092
2.260	-0.670	0.100
2.260	-0.700	0.103
2.260	0.689	0.098
2.260	-0.274	0.122
2.260	-0.556	0.107
2.260	0.432	0.103
2.260	0.498	0.119
2.260	-0.573	0.122
2.260	-0.547	0.121
2.260	0.567	0.120
2.260	0.460	0.121
2.260	-0.531	0.103
2.260	-0.630	0.100
2.260	-0.736	0.098
2.260	0.674	0.104
2.260	-0.586	0.122
2.260	-0.382	0.109
2.260	0.584	0.117
2.260	-0.658	0.103
2.260	0.597	0.110
2.260	0.572	0.096
2.260	0.661	0.103
2.260	-0.640	0.101
2.260	-0.586	0.117
2.260	-0.572	0.106
2.260	0.611	0.118
2.260	-0.706	0.101
2.260	-0.711	0.093
2.260	0.568	0.101
2.260	0.687	0.106
2.260	-0.644	0.099
2.260	0.616	0.122
2.260	-0.542	0.107
2.260	-0.178	0.079
2.260	-0.606	0.112
2.260	0.322	0.123
2.260	-0.562	0.096
2.260	-0.562	0.124
2.260	-0.602	0.102
2.260	-0.257	0.077
2.260	-0.451	0.094
2.260	0.672	0.095
2.260	-0.565	0.110
2.260	-0.684	0.095
2.260	-0.450	0.118
2.260	-0.657	0.115
2.260	0.557	0.114
2.260	0.435	0.114
2.260	-0.545	0.096
2.260	0.599	0.127
2.260	-0.525	0.098
2.260	-0.395	0.107
2.260	0.365	0.083
2.260	0.620	0.120
2.260	-0.158	0.103
2.260	0.627	0.106
2.260	-0.708	0.103
2.260	-0.647	0.102
2.260	0.335	0.108
2.260	-0.652	0.106
2.260	-0.408	0.112
2.260	-0.710	0.105
2.260	-0.453	0.106
2.260	0.437	0.107
2.260	-0.633	0.125
2.260	-0.704	0.093
2.260	-0.535	0.117
2.260	-0.489	0.124
2.260	-0.662	0.109
2.260	-0.509	0.113
2.260	-0.077	0.087
2.260	-0.588	0.121
2.260	0.657	0.113
2.260	0.574	0.118
2.260	0.662	0.104
2.260	0.463	0.114
2.260	-0.660	0.108
2.260	0.436	0.115
2.260	-0.610	0.094
2.260	-0.609	0.102
2.260	-0.403	0.116
2.260	-0.389	0.106
2.260	0.488	0.115
2.260	0.686	0.108
2.260	0.097	0.074
2.260	0.675	0.102
2.260	-0.104	0.089
2.260	0.571	0.102
2.260	-0.500	0.114
2.260	0.498	0.115
2.260	-0.063	0.071
2.260	0.555	0.104
2.260	0.617	0.107
2.260	-0.536	0.097
2.260	-0.422	0.104
2.260	-0.727	0.094
2.260	0.602	0.118
2.260	0.588	0.119
2.260	-0.674	0.094
2.260	0.619	0.102
2.260	0.589	0.108
2.260	0.664	0.110
2.260	-0.687	0.101
2.260	-0.669	0.092
2.260	-0.717	0.099
2.260	0.685	0.106
2.260	0.447	0.103
2.260	-0.565	0.094
2.260	-0.493	0.097
2.260	0.625	0.094
2.260	-0.682	0.094
2.260	0.676	0.092
2.260	0.589	0.098
2.260	0.719	0.094
2.260	0.677	0.109
2.260	-0.631	0.105
2.260	0.487	0.107
2.260	0.643	0.093
2.260	0.653	0.095
2.260	-0.126	0.086
2.260	0.683	0.096
2.260	0.646	0.112
2.260	-0.730	0.094
2.260	0.013	0.099
2.260	-0.511	0.098
2.260	0.625	0.098
2.260	0.205	0.083
2.260	0.686	0.104
2.260	-0.681	0.110
2.260	-0.624	0.101
2.260	0.443	0.115
2.260	-0.717	0.099
2.260	0.451	0.103
2.260	-0.413	0.095
2.260	-0.620	0.110
2.260	0.249	0.111
2.260	-0.380	0.097
2.260	0.513	0.112
2.260	0.512	0.097
2.260	-0.654	0.098
2.260	0.670	0.094
2.260	0.231	0.105
2.260	0.627	0.093
2.260	-0.673	0.105
2.260	0.661	0.097
2.260	0.671	0.091
2.260	-0.476	0.113
2.260	0.305	0.092
2.260	0.574	0.112
2.260	-0.398	0.097
2.260	0.619	0.110
2.260	-0.685	0.094
2.260	0.666	0.092
2.260	-0.560	0.118
2.260	-0.660	0.105
2.260	-0.711	0.103
2.260	-0.680	0.102
2.260	-0.453	0.112
2.260	0.718	0.089
2.260	0.389	0.087
2.260	0.668	0.102
2.260	0.324	0.116
2.260	-0.497	0.091
2.260	-0.674	0.122
2.260	0.691	0.103
2.260	0.620	0.106
2.260	0.584	0.107
2.260	0.691	0.094
2.260	-0.312	0.077
2.260	-0.713	0.091
2.260	0.670	0.106
2.260	-0.604	0.099
2.260	0.530	0.101
2.260	0.656	0.117
2.260	0.607	0.115
2.260	0.375	0.112
2.260	0.503	0.089
2.260	0.120	0.078
2.260	0.572	0.105
2.260	-0.624	0.106
2.260	0.646	0.104
2.260	0.535	0.098
2.260	0.262	0.109
2.260	-0.453	0.108
2.260	0.716	0.089
2.260	0.562	0.113
2.260	0.572	0.102
2.260	-0.512	0.102
2.260	-0.662	0.103
2.260	0.663	0.102
2.260	0.602	0.113
2.260	-0.445	0.098
2.260	-0.649	0.111
2.260	-0.336	0.105
2.260	-0.123	0.071
2.260	0.710	0.105
2.260	0.709	0.093
2.260	0.610	0.115
2.260	-0.231	0.099
2.260	-0.058	0.109
2.260	-0.698	0.094
2.260	0.661	0.112
2.260	-0.506	0.108
2.260	-0.486	0.119
2.260	-0.637	0.114
2.260	-0.027	0.084
2.260	0.646	0.091
2.260	-0.625	0.102
2.260	0.588	0.108
2.260	-0.456	0.107
2.260	-0.534	0.092
2.260	-0.670	0.112
2.260	0.246	0.079
2.260	0.367	0.088
2.260	0.578	0.118
2.260	0.732	0.103
2.260	0.693	0.105
2.260	-0.567	0.102
2.260	-0.602	0.098
2.260	0.382	0.096
2.260	-0.573	0.087
2.260	0.357	0.093
2.260	0.542	0.099
2.260	-0.542	0.135
2.260	-0.572	0.112
2.260	0.568	0.104
2.260	-0.654	0.108
2.260	0.634	0.101
2.260	0.682	0.096
2.260	0.450	0.118
2.260	-0.306	0.102
2.260	-0.738	0.085
2.260	0.705	0.111
2.260	0.650	0.099
2.260	0.504	0.114
2.260	-0.674	0.099
2.260	0.622	0.104
2.260	-0.698	0.093
2.260	0.621	0.106
2.260	-0.671	0.123
2.260	0.647	0.101
2.260	-0.728	0.117
2.260	-0.681	0.105
2.260	0.438	0.098
2.260	-0.536	0.103
2.260	-0.694	0.099
2.260	0.548	0.112
2.260	0.598	0.104
2.260	-0.344	0.109
2.260	-0.657	0.110
2.260	0.394	0.116
2.260	-0.312	0.109
2.260	-0.541	0.107
2.260	-0.682	0.099
2.260	0.585	0.121
2.260	0.709	0.095
2.260	0.416	0.124
2.260	-0.683	0.106
2.260	0.627	0.096
2.260	-0.581	0.101
2.260	0.339	0.112
2.260	-0.413	0.109
2.260	0.494	0.109
2.260	-0.514	0.120
2.260	-0.633	0.093
2.260	0.437	0.111
2.260	0.554	0.138
2.260	0.603	0.108
2.260	0.718	0.100
2.260	-0.594	0.117
2.260	-0.303	0.082
2.260	-0.625	0.115
2.260	-0.581	0.100
2.260	-0.737	0.084
2.260	0.557	0.112
2.260	0.527	0.105
2.260	0.693	0.098
2.260	-0.456	0.101
2.260	0.518	0.110
2.260	-0.665	0.102
2.260	-0.554	0.111
2.260	0.611	0.097
2.260	0.569	0.107
2.260	-0.638	0.098
2.260	-0.520	0.085
2.260	0.560	0.117
2.260	0.103	0.068
2.260	-0.612	0.117
2.260	-0.632	0.097
2.260	0.728	0.092
2.260	-0.269	0.077
2.260	-0.483	0.117
2.260	0.665	0.094
2.260	-0.464	0.111
2.260	0.574	0.114
2.260	-0.538	0.108
2.260	-0.426	0.100
2.260	-0.460	0.100
2.260	-0.495	0.114
2.260	-0.164	0.078
2.260	-0.666	0.105
2.260	0.600	0.092
2.260	-0.682	0.099
2.260	-0.706	0.103
2.260	0.644	0.102
2.260	-0.703	0.091
2.260	-0.523	0.098
2.260	-0.585	0.109
2.260	0.625	0.100
2.260	0.663	0.107
2.260	-0.720	0.098
2.260	-0.444	0.112
2.260	0.376	0.099
2.260	0.290	0.085
2.260	-0.567	0.111
2.260	0.393	0.119
2.260	0.586	0.101
2.260	0.481	0.109
2.260	0.689	0.097
2.260	-0.712	0.088
2.260	-0.369	0.128
2.260	0.638	0.113
2.260	0.676	0.097
2.260	-0.654	0.102
2.260	-0.599	0.105
2.260	-0.273	0.084
2.260	0.438	0.106
2.260	-0.645	0.105
2.260	-0.083	0.090
2.260	-0.534	0.118
2.260	0.128	0.076
2.260	-0.410	0.110
2.260	0.588	0.111
2.260	-0.537	0.099
2.260	-0.724	0.099
2.260	-0.562	0.095
2.260	0.472	0.112
2.260	0.306	0.099
2.260	0.621	0.119
2.260	0.524	0.107
2.260	0.538	0.114
2.260	0.685	0.111
2.260	-0.538	0.091
2.260	0.416	0.092
2.260	0.716	0.082
2.260	-0.547	0.118
2.260	-0.556	0.091
2.260	-0.593	0.107
2.260	0.711	0.098
2.260	0.597	0.125
2.260	0.706	0.115
2.260	0.706	0.110
2.260	-0.489	0.109
2.260	-0.725	0.096
2.260	0.520	0.116
2.260	0.569	0.118
2.260	0.691	0.095
2.260	-0.561	0.127
2.260	-0.600	0.099
2.260	-0.523	0.108
2.260	0.419	0.104
2.260	0.490	0.109
2.260	0.632	0.098
2.260	0.429	0.119
2.260	-0.682	0.107
2.260	-0.456	0.097
2.260	-0.613	0.117
2.260	0.633	0.093
2.260	0.202	0.103
2.260	-0.404	0.111
2.260	-0.579	0.109
2.260	0.367	0.111
2.260	-0.626	0.093
2.260	0.670	0.108
2.260	0.563	0.126
2.260	0.711	0.104
2.260	0.500	0.116
2.260	0.326	0.107
2.260	0.646	0.095
2.260	-0.119	0.074
2.260	0.331	0.115
2.260	0.460	0.111
2.260	-0.670	0.102
2.260	-0.706	0.103
2.260	-0.650	0.095
2.260	0.646	0.108
2.260	-0.408	0.109
2.260	-0.638	0.094
2.260	0.589	0.110
2.260	-0.281	0.113
2.260	0.637	0.100
2.260	0.012	0.081
2.260	-0.417	0.089
2.260	-0.605	0.101
2.260	-0.588	0.111
2.260	-0.611	0.121
2.260	-0.353	0.093
2.260	-0.076	0.064
2.260	-0.512	0.108
2.260	-0.056	0.094
2.260	-0.624	0.113
2.260	-0.698	0.102
2.260	0.609	0.099
2.260	0.618	0.099
2.260	-0.633	0.113
2.260	0.604	0.112
2.260	0.569	0.109
2.260	-0.447	0.103
2.260	0.650	0.113
2.260	-0.393	0.117
2.260	-0.569	0.116
2.260	-0.059	0.112
2.260	0.574	0.103
2.260	0.548	0.114
2.260	0.484	0.119
2.260	-0.690	0.101
2.260	-0.566	0.116
2.260	-0.565	0.121
2.260	0.383	0.106
