T	<m>	d<m>
2.260	0.642	0.094
2.260	-0.615	0.104
2.260	0.617	0.098
2.260	-0.561	0.101
2.260	0.520	0.108
2.260	0.616	0.099
2.260	-0.071	0.081
2.260	-0.682	0.111
2.260	-0.569	0.103
2.260	0.350	0.088
2.260	-0.668	0.093
2.260	0.573	0.099
2.260	-0.502	0.112
2.260	-0.522	0.092
2.260	-0.425	0.089
2.260	-0.692	0.103
2.260	-0.707	0.101
2.260	0.338	0.108
2.260	-0.216	0.084
2.260	-0.695	0.092
2.260	-0.573	0.108
2.260	0.648	0.093
2.260	-0.585	0.105
2.260	-0.641	0.094
2.260	0.374	0.117
2.260	-0.659	0.107
2.260	0.608	0.098
2.260	-0.217	0.079
2.260	-0.638	0.100
2.260	0.674	0.098
2.260	-0.501	0.099
2.260	0.664	0.097
2.260	-0.491	0.094
2.260	-0.478	0.104
2.260	0.676	0.095
2.260	0.670	0.118
2.260	0.606	0.115
2.260	0.601	0.104
2.260	0.671	0.098
2.260	0.499	0.119
2.260	-0.551	0.111
2.260	-0.299	0.123
2.260	0.650	0.098
2.260	-0.688	0.107
2.260	-0.620	0.100
2.260	-0.655	0.100
2.260	0.518	0.113
2.260	-0.569	0.107
2.260	0.278	0.097
2.260	0.238	0.096
2.260	-0.602	0.108
2.260	-0.252	0.107
2.260	0.579	0.108
2.260	-0.524	0.120
2.260	-0.633	0.100
2.260	0.674	0.105
2.260	-0.649	0.102
2.260	-0.195	0.088
2.260	0.547	0.111
2.260	0.760	0.092
2.260	-0.579	0.107
2.260	0.666	0.111
2.260	0.653	0.096
2.260	-0.595	0.124
2.260	0.649	0.108
2.260	0.597	0.115
2.260	0.709	0.094
2.260	0.657	0.118
2.260	-0.636	0.095
2.260	0.588	0.110
2.260	-0.315	0.100
2.260	-0.575	0.101
2.260	-0.685	0.094
2.260	-0.605	0.111
2.260	0.677	0.113
2.260	-0.530	0.082
2.260	-0.556	0.112
2.260	0.723	0.101
2.260	0.598	0.103
2.260	-0.510	0.099
2.260	-0.602	0.110
2.260	-0.681	0.102
2.260	0.387	0.102
2.260	-0.659	0.107
2.260	-0.504	0.102
2.260	0.517	0.118
2.260	-0.542	0.102
2.260	-0.590	0.101
2.260	0.423	0.116
2.260	0.445	0.108
2.260	0.253	0.088
2.260	-0.678	0.104
2.260	0.626	0.102
2.260	0.554	0.124
2.260	-0.703	0.101
2.260	-0.591	0.117
2.260	-0.410	0.114
2.260	0.692	0.106
2.260	-0.545	0.100
2.260	0.622	0.107
2.260	-0.512	0.117
2.260	-0.662	0.100
2.260	-0.072	0.089
2.260	-0.629	0.103
2.260	-0.549	0.107
2.260	-0.695	0.101
2.260	-0.600	0.105
2.260	-0.707	0.087
2.260	0.635	0.087
2.260	0.696	0.105
2.260	-0.564	0.123
2.260	-0.495	0.120
2.260	-0.398	0.095
2.260	0.696	0.092
2.260	0.655	0.113
2.260	-0.530	0.114
2.260	-0.535	0.133
2.260	0.285	0.070
2.260	0.123	0.095
2.260	0.694	0.110
2.260	0.411	0.101
2.260	0.123	0.110
2.260	0.364	0.100
2.260	0.405	0.126
2.260	0.685	0.101
2.260	-0.400	0.109
2.260	-0.599	0.109
2.260	0.627	0.090
2.260	-0.723	0.104
2.260	0.554	0.081
2.260	-0.578	0.111
2.260	0.722	0.105
2.260	-0.696	0.113
2.260	-0.427	0.102
2.260	-0.474	0.098
2.260	-0.657	0.118
2.260	-0.309	0.088
2.260	0.633	0.107
2.260	-0.482	0.095
2.260	-0.507	0.083
2.260	-0.728	0.085
2.260	-0.732	0.108
2.260	-0.476	0.121
2.260	0.374	0.079
2.260	0.408	0.120
2.260	0.655	0.095
2.260	0.569	0.086
2.260	0.493	0.082
2.260	-0.601	0.106
2.260	-0.689	0.098
2.260	0.580	0.101
2.260	0.640	0.102
2.260	-0.607	0.104
2.260	-0.426	0.104
2.260	0.621	0.103
2.260	-0.630	0.099
2.260	-0.364	0.120
2.260	0.117	0.082
2.260	0.608	0.110
2.260	0.588	0.107
2.260	0.447	0.097
2.260	-0.584	0.088
2.260	-0.288	0.096
2.260	0.659	0.099
2.260	0.661	0.103
2.260	-0.695	0.108
2.260	0.468	0.110
2.260	0.606	0.107
2.260	-0.626	0.100
2.260	-0.620	0.107
2.260	-0.612	0.114
2.260	0.705	0.101
2.260	-0.603	0.109
2.260	-0.619	0.102
