k		corr_k
0		1.000000
100		0.937669
200		0.880595
300		0.826383
400		0.774855
500		0.728528
600		0.684608
700		0.644154
800		0.606771
900		0.570846
1000		0.539495
1100		0.511268
1200		0.485205
1300		0.462297
1400		0.443263
1500		0.427382
1600		0.413905
1700		0.401887
1800		0.389904
1900		0.378972
2000		0.368726
2100		0.360307
2200		0.352857
2300		0.344602
2400		0.335982
2500		0.327624
2600		0.319082
2700		0.311994
2800		0.304407
2900		0.295897
3000		0.288418
3100		0.281290
3200		0.276899
3300		0.274078
3400		0.270673
3500		0.266956
3600		0.263730
3700		0.260979
3800		0.259824
3900		0.259396
4000		0.258452
4100		0.258263
4200		0.259085
4300		0.261171
4400		0.264022
4500		0.265027
4600		0.263901
4700		0.262817
4800		0.262367
4900		0.261012
5000		0.260201
5100		0.260007
5200		0.260119
5300		0.259774
5400		0.258095
5500		0.256374
5600		0.255563
5700		0.253677
5800		0.252170
5900		0.252526
6000		0.252134
6100		0.251028
6200		0.250025
6300		0.248837
6400		0.246247
6500		0.242137
6600		0.238251
6700		0.235176
6800		0.234103
6900		0.232594
7000		0.232378
7100		0.231130
7200		0.229763
7300		0.228100
7400		0.224818
7500		0.221607
7600		0.217651
7700		0.213180
7800		0.207864
7900		0.203793
8000		0.200048
8100		0.196499
8200		0.193625
8300		0.189878
8400		0.186341
8500		0.185307
8600		0.184140
8700		0.182912
8800		0.181748
8900		0.180978
9000		0.181222
9100		0.180784
9200		0.180497
9300		0.179664
9400		0.178904
9500		0.179215
9600		0.178911
9700		0.178506
9800		0.178392
9900		0.177977
10000		0.178590
10100		0.179585
10200		0.181053
10300		0.182707
10400		0.185237
10500		0.188407
10600		0.191877
10700		0.195349
10800		0.198781
10900		0.202752
11000		0.205381
11100		0.208286
11200		0.212537
11300		0.216645
11400		0.219625
11500		0.221846
11600		0.224014
11700		0.225624
11800		0.227173
11900		0.228724
12000		0.230410
12100		0.231269
12200		0.232963
12300		0.235326
12400		0.238973
12500		0.241327
12600		0.242445
12700		0.241733
12800		0.240349
12900		0.238855
13000		0.238382
13100		0.237238
13200		0.235504
13300		0.232055
13400		0.228455
13500		0.225257
13600		0.221100
13700		0.217555
