k		corr_k
0		1.000000
100		0.923501
200		0.856206
300		0.794652
400		0.740448
500		0.692266
600		0.647945
700		0.608576
800		0.572899
900		0.539750
1000		0.509849
1100		0.480748
1200		0.452891
1300		0.424852
1400		0.398612
1500		0.374744
1600		0.353968
1700		0.333693
1800		0.314663
1900		0.297596
2000		0.281576
2100		0.267072
2200		0.255372
2300		0.243733
2400		0.233598
2500		0.223999
2600		0.216672
2700		0.208855
2800		0.200620
2900		0.193051
3000		0.186491
3100		0.180590
3200		0.174552
3300		0.168418
3400		0.160881
3500		0.154327
3600		0.147426
3700		0.140975
3800		0.135540
3900		0.128777
4000		0.122840
4100		0.116315
4200		0.110507
4300		0.103369
4400		0.096731
4500		0.089695
4600		0.083344
4700		0.077182
4800		0.074917
4900		0.073065
5000		0.069150
5100		0.066503
5200		0.060996
5300		0.053877
5400		0.045697
5500		0.039318
5600		0.032790
5700		0.026176
5800		0.021064
5900		0.016106
6000		0.009785
6100		0.003595
6200		-0.001727
6300		-0.007118
6400		-0.011217
6500		-0.015177
6600		-0.017763
6700		-0.019942
6800		-0.019587
6900		-0.018981
7000		-0.017514
7100		-0.016934
7200		-0.017310
7300		-0.016678
7400		-0.016328
7500		-0.017883
7600		-0.020485
7700		-0.021408
7800		-0.021412
7900		-0.022902
8000		-0.025017
8100		-0.029250
8200		-0.031688
8300		-0.032821
8400		-0.029942
8500		-0.025813
8600		-0.022754
8700		-0.022171
8800		-0.022546
8900		-0.021812
9000		-0.021637
9100		-0.020704
9200		-0.018241
9300		-0.015475
9400		-0.013183
9500		-0.012527
9600		-0.010510
9700		-0.007344
9800		-0.005547
9900		-0.003780
10000		-0.002327
10100		0.000482
10200		0.004355
10300		0.006322
10400		0.006384
10500		0.005511
10600		0.005302
10700		0.004092
10800		0.002902
10900		-0.000119
11000		-0.002359
11100		-0.003397
11200		-0.004251
11300		-0.005780
11400		-0.007034
11500		-0.008665
11600		-0.008669
11700		-0.009540
11800		-0.009915
11900		-0.008616
12000		-0.007840
12100		-0.009220
12200		-0.009771
12300		-0.008395
12400		-0.006509
12500		-0.001075
12600		0.004997
12700		0.008864
12800		0.013077
12900		0.016133
13000		0.017601
13100		0.018354
13200		0.018272
13300		0.020528
13400		0.023587
13500		0.026175
13600		0.031538
13700		0.035022
13800		0.036749
13900		0.038024
14000		0.040298
14100		0.043477
14200		0.045105
14300		0.046033
14400		0.046921
14500		0.047938
14600		0.050925
14700		0.052639
14800		0.052624
14900		0.052798
15000		0.053333
15100		0.055046
15200		0.057389
15300		0.059706
15400		0.061767
15500		0.062927
15600		0.064428
15700		0.066765
15800		0.068559
15900		0.069984
16000		0.071634
16100		0.071899
16200		0.071424
16300		0.070441
16400		0.068153
16500		0.064358
16600		0.059397
16700		0.053886
16800		0.048154
16900		0.043051
17000		0.040318
17100		0.037919
17200		0.034236
17300		0.031128
17400		0.030093
17500		0.028635
17600		0.025580
17700		0.022018
17800		0.020508
17900		0.020760
18000		0.020441
18100		0.020618
18200		0.022258
18300		0.022404
18400		0.020743
18500		0.020798
18600		0.023218
18700		0.026124
18800		0.028039
18900		0.026345
19000		0.025894
19100		0.025155
19200		0.023864
19300		0.022736
19400		0.019998
19500		0.016807
19600		0.013062
19700		0.009550
19800		0.005830
19900		0.000811
20000		-0.006017
20100		-0.013379
20200		-0.019444
20300		-0.024446
20400		-0.027981
20500		-0.030958
20600		-0.033809
20700		-0.037594
20800		-0.040538
20900		-0.042792
21000		-0.044232
21100		-0.045425
21200		-0.047162
21300		-0.047189
21400		-0.045494
21500		-0.044643
21600		-0.045099
21700		-0.045159
21800		-0.045235
21900		-0.044878
22000		-0.046107
22100		-0.046715
22200		-0.048387
22300		-0.048342
22400		-0.048519
22500		-0.046927
22600		-0.046876
22700		-0.046954
22800		-0.045689
22900		-0.044644
23000		-0.042201
23100		-0.037495
23200		-0.033501
23300		-0.030030
23400		-0.027613
23500		-0.025537
23600		-0.021592
23700		-0.017869
23800		-0.013906
23900		-0.009904
24000		-0.008890
24100		-0.008272
24200		-0.006815
24300		-0.006357
24400		-0.005728
24500		-0.006390
24600		-0.008463
24700		-0.011224
24800		-0.013729
24900		-0.016100
25000		-0.017336
25100		-0.019453
25200		-0.022426
25300		-0.025882
25400		-0.029855
25500		-0.033112
25600		-0.034856
25700		-0.038052
25800		-0.040992
25900		-0.041540
26000		-0.042101
26100		-0.041638
26200		-0.039765
26300		-0.038764
26400		-0.036669
26500		-0.035949
26600		-0.035337
26700		-0.033698
26800		-0.031240
26900		-0.028923
27000		-0.028343
27100		-0.027406
27200		-0.025363
27300		-0.022705
27400		-0.018691
27500		-0.015643
27600		-0.013690
27700		-0.011696
27800		-0.010038
27900		-0.010325
28000		-0.011160
28100		-0.012177
28200		-0.012116
28300		-0.010811
28400		-0.009810
28500		-0.009631
28600		-0.010155
28700		-0.010668
28800		-0.009843
28900		-0.009284
29000		-0.009467
29100		-0.012741
29200		-0.016190
29300		-0.021422
29400		-0.026885
29500		-0.033151
29600		-0.036970
29700		-0.037566
29800		-0.036871
29900		-0.035882
30000		-0.035858
30100		-0.034723
30200		-0.034669
30300		-0.032974
30400		-0.030377
30500		-0.026937
30600		-0.023885
30700		-0.021168
30800		-0.018477
30900		-0.015941
31000		-0.013959
31100		-0.011546
31200		-0.007098
31300		-0.005142
31400		-0.002484
31500		0.002106
31600		0.006313
31700		0.009964
31800		0.011495
31900		0.009889
32000		0.006667
32100		0.002527
32200		-0.001050
32300		-0.002798
32400		-0.005595
32500		-0.008738
32600		-0.011458
32700		-0.014939
32800		-0.016524
32900		-0.017723
33000		-0.021010
33100		-0.023818
33200		-0.027243
33300		-0.029889
33400		-0.031546
33500		-0.034079
33600		-0.037260
33700		-0.042053
33800		-0.045630
33900		-0.046637
34000		-0.045876
34100		-0.045492
34200		-0.045000
34300		-0.044962
34400		-0.042841
34500		-0.041242
34600		-0.042298
34700		-0.043440
34800		-0.045845
34900		-0.051002
35000		-0.055627
35100		-0.058698
35200		-0.061990
35300		-0.063801
35400		-0.062008
35500		-0.059617
35600		-0.057209
35700		-0.053649
35800		-0.049537
35900		-0.048078
36000		-0.046926
36100		-0.047077
36200		-0.048216
36300		-0.049321
36400		-0.050539
36500		-0.050717
36600		-0.049528
36700		-0.047531
36800		-0.046553
36900		-0.045918
37000		-0.046449
37100		-0.046789
37200		-0.047114
37300		-0.046335
37400		-0.047680
37500		-0.049521
37600		-0.050276
37700		-0.049409
37800		-0.048847
37900		-0.048470
38000		-0.047071
38100		-0.044651
38200		-0.041353
38300		-0.039427
38400		-0.036550
38500		-0.031298
38600		-0.027464
38700		-0.025154
38800		-0.023734
38900		-0.022379
39000		-0.021453
39100		-0.018277
39200		-0.015816
39300		-0.013832
39400		-0.014018
39500		-0.013663
39600		-0.013899
39700		-0.013976
39800		-0.014989
39900		-0.016462
40000		-0.016960
40100		-0.016179
40200		-0.015380
40300		-0.014373
40400		-0.015002
40500		-0.018451
40600		-0.020431
40700		-0.021676
40800		-0.024276
40900		-0.026837
41000		-0.029135
41100		-0.032919
41200		-0.038484
41300		-0.041019
41400		-0.042006
41500		-0.042308
41600		-0.042156
41700		-0.041410
41800		-0.037897
41900		-0.035849
42000		-0.034345
42100		-0.036479
42200		-0.040191
42300		-0.045214
42400		-0.049913
42500		-0.053093
42600		-0.054409
42700		-0.056589
42800		-0.059696
42900		-0.061066
43000		-0.060320
43100		-0.059619
43200		-0.059188
43300		-0.058738
43400		-0.058092
43500		-0.056910
43600		-0.055132
43700		-0.052867
43800		-0.054326
43900		-0.057628
44000		-0.059222
44100		-0.060684
44200		-0.062123
44300		-0.060999
44400		-0.060917
44500		-0.060827
44600		-0.061570
44700		-0.063235
44800		-0.063351
44900		-0.064069
45000		-0.063762
45100		-0.063585
45200		-0.062658
45300		-0.060996
45400		-0.060416
45500		-0.059792
45600		-0.060063
45700		-0.060596
45800		-0.059889
45900		-0.058653
46000		-0.057744
46100		-0.058487
46200		-0.056464
46300		-0.055749
46400		-0.054606
46500		-0.052582
46600		-0.050695
46700		-0.048680
46800		-0.045145
46900		-0.042118
47000		-0.039040
47100		-0.036173
47200		-0.033379
47300		-0.030417
47400		-0.027279
47500		-0.022564
47600		-0.017842
47700		-0.014657
47800		-0.011243
47900		-0.008499
48000		-0.007730
48100		-0.009653
48200		-0.013239
48300		-0.017003
48400		-0.020626
48500		-0.023745
48600		-0.024676
48700		-0.025329
48800		-0.025556
48900		-0.025696
49000		-0.027191
49100		-0.029188
49200		-0.031460
49300		-0.035080
49400		-0.037941
49500		-0.040398
49600		-0.042638
49700		-0.044386
49800		-0.045545
49900		-0.045098
50000		-0.044309
50100		-0.044995
50200		-0.044656
50300		-0.042679
50400		-0.040377
50500		-0.039369
50600		-0.038559
50700		-0.037712
50800		-0.037848
50900		-0.038460
51000		-0.039827
51100		-0.042056
51200		-0.043002
51300		-0.043835
51400		-0.045035
51500		-0.046175
51600		-0.048466
51700		-0.049093
51800		-0.049500
51900		-0.050776
52000		-0.051552
52100		-0.049999
52200		-0.045721
52300		-0.039924
52400		-0.036201
52500		-0.035746
52600		-0.035053
52700		-0.034457
52800		-0.033890
52900		-0.032321
53000		-0.031368
53100		-0.033454
53200		-0.037201
53300		-0.042534
53400		-0.046516
53500		-0.049384
53600		-0.048075
53700		-0.043157
53800		-0.038788
53900		-0.035933
54000		-0.033705
54100		-0.029273
54200		-0.023394
54300		-0.016457
54400		-0.010480
54500		-0.004315
54600		0.001262
54700		0.004227
54800		0.006441
54900		0.007554
55000		0.008265
55100		0.007777
55200		0.007927
55300		0.008135
55400		0.008764
55500		0.011029
55600		0.014244
55700		0.019029
55800		0.023668
55900		0.027799
56000		0.030281
56100		0.032122
56200		0.033542
56300		0.034557
56400		0.034470
56500		0.034986
56600		0.032734
56700		0.028090
56800		0.024068
56900		0.019595
57000		0.018081
57100		0.018317
57200		0.018830
57300		0.019726
57400		0.020041
57500		0.020823
57600		0.021805
57700		0.022315
57800		0.021842
57900		0.022133
58000		0.022874
58100		0.023498
58200		0.022263
58300		0.019514
58400		0.017348
58500		0.014347
58600		0.010866
58700		0.008056
58800		0.004353
58900		0.000082
59000		-0.003844
59100		-0.008024
59200		-0.011903
59300		-0.015143
59400		-0.016834
59500		-0.019628
59600		-0.021253
59700		-0.021834
59800		-0.021033
59900		-0.020337
60000		-0.018734
60100		-0.015983
60200		-0.014187
60300		-0.012421
60400		-0.011293
60500		-0.011588
60600		-0.011110
60700		-0.009625
60800		-0.007181
60900		-0.006104
61000		-0.005787
61100		-0.007890
61200		-0.009738
61300		-0.010956
61400		-0.011359
61500		-0.011724
61600		-0.010700
61700		-0.010445
61800		-0.011547
61900		-0.013315
62000		-0.014355
62100		-0.014737
62200		-0.014538
62300		-0.014585
62400		-0.014282
62500		-0.015732
62600		-0.018567
62700		-0.020397
62800		-0.020532
62900		-0.019161
63000		-0.016961
63100		-0.014591
63200		-0.012242
63300		-0.010805
