k		corr_k
0		1.000000
100		0.900408
200		0.816891
300		0.745247
400		0.681515
500		0.625505
600		0.576618
700		0.533508
800		0.494254
900		0.460835
1000		0.427383
1100		0.395262
1200		0.365367
1300		0.337854
1400		0.310563
1500		0.287236
1600		0.267540
1700		0.248672
1800		0.233724
1900		0.218629
2000		0.205464
2100		0.194341
2200		0.183879
2300		0.175912
2400		0.168323
2500		0.158809
2600		0.150027
2700		0.140848
2800		0.131132
2900		0.119937
3000		0.111292
3100		0.103175
3200		0.096952
3300		0.090355
3400		0.084317
3500		0.078042
3600		0.072176
3700		0.066336
3800		0.059160
3900		0.053311
4000		0.046438
4100		0.038267
4200		0.031605
4300		0.025472
4400		0.021240
4500		0.018462
4600		0.013591
4700		0.007571
4800		0.000328
4900		-0.005212
5000		-0.009149
5100		-0.015140
5200		-0.018769
5300		-0.021353
5400		-0.021735
5500		-0.020855
5600		-0.017402
5700		-0.013763
5800		-0.013306
5900		-0.013621
6000		-0.010530
6100		-0.003840
6200		0.002748
6300		0.010638
6400		0.018138
6500		0.020780
6600		0.023754
6700		0.026904
6800		0.029163
6900		0.029529
7000		0.032188
7100		0.031259
7200		0.028124
7300		0.025928
7400		0.028525
7500		0.033138
7600		0.035427
7700		0.037274
7800		0.038659
7900		0.040789
8000		0.039113
8100		0.036178
8200		0.033794
8300		0.030551
8400		0.028605
8500		0.026639
8600		0.023426
8700		0.019427
8800		0.014560
8900		0.010446
9000		0.008794
9100		0.005110
9200		0.001576
9300		0.000050
9400		-0.002169
9500		-0.005253
9600		-0.010027
9700		-0.018018
9800		-0.024918
9900		-0.033479
10000		-0.039683
10100		-0.043791
10200		-0.046286
10300		-0.047832
10400		-0.052516
10500		-0.056534
10600		-0.061035
10700		-0.064448
10800		-0.069209
10900		-0.071650
11000		-0.069858
11100		-0.066974
11200		-0.064322
11300		-0.060647
11400		-0.058190
11500		-0.056423
11600		-0.054291
11700		-0.052215
11800		-0.051195
11900		-0.049757
12000		-0.047146
12100		-0.045487
12200		-0.041542
12300		-0.037662
12400		-0.032696
12500		-0.028945
12600		-0.026007
12700		-0.023826
12800		-0.022567
12900		-0.020043
13000		-0.017911
13100		-0.016118
13200		-0.012714
13300		-0.011308
13400		-0.010907
13500		-0.009545
13600		-0.008080
13700		-0.007925
13800		-0.009514
13900		-0.011421
14000		-0.011990
14100		-0.011457
14200		-0.012279
14300		-0.013509
14400		-0.015783
14500		-0.013890
14600		-0.012280
14700		-0.013716
14800		-0.016926
14900		-0.019863
15000		-0.024796
15100		-0.031899
15200		-0.037339
15300		-0.039821
15400		-0.038670
15500		-0.037255
15600		-0.034841
15700		-0.030905
15800		-0.025947
15900		-0.022032
16000		-0.019999
16100		-0.021735
16200		-0.025088
16300		-0.026857
16400		-0.028277
16500		-0.030172
16600		-0.029751
16700		-0.032151
16800		-0.033355
16900		-0.032360
17000		-0.031535
17100		-0.029857
17200		-0.028637
17300		-0.025775
17400		-0.025252
17500		-0.024738
17600		-0.024406
17700		-0.025040
17800		-0.027739
17900		-0.029288
18000		-0.029213
18100		-0.031472
18200		-0.034804
18300		-0.037676
18400		-0.040666
18500		-0.043776
18600		-0.043965
18700		-0.042135
18800		-0.040306
18900		-0.037454
19000		-0.034321
19100		-0.032502
19200		-0.030141
19300		-0.029014
19400		-0.028281
19500		-0.027655
19600		-0.027750
19700		-0.025740
19800		-0.023408
19900		-0.022697
20000		-0.023645
20100		-0.025453
20200		-0.025944
20300		-0.026305
20400		-0.024366
20500		-0.022286
20600		-0.019388
20700		-0.016468
20800		-0.013923
20900		-0.011698
21000		-0.005994
21100		0.001343
21200		0.007559
21300		0.015184
21400		0.022455
21500		0.027520
21600		0.032785
21700		0.036940
21800		0.039967
21900		0.041877
22000		0.043826
22100		0.044423
22200		0.043029
22300		0.045284
22400		0.049179
22500		0.052445
22600		0.054694
22700		0.053941
22800		0.050827
22900		0.045911
23000		0.041594
23100		0.034730
23200		0.028789
23300		0.025612
23400		0.024948
23500		0.025486
23600		0.025111
23700		0.023794
23800		0.022126
23900		0.022162
24000		0.023286
24100		0.024048
24200		0.024492
24300		0.024355
24400		0.028197
24500		0.030243
24600		0.030232
24700		0.031900
24800		0.036369
24900		0.042139
25000		0.048290
25100		0.055760
25200		0.061475
25300		0.067156
25400		0.071440
25500		0.074235
25600		0.078166
25700		0.081237
25800		0.083693
25900		0.085362
26000		0.085441
26100		0.083387
26200		0.082584
26300		0.080500
26400		0.075262
26500		0.068842
26600		0.059212
26700		0.048803
26800		0.042333
26900		0.035810
27000		0.031223
27100		0.028229
27200		0.025721
27300		0.022650
27400		0.020236
27500		0.017014
27600		0.012087
27700		0.006887
27800		0.006163
27900		0.008476
28000		0.011340
28100		0.011922
28200		0.012015
28300		0.014057
28400		0.017257
28500		0.019639
28600		0.020397
28700		0.021062
28800		0.020496
28900		0.020315
29000		0.018881
29100		0.019045
29200		0.020799
29300		0.022744
29400		0.027020
29500		0.030471
29600		0.032818
29700		0.031166
29800		0.026811
29900		0.024937
30000		0.025710
30100		0.026875
30200		0.026872
30300		0.023890
30400		0.018811
30500		0.016312
30600		0.014894
30700		0.012900
30800		0.012081
30900		0.011361
31000		0.010039
31100		0.008174
31200		0.005203
31300		0.003509
31400		0.004281
31500		0.003264
31600		0.003716
31700		0.004488
31800		0.004749
31900		0.007877
32000		0.010354
32100		0.011490
32200		0.012513
32300		0.013555
32400		0.014791
32500		0.014895
32600		0.012769
32700		0.013085
32800		0.015520
32900		0.018767
33000		0.019215
33100		0.018419
33200		0.017410
33300		0.017004
33400		0.017615
33500		0.021783
33600		0.027168
33700		0.031154
33800		0.033968
33900		0.035091
34000		0.036021
34100		0.036776
34200		0.035141
34300		0.031055
34400		0.026926
34500		0.022065
34600		0.018333
34700		0.013659
34800		0.007913
34900		0.001806
35000		-0.005301
35100		-0.010899
35200		-0.017176
35300		-0.021541
35400		-0.027874
35500		-0.033783
35600		-0.038994
35700		-0.043698
35800		-0.045741
35900		-0.047123
36000		-0.048952
36100		-0.051558
36200		-0.054556
36300		-0.057294
36400		-0.061810
36500		-0.065453
36600		-0.069132
36700		-0.073891
36800		-0.075378
36900		-0.074773
37000		-0.074919
37100		-0.076798
37200		-0.077972
37300		-0.076520
37400		-0.074878
37500		-0.076066
37600		-0.079865
37700		-0.086223
37800		-0.091115
37900		-0.093967
38000		-0.095040
38100		-0.095530
38200		-0.096524
38300		-0.096965
38400		-0.096367
38500		-0.095268
38600		-0.092514
38700		-0.089038
38800		-0.088667
38900		-0.089700
39000		-0.088224
39100		-0.086296
39200		-0.083736
39300		-0.079524
39400		-0.071984
39500		-0.064693
39600		-0.056473
39700		-0.047969
39800		-0.039829
39900		-0.032113
40000		-0.026146
40100		-0.021072
40200		-0.016873
40300		-0.011138
40400		-0.004729
40500		0.000307
40600		0.006303
40700		0.013839
40800		0.020427
40900		0.024406
