T	<m>	d<m>
4.500	-0.166	0.053
4.420	-0.171	0.054
4.340	-0.180	0.056
4.260	-0.187	0.055
4.180	-0.190	0.056
4.100	-0.200	0.056
4.020	-0.197	0.057
3.940	-0.218	0.058
3.860	-0.223	0.059
3.780	-0.238	0.061
3.700	-0.250	0.061
3.620	-0.257	0.062
3.540	-0.277	0.064
3.460	-0.298	0.064
3.380	-0.320	0.066
3.300	-0.339	0.068
3.220	-0.357	0.072
3.140	-0.390	0.071
3.060	-0.431	0.075
2.980	-0.463	0.076
2.900	-0.514	0.079
2.820	-0.564	0.078
2.740	-0.613	0.083
2.660	-0.656	0.082
2.580	-0.706	0.085
2.500	-0.758	0.078
2.420	-0.796	0.076
2.340	-0.831	0.070
2.260	-0.863	0.067
2.180	-0.890	0.060
2.100	-0.913	0.054
2.020	-0.931	0.051
1.940	-0.944	0.046
1.860	-0.950	0.051
1.780	-0.965	0.039
1.700	-0.965	0.045
1.620	-0.978	0.033
1.540	-0.984	0.033
1.460	-0.988	0.025
1.380	-0.991	0.027
1.300	-0.989	0.034
1.220	-0.996	0.018
1.140	-0.997	0.023
1.060	-0.995	0.024
0.980	-0.996	0.019
0.900	-0.993	0.027
0.820	-0.983	0.034
0.740	-0.996	0.025
0.660	-0.995	0.023
0.580	-0.997	0.021
