T	<m>	d<m>
4.500	0.033	0.050
4.420	0.037	0.051
4.340	0.039	0.050
4.260	0.037	0.050
4.180	0.040	0.050
4.100	0.040	0.053
4.020	0.038	0.052
3.940	0.047	0.054
3.860	0.047	0.051
3.780	0.049	0.052
3.700	0.049	0.053
3.620	0.054	0.053
3.540	0.067	0.056
3.460	0.065	0.056
3.380	0.071	0.055
3.300	0.079	0.055
3.220	0.085	0.058
3.140	0.092	0.060
3.060	0.106	0.058
2.980	0.115	0.060
2.900	0.138	0.064
2.820	0.156	0.068
2.740	0.203	0.070
2.660	0.269	0.076
2.580	0.311	0.081
2.500	0.447	0.089
2.420	0.591	0.089
2.340	0.655	0.096
2.260	0.780	0.086
2.180	0.819	0.083
2.100	0.876	0.067
2.020	0.880	0.075
1.940	0.923	0.064
1.860	0.837	0.090
1.780	0.956	0.052
1.700	0.942	0.063
1.620	0.973	0.043
1.540	-0.934	0.061
1.460	0.985	0.036
1.380	0.910	0.064
1.300	-0.973	0.044
1.220	0.992	0.027
1.140	0.981	0.035
1.060	-0.985	0.034
0.980	-0.984	0.040
0.900	0.992	0.023
0.820	0.592	0.077
0.740	0.638	0.070
0.660	-0.997	0.020
0.580	-0.995	0.024
