T	<m>	d<m>	suscep
4.100	0.002	0.032	4246.896
4.060	-0.003	0.032	4105.091
4.020	-0.001	0.032	4216.829
3.980	0.002	0.033	4717.198
3.940	-0.001	0.032	4463.620
3.900	0.004	0.036	5688.812
3.860	-0.002	0.034	4990.735
3.820	0.001	0.035	5232.112
3.780	-0.001	0.034	5037.910
3.740	0.000	0.035	5389.267
3.700	-0.000	0.035	5708.394
3.660	-0.002	0.037	6199.261
3.620	-0.002	0.037	6444.950
3.580	0.007	0.036	6129.995
3.540	0.001	0.037	6330.866
3.500	0.001	0.041	8234.737
3.460	-0.001	0.036	6334.769
3.420	0.000	0.041	8055.854
3.380	0.003	0.041	8283.097
3.340	0.003	0.041	8373.529
3.300	0.008	0.043	9566.229
3.260	-0.002	0.045	10490.046
3.220	-0.005	0.044	10117.124
3.180	-0.008	0.046	11133.480
3.140	0.005	0.047	11866.880
3.100	-0.003	0.048	12406.562
3.060	0.015	0.047	12240.772
3.020	-0.004	0.055	16520.902
2.980	-0.009	0.057	18453.512
2.940	-0.004	0.056	17802.889
2.900	0.009	0.059	19855.750
2.860	0.001	0.059	20231.900
2.820	0.010	0.055	18263.178
2.780	-0.011	0.060	21579.420
2.740	0.009	0.073	33072.465
2.700	-0.000	0.071	31688.805
2.660	-0.001	0.071	31591.180
2.620	0.001	0.095	57742.785
2.580	0.040	0.099	63377.199
2.540	-0.009	0.095	59924.004
2.500	0.031	0.114	86633.242
2.460	-0.022	0.155	162948.750
2.420	-0.030	0.131	119688.930
2.380	-0.130	0.107	81176.453
2.340	-0.284	0.106	81313.359
2.300	-0.467	0.118	101107.281
2.260	-0.472	0.175	227901.328
2.220	-0.761	0.056	23737.389
2.180	-0.800	0.043	14164.680
2.140	-0.847	0.023	4330.374
2.100	-0.867	0.025	5156.191
2.060	-0.888	0.017	2457.767
2.020	-0.905	0.014	1648.020
1.980	-0.919	0.012	1307.071
1.940	-0.929	0.011	1026.289
1.900	-0.939	0.009	771.579
1.860	-0.946	0.009	706.452
1.820	-0.954	0.007	493.407
1.780	-0.960	0.006	412.360
1.740	-0.965	0.006	382.184
1.700	-0.970	0.005	294.706
1.660	-0.974	0.005	240.361
1.620	-0.979	0.004	214.198
1.580	-0.981	0.004	193.671
1.540	-0.984	0.004	175.325
1.500	-0.987	0.003	123.333
1.460	-0.989	0.003	95.205
1.420	-0.991	0.003	95.775
1.380	-0.992	0.002	71.014
1.340	-0.994	0.002	17.164
1.300	-0.995	0.002	-33.846
1.260	-0.996	0.002	-60.317
1.220	-0.997	0.001	-63.115
1.180	-0.997	0.001	-50.847
1.140	-0.998	0.001	-40.351
1.100	-0.998	0.001	-26.364
1.060	-0.999	0.001	-16.038
1.020	-0.999	0.001	-8.824
0.980	-0.999	0.001	-5.102
0.940	-1.000	0.000	-2.128
0.900	-1.000	0.000	-2.222
0.860	-1.000	0.000	-1.163
0.820	-1.000	0.000	1.220
0.780	-1.000	0.000	0.000
0.740	-1.000	0.000	1.351
0.700	-1.000	0.000	-1.429
0.660	-1.000	0.000	0.000
0.620	-1.000	0.000	0.000
0.580	-1.000	0.000	1.724
0.540	-1.000	0.000	1.852
0.500	-1.000	0.000	2.000
0.460	-1.000	0.000	0.000
0.420	-1.000	0.000	0.000
0.380	-1.000	0.000	0.000
0.340	-1.000	0.000	0.000
0.300	-1.000	0.000	0.000
0.260	-1.000	0.000	0.000
0.220	-1.000	0.000	0.000
0.180	-1.000	0.000	0.000
0.140	-1.000	0.000	0.000
