T	<m>	d<m>	suscep
4.100	-0.005	0.042	117105.508
4.060	0.001	0.014	13461.946
4.020	0.001	0.014	13214.816
3.980	0.001	0.017	18501.797
3.940	-0.001	0.017	19676.982
3.900	-0.000	0.016	17011.506
3.860	-0.003	0.017	19057.137
3.820	0.001	0.017	20243.959
3.780	0.003	0.018	21817.297
3.740	-0.001	0.018	24564.551
3.700	0.001	0.017	20892.205
3.660	-0.002	0.018	22746.998
3.620	-0.000	0.019	25919.709
3.580	-0.001	0.019	27404.445
3.540	-0.000	0.019	26352.514
3.500	-0.004	0.020	30468.229
3.460	-0.002	0.020	30154.768
3.420	0.002	0.020	32195.275
3.380	0.001	0.019	28323.139
3.340	0.001	0.019	28199.715
3.300	-0.006	0.024	48367.168
3.260	-0.001	0.021	35096.902
3.220	0.002	0.023	42541.215
3.180	0.001	0.024	48372.105
3.140	0.001	0.027	63389.500
3.100	-0.001	0.022	40387.875
3.060	0.007	0.029	74569.602
3.020	-0.001	0.027	63687.262
2.980	0.004	0.035	107785.383
2.940	-0.000	0.030	82493.789
2.900	0.014	0.027	66990.070
2.860	0.005	0.027	68988.141
2.820	0.004	0.026	66091.078
2.780	-0.003	0.032	98653.602
2.740	-0.023	0.028	77520.000
2.700	0.006	0.030	87390.148
2.660	0.029	0.030	92675.664
2.620	-0.012	0.035	127982.469
2.580	-0.001	0.047	234748.922
2.540	-0.025	0.040	165334.156
2.500	0.027	0.051	276693.906
2.460	-0.003	0.123	1653562.375
2.420	0.053	0.063	441033.656
2.380	0.085	0.073	594378.438
2.340	-0.008	0.071	585013.688
2.300	-0.136	0.056	359968.062
2.260	0.002	0.041	199573.188
2.220	0.123	0.048	277972.781
2.180	0.073	0.056	384252.312
2.140	-0.093	0.025	76195.562
2.100	-0.102	0.021	54068.453
2.060	-0.059	0.030	115880.188
2.020	0.021	0.019	45541.812
1.980	-0.020	0.058	450471.469
1.940	-0.159	0.045	279557.469
1.900	-0.271	0.021	61608.426
1.860	-0.280	0.016	35688.176
1.820	-0.287	0.016	37513.188
1.780	-0.255	0.025	92744.945
1.740	-0.232	0.025	99841.375
1.700	-0.223	0.020	66205.289
1.660	-0.259	0.011	21221.689
1.620	-0.254	0.014	32816.051
1.580	-0.283	0.016	44002.535
1.540	-0.304	0.007	8029.870
1.500	-0.314	0.011	22144.000
1.460	-0.355	0.011	23876.711
1.420	-0.335	0.033	210325.344
1.380	-0.291	0.008	11278.262
1.340	-0.259	0.019	71994.031
1.300	-0.250	0.017	60226.156
1.260	-0.297	0.019	79925.398
1.220	-0.241	0.015	48551.637
1.180	-0.224	0.009	16771.186
1.140	-0.198	0.017	66462.289
1.100	-0.194	0.016	59263.641
1.060	-0.213	0.015	55343.398
1.020	-0.268	0.018	85913.727
0.980	-0.331	0.012	42357.141
0.940	-0.316	0.009	20840.424
0.900	-0.316	0.007	15444.442
0.860	-0.281	0.011	36011.633
0.820	-0.277	0.006	11539.025
0.780	-0.281	0.007	16487.180
0.740	-0.293	0.008	25018.918
0.700	-0.269	0.014	74728.562
0.660	-0.268	0.007	18230.301
0.620	-0.283	0.005	13051.615
0.580	-0.306	0.009	34272.418
0.540	-0.328	0.005	14096.297
0.500	-0.322	0.003	6136.000
0.460	-0.327	0.004	8508.695
0.420	-0.332	0.002	1866.666
0.380	-0.328	0.001	315.790
0.340	-0.328	0.000	0.000
0.300	-0.328	0.000	0.000
0.260	-0.328	0.000	0.000
0.220	-0.328	0.000	0.000
0.180	-0.328	0.000	0.000
0.140	-0.328	0.000	0.000
