k		corr_k
0		1.000000
10		0.985671
20		0.971396
30		0.957428
40		0.943759
50		0.930308
60		0.917144
70		0.904268
80		0.891566
90		0.879174
100		0.867043
110		0.855133
120		0.843344
130		0.831785
140		0.820534
150		0.809478
160		0.798671
170		0.788026
180		0.777515
190		0.767295
200		0.757343
210		0.747681
220		0.738204
230		0.728877
240		0.719689
250		0.710630
260		0.701671
270		0.692935
280		0.684267
290		0.675798
300		0.667424
310		0.659057
320		0.650815
330		0.642632
340		0.634558
350		0.626551
360		0.618683
370		0.610951
380		0.603228
390		0.595644
400		0.588226
410		0.580793
420		0.573512
430		0.566491
440		0.559576
450		0.552759
460		0.545985
470		0.539370
480		0.532813
490		0.526473
500		0.520091
510		0.513789
520		0.507583
530		0.501526
540		0.495558
550		0.489713
560		0.483974
570		0.478173
580		0.472422
590		0.466631
600		0.460899
610		0.455157
620		0.449562
630		0.444121
640		0.438669
650		0.433268
660		0.427955
670		0.422673
680		0.417438
690		0.412168
700		0.406892
710		0.401694
720		0.396592
730		0.391608
740		0.386689
750		0.381661
760		0.376637
770		0.371665
780		0.366921
790		0.362321
800		0.357760
810		0.353320
820		0.349018
830		0.344876
840		0.340884
850		0.337022
860		0.333170
870		0.329325
880		0.325488
890		0.321636
900		0.317896
910		0.314322
920		0.310931
930		0.307638
940		0.304387
950		0.301116
960		0.297937
970		0.294756
980		0.291556
990		0.288376
1000		0.285122
1010		0.281890
1020		0.278743
1030		0.275651
1040		0.272615
1050		0.269772
1060		0.266876
1070		0.264029
1080		0.261256
1090		0.258578
1100		0.255820
1110		0.253022
1120		0.250396
1130		0.247861
1140		0.245468
1150		0.243168
1160		0.240823
1170		0.238602
1180		0.236431
1190		0.234386
1200		0.232504
1210		0.230576
1220		0.228725
1230		0.226908
1240		0.225029
1250		0.223262
1260		0.221611
1270		0.219910
1280		0.218240
1290		0.216514
1300		0.214808
1310		0.213115
1320		0.211555
1330		0.210043
1340		0.208475
1350		0.206990
1360		0.205575
1370		0.204212
1380		0.202941
1390		0.201770
1400		0.200618
1410		0.199557
1420		0.198581
1430		0.197479
1440		0.196213
1450		0.194971
1460		0.193738
1470		0.192497
1480		0.191182
1490		0.190036
1500		0.188848
1510		0.187782
1520		0.186690
1530		0.185647
1540		0.184696
