k		corr_k
0		1.000000
10		0.995859
20		0.992335
30		0.988844
40		0.985417
50		0.982014
60		0.978702
70		0.975383
80		0.972119
90		0.968879
100		0.965731
110		0.962587
120		0.959529
130		0.956451
140		0.953341
150		0.950416
160		0.947470
170		0.944574
180		0.941699
190		0.938791
200		0.935928
210		0.933076
220		0.930335
230		0.927541
240		0.924827
250		0.922048
260		0.919325
270		0.916710
280		0.914037
290		0.911430
300		0.908852
310		0.906363
320		0.903810
330		0.901275
340		0.898775
350		0.896296
360		0.893859
370		0.891389
380		0.888928
390		0.886544
400		0.884191
410		0.881763
420		0.879427
430		0.877053
440		0.874753
450		0.872514
460		0.870320
470		0.868128
480		0.865984
490		0.863888
500		0.861787
510		0.859669
520		0.857655
530		0.855629
540		0.853548
550		0.851447
560		0.849384
570		0.847269
580		0.845183
590		0.843110
600		0.840994
610		0.838875
620		0.836805
630		0.834795
640		0.832770
650		0.830801
660		0.828829
670		0.826894
680		0.824926
690		0.823012
700		0.821121
710		0.819249
720		0.817374
730		0.815504
740		0.813691
750		0.811830
760		0.810038
770		0.808257
780		0.806537
790		0.804817
800		0.803113
810		0.801434
820		0.799744
830		0.798056
840		0.796331
850		0.794607
860		0.792907
870		0.791241
880		0.789583
890		0.787898
900		0.786221
910		0.784565
920		0.782921
930		0.781229
940		0.779589
950		0.777925
960		0.776293
970		0.774704
980		0.773089
990		0.771480
1000		0.769940
1010		0.768417
1020		0.766917
1030		0.765356
1040		0.763803
1050		0.762251
1060		0.760687
1070		0.759111
1080		0.757457
1090		0.755898
1100		0.754337
1110		0.752783
1120		0.751216
1130		0.749723
1140		0.748253
1150		0.746782
1160		0.745388
1170		0.743995
1180		0.742602
1190		0.741198
1200		0.739809
1210		0.738437
1220		0.737109
1230		0.735730
1240		0.734312
1250		0.732905
1260		0.731472
1270		0.730068
1280		0.728681
1290		0.727316
1300		0.725931
1310		0.724567
1320		0.723171
1330		0.721847
1340		0.720538
1350		0.719217
1360		0.717943
1370		0.716640
1380		0.715325
1390		0.713946
1400		0.712586
1410		0.711217
1420		0.709849
1430		0.708507
1440		0.707157
1450		0.705788
1460		0.704428
1470		0.703094
1480		0.701747
1490		0.700389
1500		0.699000
1510		0.697678
1520		0.696385
1530		0.695083
1540		0.693796
1550		0.692605
1560		0.691359
1570		0.690163
1580		0.688957
1590		0.687735
1600		0.686553
1610		0.685342
1620		0.684131
1630		0.682945
1640		0.681737
1650		0.680567
1660		0.679404
1670		0.678255
1680		0.677145
1690		0.676051
1700		0.674962
1710		0.673800
1720		0.672666
1730		0.671514
1740		0.670404
1750		0.669267
1760		0.668138
1770		0.666989
1780		0.665798
1790		0.664596
1800		0.663418
1810		0.662293
1820		0.661218
1830		0.660128
1840		0.659015
1850		0.657931
1860		0.656869
1870		0.655830
1880		0.654796
1890		0.653781
1900		0.652812
1910		0.651877
1920		0.650938
1930		0.649983
1940		0.649017
1950		0.648003
1960		0.647014
1970		0.646088
1980		0.645139
1990		0.644179
2000		0.643267
2010		0.642352
2020		0.641459
2030		0.640547
2040		0.639651
2050		0.638786
2060		0.637982
2070		0.637194
2080		0.636435
2090		0.635699
2100		0.634955
2110		0.634246
2120		0.633539
2130		0.632812
2140		0.632089
2150		0.631340
2160		0.630597
2170		0.629850
2180		0.629137
2190		0.628420
2200		0.627694
2210		0.627011
2220		0.626315
2230		0.625599
2240		0.624870
2250		0.624170
2260		0.623517
2270		0.622842
2280		0.622124
2290		0.621402
2300		0.620670
2310		0.619941
2320		0.619213
2330		0.618487
2340		0.617756
2350		0.616973
2360		0.616237
2370		0.615508
2380		0.614823
2390		0.614107
2400		0.613378
2410		0.612716
2420		0.612003
2430		0.611282
2440		0.610520
2450		0.609810
2460		0.609099
2470		0.608383
2480		0.607668
2490		0.606948
2500		0.606240
2510		0.605517
2520		0.604745
2530		0.604015
2540		0.603220
2550		0.602467
2560		0.601761
2570		0.601051
2580		0.600360
2590		0.599643
2600		0.598900
2610		0.598139
2620		0.597404
2630		0.596663
2640		0.595920
2650		0.595219
2660		0.594520
2670		0.593796
2680		0.593032
