k		corr_k
0		1.000000
10		0.993868
20		0.988191
30		0.982705
40		0.977378
50		0.972121
60		0.966894
70		0.961852
80		0.956984
90		0.952193
100		0.947421
110		0.942764
120		0.938276
130		0.933931
140		0.929712
150		0.925644
160		0.921705
170		0.917869
180		0.914042
190		0.910370
200		0.906820
210		0.903360
220		0.899936
230		0.896550
240		0.893281
250		0.890104
260		0.887059
270		0.884063
280		0.881195
290		0.878342
300		0.875579
310		0.872964
320		0.870424
330		0.867892
340		0.865442
350		0.863024
360		0.860672
370		0.858386
380		0.856135
390		0.853969
400		0.851810
410		0.849658
420		0.847582
430		0.845543
440		0.843552
450		0.841594
460		0.839780
470		0.837986
480		0.836213
490		0.834402
500		0.832747
510		0.831117
520		0.829577
530		0.828062
540		0.826545
550		0.825091
560		0.823730
570		0.822369
580		0.821063
590		0.819817
600		0.818616
610		0.817390
620		0.816184
630		0.814963
640		0.813689
650		0.812481
660		0.811227
670		0.810039
680		0.808859
690		0.807589
700		0.806389
710		0.805206
720		0.804084
730		0.802966
740		0.801891
750		0.800838
760		0.799806
770		0.798831
780		0.797899
790		0.796984
800		0.796105
810		0.795177
820		0.794259
830		0.793342
840		0.792405
850		0.791471
860		0.790547
870		0.789647
880		0.788731
890		0.787829
900		0.786902
910		0.785966
920		0.785021
930		0.784104
940		0.783185
950		0.782218
960		0.781270
970		0.780422
980		0.779545
990		0.778732
1000		0.777968
1010		0.777286
1020		0.776568
1030		0.775931
1040		0.775260
1050		0.774575
1060		0.773983
1070		0.773405
1080		0.772866
1090		0.772405
1100		0.771881
1110		0.771328
1120		0.770735
1130		0.770276
1140		0.769807
1150		0.769333
1160		0.768872
1170		0.768464
1180		0.768073
1190		0.767594
1200		0.767112
1210		0.766697
1220		0.766268
1230		0.765849
1240		0.765521
1250		0.765172
1260		0.764788
1270		0.764447
1280		0.764203
1290		0.763990
1300		0.763769
1310		0.763616
1320		0.763421
1330		0.763247
1340		0.763026
1350		0.762858
1360		0.762651
1370		0.762427
1380		0.762283
1390		0.762101
1400		0.761968
1410		0.761856
1420		0.761776
1430		0.761587
1440		0.761415
1450		0.761259
1460		0.761010
1470		0.760741
1480		0.760446
1490		0.760152
1500		0.759906
1510		0.759650
1520		0.759391
1530		0.759080
1540		0.758802
1550		0.758469
1560		0.758129
1570		0.757835
1580		0.757574
1590		0.757241
1600		0.756872
1610		0.756541
1620		0.756224
1630		0.755995
1640		0.755714
1650		0.755363
1660		0.755019
1670		0.754651
1680		0.754348
1690		0.754071
1700		0.753830
1710		0.753645
1720		0.753499
1730		0.753341
1740		0.753233
1750		0.753102
1760		0.752947
1770		0.752771
1780		0.752583
1790		0.752390
1800		0.752213
1810		0.752031
1820		0.751955
1830		0.751829
1840		0.751723
1850		0.751684
1860		0.751648
1870		0.751595
1880		0.751602
1890		0.751598
1900		0.751575
1910		0.751531
1920		0.751440
1930		0.751315
1940		0.751145
1950		0.751014
1960		0.750815
1970		0.750659
1980		0.750570
1990		0.750406
2000		0.750286
2010		0.750189
2020		0.750072
2030		0.750030
2040		0.749933
2050		0.749881
2060		0.749765
2070		0.749659
2080		0.749597
2090		0.749498
2100		0.749453
2110		0.749353
2120		0.749339
2130		0.749298
2140		0.749198
2150		0.749141
2160		0.749144
2170		0.749119
2180		0.749197
2190		0.749264
2200		0.749285
2210		0.749219
2220		0.749246
2230		0.749216
2240		0.749171
2250		0.749075
2260		0.748935
2270		0.748704
2280		0.748417
2290		0.748128
2300		0.747855
2310		0.747567
2320		0.747305
2330		0.747012
2340		0.746720
2350		0.746471
2360		0.746201
2370		0.745890
2380		0.745549
2390		0.745183
2400		0.744867
2410		0.744587
2420		0.744339
2430		0.744108
2440		0.743884
2450		0.743653
2460		0.743444
2470		0.743258
2480		0.743084
2490		0.742858
2500		0.742675
2510		0.742465
2520		0.742267
2530		0.742130
2540		0.741953
2550		0.741762
2560		0.741517
2570		0.741287
2580		0.741096
2590		0.740853
2600		0.740655
2610		0.740497
2620		0.740318
2630		0.740223
2640		0.740123
2650		0.740038
2660		0.739946
2670		0.739917
2680		0.739912
2690		0.739888
2700		0.739807
2710		0.739765
2720		0.739713
2730		0.739676
2740		0.739634
2750		0.739533
2760		0.739439
2770		0.739306
2780		0.739197
2790		0.739082
2800		0.738993
2810		0.738851
2820		0.738659
2830		0.738589
2840		0.738508
2850		0.738354
2860		0.738224
2870		0.738140
2880		0.738034
2890		0.737932
2900		0.737825
2910		0.737699
2920		0.737593
2930		0.737472
2940		0.737377
2950		0.737244
2960		0.737051
2970		0.736892
2980		0.736805
2990		0.736657
3000		0.736542
3010		0.736453
3020		0.736390
3030		0.736435
3040		0.736465
3050		0.736512
3060		0.736554
3070		0.736580
3080		0.736635
3090		0.736640
3100		0.736665
3110		0.736751
3120		0.736787
3130		0.736801
3140		0.736793
3150		0.736800
3160		0.736868
3170		0.736965
3180		0.737019
3190		0.737025
3200		0.737036
3210		0.737033
3220		0.737005
3230		0.737011
3240		0.737031
3250		0.736994
3260		0.736993
3270		0.737044
3280		0.737048
3290		0.737113
3300		0.737103
3310		0.737020
3320		0.736967
3330		0.736907
3340		0.736848
3350		0.736834
3360		0.736854
3370		0.736806
3380		0.736773
3390		0.736741
3400		0.736666
3410		0.736586
3420		0.736534
3430		0.736497
3440		0.736500
3450		0.736468
3460		0.736480
3470		0.736485
3480		0.736476
3490		0.736476
3500		0.736492
3510		0.736476
3520		0.736428
3530		0.736338
3540		0.736243
3550		0.736149
3560		0.736058
3570		0.736013
3580		0.735985
3590		0.735950
3600		0.735860
3610		0.735756
3620		0.735636
3630		0.735508
3640		0.735365
3650		0.735202
3660		0.735004
3670		0.734828
3680		0.734673
3690		0.734451
3700		0.734215
3710		0.734010
3720		0.733773
3730		0.733582
3740		0.733374
3750		0.733152
3760		0.732856
3770		0.732583
3780		0.732286
3790		0.732011
3800		0.731750
3810		0.731523
3820		0.731403
3830		0.731217
3840		0.731037
3850		0.731005
3860		0.730962
3870		0.730871
3880		0.730854
3890		0.730832
3900		0.730816
3910		0.730819
3920		0.730870
3930		0.730894
3940		0.730936
3950		0.731043
3960		0.731213
3970		0.731343
3980		0.731395
3990		0.731458
4000		0.731544
4010		0.731647
4020		0.731750
4030		0.731827
4040		0.731897
4050		0.731936
4060		0.732001
4070		0.732096
4080		0.732207
4090		0.732347
4100		0.732509
4110		0.732596
4120		0.732769
4130		0.732921
4140		0.733090
4150		0.733184
4160		0.733228
4170		0.733301
4180		0.733352
4190		0.733369
4200		0.733438
4210		0.733461
4220		0.733467
4230		0.733497
4240		0.733498
4250		0.733417
4260		0.733418
4270		0.733380
4280		0.733392
4290		0.733356
4300		0.733329
4310		0.733233
4320		0.733090
4330		0.732935
4340		0.732784
4350		0.732597
4360		0.732340
4370		0.732099
4380		0.731878
4390		0.731670
4400		0.731426
4410		0.731164
4420		0.730851
4430		0.730521
4440		0.730159
4450		0.729839
4460		0.729501
4470		0.729149
4480		0.728816
4490		0.728520
4500		0.728228
4510		0.727876
4520		0.727527
4530		0.727199
4540		0.726915
4550		0.726644
4560		0.726351
4570		0.726036
4580		0.725725
4590		0.725395
4600		0.725078
4610		0.724798
4620		0.724566
4630		0.724413
4640		0.724196
4650		0.723948
4660		0.723703
4670		0.723498
4680		0.723221
4690		0.722940
4700		0.722677
4710		0.722431
4720		0.722176
4730		0.721944
4740		0.721788
4750		0.721526
4760		0.721284
4770		0.721097
