k		corr_k
0		1.000000
10		0.993676
20		0.987920
30		0.982215
40		0.976679
50		0.971248
60		0.965813
70		0.960489
80		0.955187
90		0.949986
100		0.944890
110		0.939841
120		0.934925
130		0.930113
140		0.925353
150		0.920632
160		0.915953
170		0.911438
180		0.906873
190		0.902430
200		0.898089
210		0.893717
220		0.889565
230		0.885462
240		0.881426
250		0.877437
260		0.873510
270		0.869701
280		0.865921
290		0.862208
300		0.858461
310		0.854836
320		0.851352
330		0.847957
340		0.844597
350		0.841218
360		0.837956
370		0.834657
380		0.831394
390		0.828197
400		0.825069
410		0.821940
420		0.818884
430		0.815950
440		0.813005
450		0.810106
460		0.807312
470		0.804539
480		0.801737
490		0.799004
500		0.796322
510		0.793730
520		0.791139
530		0.788592
540		0.786137
550		0.783692
560		0.781284
570		0.778887
580		0.776580
590		0.774296
600		0.771957
610		0.769719
620		0.767461
630		0.765190
640		0.762972
650		0.760815
660		0.758636
670		0.756441
680		0.754266
690		0.752056
700		0.749942
710		0.747821
720		0.745702
730		0.743711
740		0.741752
750		0.739850
760		0.737991
770		0.736147
780		0.734335
790		0.732524
800		0.730740
810		0.728995
820		0.727330
830		0.725691
840		0.724031
850		0.722516
860		0.721072
870		0.719659
880		0.718209
890		0.716822
900		0.715387
910		0.713977
920		0.712547
930		0.711154
940		0.709806
950		0.708458
960		0.707097
970		0.705761
980		0.704402
990		0.702994
1000		0.701654
1010		0.700413
1020		0.699086
1030		0.697842
1040		0.696429
1050		0.695199
1060		0.693994
1070		0.692901
1080		0.691663
1090		0.690397
1100		0.689159
1110		0.687839
1120		0.686580
1130		0.685370
1140		0.684162
1150		0.682977
1160		0.681781
1170		0.680516
1180		0.679295
1190		0.678099
1200		0.677001
1210		0.675900
1220		0.674756
1230		0.673583
1240		0.672391
1250		0.671293
1260		0.670134
1270		0.669109
1280		0.668034
1290		0.666941
1300		0.665942
1310		0.664925
1320		0.663933
1330		0.662958
1340		0.662040
1350		0.661182
1360		0.660246
1370		0.659400
1380		0.658469
1390		0.657524
1400		0.656635
1410		0.655753
1420		0.654872
1430		0.653995
1440		0.653183
1450		0.652358
1460		0.651520
1470		0.650673
1480		0.649833
