k		corr_k
0		1.000000
10		0.992881
20		0.985041
30		0.977382
40		0.969713
50		0.962150
60		0.954708
70		0.947384
80		0.940078
90		0.932938
100		0.925840
110		0.918775
120		0.911824
130		0.905018
140		0.898206
150		0.891507
160		0.884897
170		0.878353
180		0.872041
190		0.865784
200		0.859584
210		0.853569
220		0.847531
230		0.841682
240		0.835874
250		0.830097
260		0.824350
270		0.818598
280		0.812851
290		0.807200
300		0.801678
310		0.796191
320		0.790646
330		0.785210
340		0.779835
350		0.774525
360		0.769276
370		0.764072
380		0.759024
390		0.753933
400		0.748932
410		0.743998
420		0.739086
430		0.734189
440		0.729309
450		0.724405
460		0.719545
470		0.714841
480		0.710224
490		0.705637
500		0.701112
510		0.696657
520		0.692256
530		0.687834
540		0.683571
550		0.679426
560		0.675305
570		0.671243
580		0.667199
590		0.663223
600		0.659244
610		0.655315
620		0.651390
630		0.647528
640		0.643695
650		0.639911
660		0.636234
670		0.632522
680		0.628922
690		0.625309
700		0.621692
710		0.618110
720		0.614609
730		0.611129
740		0.607675
750		0.604328
760		0.601016
770		0.597638
780		0.594219
790		0.590808
800		0.587449
810		0.584063
820		0.580750
830		0.577411
840		0.574150
850		0.570895
860		0.567643
870		0.564393
880		0.561198
890		0.558018
900		0.554779
910		0.551565
920		0.548344
930		0.545038
940		0.541755
950		0.538570
960		0.535339
970		0.532076
980		0.528871
990		0.525671
1000		0.522542
1010		0.519390
1020		0.516291
1030		0.513246
1040		0.510189
1050		0.507126
1060		0.504112
1070		0.501126
1080		0.498065
1090		0.495013
1100		0.491971
1110		0.489060
1120		0.486087
1130		0.483172
1140		0.480372
1150		0.477476
1160		0.474582
1170		0.471678
1180		0.468759
1190		0.465981
1200		0.463265
1210		0.460629
1220		0.458074
1230		0.455581
1240		0.453148
1250		0.450726
1260		0.448455
1270		0.446239
1280		0.444093
1290		0.442006
1300		0.439849
1310		0.437631
1320		0.435394
1330		0.433145
1340		0.430947
1350		0.428732
1360		0.426518
1370		0.424396
1380		0.422304
1390		0.420165
1400		0.418028
1410		0.415962
1420		0.413896
1430		0.411900
1440		0.409896
1450		0.407903
1460		0.405967
1470		0.404126
1480		0.402286
1490		0.400414
1500		0.398515
1510		0.396591
1520		0.394621
1530		0.392685
1540		0.390785
1550		0.388858
1560		0.386949
1570		0.384964
1580		0.382982
1590		0.380989
1600		0.378984
1610		0.376986
1620		0.374994
1630		0.373054
1640		0.371082
1650		0.369070
1660		0.367053
1670		0.364950
1680		0.362857
1690		0.360777
1700		0.358757
1710		0.356691
1720		0.354644
1730		0.352634
1740		0.350538
1750		0.348439
1760		0.346370
1770		0.344362
1780		0.342373
1790		0.340362
1800		0.338383
1810		0.336346
1820		0.334295
1830		0.332252
1840		0.330149
1850		0.328008
1860		0.325966
1870		0.323942
1880		0.321917
1890		0.319839
1900		0.317749
1910		0.315702
1920		0.313701
1930		0.311736
1940		0.309832
1950		0.307959
1960		0.306176
1970		0.304346
1980		0.302470
1990		0.300733
2000		0.299020
2010		0.297344
2020		0.295714
2030		0.294048
2040		0.292407
2050		0.290820
2060		0.289264
2070		0.287653
2080		0.286039
2090		0.284492
2100		0.282924
2110		0.281383
2120		0.279873
2130		0.278345
2140		0.276855
2150		0.275386
2160		0.273985
2170		0.272613
2180		0.271285
2190		0.269979
2200		0.268669
2210		0.267471
2220		0.266292
2230		0.265114
2240		0.263952
2250		0.262812
2260		0.261694
2270		0.260626
2280		0.259506
2290		0.258357
2300		0.257199
2310		0.256085
2320		0.255003
2330		0.253988
2340		0.252989
2350		0.252106
2360		0.251207
2370		0.250315
2380		0.249436
2390		0.248504
2400		0.247539
2410		0.246565
2420		0.245620
2430		0.244671
2440		0.243675
2450		0.242674
2460		0.241665
2470		0.240566
2480		0.239448
2490		0.238299
2500		0.237128
2510		0.235928
2520		0.234712
2530		0.233500
2540		0.232337
2550		0.231220
2560		0.230052
2570		0.228865
2580		0.227641
2590		0.226399
2600		0.225146
2610		0.223926
2620		0.222725
2630		0.221583
2640		0.220479
2650		0.219348
2660		0.218266
2670		0.217190
2680		0.216171
2690		0.215204
2700		0.214200
2710		0.213203
2720		0.212221
2730		0.211298
2740		0.210452
2750		0.209667
2760		0.208890
2770		0.208180
2780		0.207543
2790		0.206839
2800		0.206116
2810		0.205329
2820		0.204501
2830		0.203660
2840		0.202770
2850		0.201904
2860		0.201037
2870		0.200199
2880		0.199389
2890		0.198592
2900		0.197781
2910		0.197011
2920		0.196224
2930		0.195458
2940		0.194667
2950		0.193794
2960		0.192882
2970		0.191951
2980		0.191046
2990		0.190163
3000		0.189258
3010		0.188423
3020		0.187671
3030		0.186878
3040		0.186103
3050		0.185297
3060		0.184570
3070		0.183900
3080		0.183336
3090		0.182724
3100		0.182104
3110		0.181427
3120		0.180750
3130		0.180046
3140		0.179273
3150		0.178411
3160		0.177542
3170		0.176657
3180		0.175762
3190		0.174900
3200		0.174046
3210		0.173143
3220		0.172186
3230		0.171227
3240		0.170204
3250		0.169205
3260		0.168195
3270		0.167173
3280		0.166099
3290		0.165036
3300		0.164033
3310		0.163051
3320		0.162067
3330		0.161067
3340		0.160097
3350		0.159113
3360		0.158065
3370		0.157002
3380		0.155942
3390		0.154895
