k		corr_k
0		1.000000
10		0.998648
20		0.997487
30		0.996444
40		0.995515
50		0.994638
60		0.993803
70		0.993007
80		0.992260
90		0.991545
100		0.990859
110		0.990187
120		0.989514
130		0.988865
140		0.988222
150		0.987588
160		0.986971
170		0.986372
180		0.985776
190		0.985182
200		0.984595
210		0.984021
220		0.983444
230		0.982859
240		0.982268
250		0.981697
260		0.981137
270		0.980569
280		0.979992
290		0.979434
300		0.978852
310		0.978284
320		0.977716
330		0.977152
340		0.976592
350		0.976052
360		0.975522
370		0.975000
380		0.974480
390		0.973968
400		0.973458
410		0.972950
420		0.972458
430		0.971976
440		0.971485
450		0.970999
460		0.970519
470		0.970046
480		0.969569
490		0.969095
500		0.968629
510		0.968176
520		0.967724
530		0.967270
540		0.966826
550		0.966371
560		0.965927
570		0.965491
580		0.965048
590		0.964612
600		0.964181
610		0.963755
620		0.963341
630		0.962933
640		0.962523
650		0.962112
660		0.961689
670		0.961265
680		0.960836
690		0.960416
700		0.960011
710		0.959624
720		0.959227
730		0.958830
740		0.958446
750		0.958045
760		0.957644
770		0.957257
780		0.956879
790		0.956507
800		0.956135
810		0.955765
820		0.955391
830		0.955007
840		0.954639
850		0.954281
860		0.953923
870		0.953553
880		0.953189
890		0.952820
900		0.952459
910		0.952097
920		0.951738
930		0.951376
940		0.951030
950		0.950695
960		0.950348
970		0.949997
980		0.949654
990		0.949296
1000		0.948937
1010		0.948588
1020		0.948240
1030		0.947889
1040		0.947540
1050		0.947188
1060		0.946839
1070		0.946492
1080		0.946139
1090		0.945792
1100		0.945452
1110		0.945122
1120		0.944800
1130		0.944477
1140		0.944154
1150		0.943829
1160		0.943518
1170		0.943209
1180		0.942906
1190		0.942602
1200		0.942312
1210		0.942021
1220		0.941727
1230		0.941436
1240		0.941149
1250		0.940861
1260		0.940569
1270		0.940274
1280		0.939980
1290		0.939681
1300		0.939385
1310		0.939093
1320		0.938795
1330		0.938507
1340		0.938216
1350		0.937930
1360		0.937647
1370		0.937369
1380		0.937099
1390		0.936831
1400		0.936554
1410		0.936264
1420		0.935976
1430		0.935690
1440		0.935424
1450		0.935155
1460		0.934887
1470		0.934613
1480		0.934338
1490		0.934061
1500		0.933786
1510		0.933508
1520		0.933241
1530		0.932971
1540		0.932715
1550		0.932465
1560		0.932219
1570		0.931972
1580		0.931716
1590		0.931463
1600		0.931222
1610		0.930985
1620		0.930740
1630		0.930491
1640		0.930246
1650		0.930009
1660		0.929788
1670		0.929579
1680		0.929369
1690		0.929146
1700		0.928928
1710		0.928720
1720		0.928514
1730		0.928295
1740		0.928065
1750		0.927838
1760		0.927609
1770		0.927384
1780		0.927166
1790		0.926950
1800		0.926744
1810		0.926544
1820		0.926340
1830		0.926128
1840		0.925915
1850		0.925703
1860		0.925494
1870		0.925285
1880		0.925092
1890		0.924895
1900		0.924692
1910		0.924489
1920		0.924274
1930		0.924054
1940		0.923840
1950		0.923639
1960		0.923446
1970		0.923255
1980		0.923060
1990		0.922866
2000		0.922672
2010		0.922481
2020		0.922298
2030		0.922127
2040		0.921959
2050		0.921782
2060		0.921603
2070		0.921435
2080		0.921260
2090		0.921080
2100		0.920896
2110		0.920706
2120		0.920520
2130		0.920341
2140		0.920161
2150		0.919986
2160		0.919805
2170		0.919632
2180		0.919466
2190		0.919303
2200		0.919146
2210		0.918982
2220		0.918816
2230		0.918655
2240		0.918506
2250		0.918354
2260		0.918205
2270		0.918069
2280		0.917939
2290		0.917809
2300		0.917679
2310		0.917544
2320		0.917406
2330		0.917267
2340		0.917132
2350		0.916994
2360		0.916852
