k		corr_k
0		1.000000
10		0.999581
20		0.999521
30		0.999452
40		0.999397
50		0.999357
60		0.999324
70		0.999294
80		0.999290
90		0.999277
100		0.999280
110		0.999287
120		0.999232
130		0.999137
140		0.999076
150		0.999020
160		0.998997
170		0.998925
180		0.998915
190		0.998872
200		0.998835
210		0.998767
220		0.998686
230		0.998588
240		0.998557
250		0.998506
260		0.998493
270		0.998466
280		0.998409
290		0.998321
300		0.998237
310		0.998186
320		0.998156
330		0.998097
340		0.998013
350		0.997964
360		0.997950
370		0.997903
380		0.997883
390		0.997859
400		0.997766
410		0.997695
420		0.997661
430		0.997624
440		0.997561
450		0.997453
460		0.997391
470		0.997351
480		0.997287
490		0.997216
500		0.997183
510		0.997174
520		0.997129
530		0.997125
540		0.997089
550		0.997044
560		0.996997
570		0.996993
580		0.996916
590		0.996854
600		0.996830
610		0.996775
620		0.996744
630		0.996701
640		0.996653
650		0.996640
660		0.996632
670		0.996603
680		0.996569
690		0.996547
700		0.996514
710		0.996440
720		0.996415
730		0.996401
740		0.996351
750		0.996328
760		0.996333
770		0.996282
780		0.996266
790		0.996228
800		0.996202
810		0.996137
820		0.996080
830		0.996065
840		0.996060
850		0.996028
860		0.995977
870		0.995936
880		0.995871
890		0.995832
900		0.995780
910		0.995774
920		0.995778
930		0.995698
940		0.995636
950		0.995618
960		0.995559
970		0.995560
980		0.995560
990		0.995526
1000		0.995494
1010		0.995463
1020		0.995446
1030		0.995398
1040		0.995330
1050		0.995291
1060		0.995315
1070		0.995268
1080		0.995260
1090		0.995282
1100		0.995250
1110		0.995256
1120		0.995252
1130		0.995201
1140		0.995167
1150		0.995130
1160		0.995088
1170		0.995069
1180		0.995020
1190		0.994999
1200		0.994976
1210		0.994979
1220		0.994942
1230		0.994918
1240		0.994870
1250		0.994845
1260		0.994786
1270		0.994704
1280		0.994659
1290		0.994636
1300		0.994635
1310		0.994595
1320		0.994541
1330		0.994457
1340		0.994386
1350		0.994345
1360		0.994313
1370		0.994228
1380		0.994154
1390		0.994123
1400		0.994085
1410		0.994038
1420		0.993969
1430		0.993954
1440		0.993936
1450		0.993935
1460		0.993888
1470		0.993778
1480		0.993709
1490		0.993692
1500		0.993660
1510		0.993627
1520		0.993573
1530		0.993508
1540		0.993432
1550		0.993415
1560		0.993387
1570		0.993353
1580		0.993380
1590		0.993361
1600		0.993351
1610		0.993358
1620		0.993312
1630		0.993312
1640		0.993359
1650		0.993308
1660		0.993224
1670		0.993214
1680		0.993180
1690		0.993158
1700		0.993179
1710		0.993184
1720		0.993176
1730		0.993136
1740		0.993116
1750		0.993092
1760		0.993005
1770		0.992975
1780		0.992907
1790		0.992861
1800		0.992789
1810		0.992722
1820		0.992699
1830		0.992683
1840		0.992686
1850		0.992694
1860		0.992695
1870		0.992651
1880		0.992602
1890		0.992602
1900		0.992571
1910		0.992530
1920		0.992490
1930		0.992517
1940		0.992448
1950		0.992376
1960		0.992302
1970		0.992243
1980		0.992184
1990		0.992095
2000		0.992052
2010		0.992025
2020		0.992031
2030		0.992036
2040		0.992017
2050		0.992034
2060		0.991986
2070		0.991960
2080		0.991920
2090		0.991914
2100		0.991895
2110		0.991888
2120		0.991855
2130		0.991810
2140		0.991779
2150		0.991741
2160		0.991696
2170		0.991620
2180		0.991562
2190		0.991560
2200		0.991476
2210		0.991467
2220		0.991477
2230		0.991418
2240		0.991367
2250		0.991343
2260		0.991318
2270		0.991249
2280		0.991176
2290		0.991155
2300		0.991131
2310		0.991103
2320		0.991122
2330		0.991096
2340		0.991071
2350		0.991046
2360		0.990999
2370		0.990972
2380		0.990966
2390		0.990930
2400		0.990866
2410		0.990820
2420		0.990760
2430		0.990671
2440		0.990610
2450		0.990557
2460		0.990518
2470		0.990487
2480		0.990439
2490		0.990387
2500		0.990379
2510		0.990351
2520		0.990338
2530		0.990290
2540		0.990222
2550		0.990167
2560		0.990139
2570		0.990080
2580		0.989991
2590		0.989945
2600		0.989917
2610		0.989917
2620		0.989887
2630		0.989875
2640		0.989858
2650		0.989839
2660		0.989838
2670		0.989842
2680		0.989844
2690		0.989846
2700		0.989851
2710		0.989854
2720		0.989798
2730		0.989713
2740		0.989712
2750		0.989706
2760		0.989691
2770		0.989674
2780		0.989608
2790		0.989537
2800		0.989505
2810		0.989467
2820		0.989409
2830		0.989373
2840		0.989335
2850		0.989306
2860		0.989248
2870		0.989204
2880		0.989153
2890		0.989098
2900		0.989044
2910		0.989000
2920		0.988963
2930		0.988943
2940		0.988936
2950		0.988919
2960		0.988853
2970		0.988809
2980		0.988757
2990		0.988693
3000		0.988616
3010		0.988543
3020		0.988520
3030		0.988470
3040		0.988440
3050		0.988417
3060		0.988397
3070		0.988370
3080		0.988348
3090		0.988341
3100		0.988337
3110		0.988379
3120		0.988385
3130		0.988360
3140		0.988334
3150		0.988268
3160		0.988188
3170		0.988161
3180		0.988123
3190		0.988078
3200		0.988040
3210		0.988045
3220		0.988037
3230		0.987939
3240		0.987893
3250		0.987855
3260		0.987837
3270		0.987856
3280		0.987865
3290		0.987831
3300		0.987758
3310		0.987704
3320		0.987683
3330		0.987622
3340		0.987584
3350		0.987531
3360		0.987457
3370		0.987379
3380		0.987349
3390		0.987299
3400		0.987255
3410		0.987230
3420		0.987153
3430		0.987116
3440		0.987113
3450		0.987105
3460		0.987071
3470		0.987003
3480		0.986968
3490		0.986900
3500		0.986860
3510		0.986858
3520		0.986856
3530		0.986855
3540		0.986846
3550		0.986807
3560		0.986765
3570		0.986700
3580		0.986659
3590		0.986605
3600		0.986584
3610		0.986569
3620		0.986514
3630		0.986471
3640		0.986465
3650		0.986409
3660		0.986365
3670		0.986281
3680		0.986231
3690		0.986191
3700		0.986178
3710		0.986120
3720		0.986099
3730		0.986075
3740		0.986059
3750		0.986001
3760		0.985969
3770		0.985978
3780		0.985982
3790		0.985968
3800		0.985919
3810		0.985883
3820		0.985849
3830		0.985766
3840		0.985685
3850		0.985650
3860		0.985631
3870		0.985630
3880		0.985593
3890		0.985518
3900		0.985461
3910		0.985403
3920		0.985350
3930		0.985312
3940		0.985268
3950		0.985269
3960		0.985214
3970		0.985142
3980		0.985057
3990		0.984989
4000		0.984904
4010		0.984882
4020		0.984823
4030		0.984786
4040		0.984792
4050		0.984769
4060		0.984730
4070		0.984681
4080		0.984647
4090		0.984623
4100		0.984589
4110		0.984483
4120		0.984403
4130		0.984324
4140		0.984268
4150		0.984265
4160		0.984279
4170		0.984223
4180		0.984173
4190		0.984123
4200		0.984059
4210		0.984033
4220		0.983993
4230		0.983909
4240		0.983846
4250		0.983816
4260		0.983810
4270		0.983843
4280		0.983825
4290		0.983828
4300		0.983808
4310		0.983755
4320		0.983716
4330		0.983683
4340		0.983667
4350		0.983633
4360		0.983603
4370		0.983580
4380		0.983513
4390		0.983456
4400		0.983399
4410		0.983342
4420		0.983228
4430		0.983179
4440		0.983187
4450		0.983214
4460		0.983180
4470		0.983134
4480		0.983131
4490		0.983102
4500		0.983085
4510		0.983035
4520		0.983017
4530		0.982982
4540		0.982944
4550		0.982886
4560		0.982834
4570		0.982751
4580		0.982725
4590		0.982685
4600		0.982674
4610		0.982639
4620		0.982625
4630		0.982618
4640		0.982578
4650		0.982612
4660		0.982647
4670		0.982632
4680		0.982572
4690		0.982560
4700		0.982538
4710		0.982517
4720		0.982489
4730		0.982433
4740		0.982369
4750		0.982348
4760		0.982334
4770		0.982334
4780		0.982294
4790		0.982247
4800		0.982210
4810		0.982161
4820		0.982085
