k		corr_k
0		1.000000
10		0.998796
20		0.997255
30		0.995760
40		0.994261
50		0.992795
60		0.991319
70		0.989897
80		0.988489
90		0.987156
100		0.985825
110		0.984516
120		0.983224
130		0.982016
140		0.980811
150		0.979652
160		0.978473
170		0.977277
180		0.976173
190		0.975078
200		0.974007
210		0.972922
220		0.971904
230		0.970883
240		0.969831
250		0.968859
260		0.967956
270		0.967029
280		0.966073
290		0.965204
300		0.964271
310		0.963392
320		0.962531
330		0.961714
340		0.960988
350		0.960216
360		0.959422
370		0.958736
380		0.958032
390		0.957340
400		0.956606
410		0.955932
420		0.955277
430		0.954631
440		0.953976
450		0.953344
460		0.952792
470		0.952237
480		0.951693
490		0.951162
500		0.950627
510		0.950034
520		0.949504
530		0.948940
540		0.948423
550		0.947916
560		0.947356
570		0.946844
580		0.946339
590		0.945879
600		0.945378
610		0.944881
620		0.944432
630		0.943942
640		0.943478
650		0.943090
660		0.942635
670		0.942203
680		0.941796
690		0.941400
700		0.941014
710		0.940672
720		0.940270
730		0.939953
740		0.939605
750		0.939245
760		0.938947
770		0.938619
780		0.938269
790		0.937904
800		0.937616
810		0.937248
820		0.936931
830		0.936570
840		0.936243
850		0.935937
860		0.935582
870		0.935239
880		0.934933
890		0.934629
900		0.934334
910		0.934031
920		0.933693
930		0.933366
940		0.933092
950		0.932816
960		0.932575
970		0.932307
980		0.932033
990		0.931760
1000		0.931517
1010		0.931237
1020		0.931020
1030		0.930774
1040		0.930553
1050		0.930300
1060		0.930071
1070		0.929896
1080		0.929673
1090		0.929396
1100		0.929179
1110		0.928970
1120		0.928751
1130		0.928613
1140		0.928407
1150		0.928246
1160		0.928122
1170		0.927941
1180		0.927800
1190		0.927641
1200		0.927505
1210		0.927376
1220		0.927198
1230		0.927059
1240		0.926866
1250		0.926709
1260		0.926573
1270		0.926398
1280		0.926267
1290		0.926094
1300		0.925953
1310		0.925811
1320		0.925665
1330		0.925527
1340		0.925329
1350		0.925172
1360		0.925021
1370		0.924856
1380		0.924712
1390		0.924536
1400		0.924365
1410		0.924210
1420		0.924079
1430		0.923897
1440		0.923759
1450		0.923615
1460		0.923487
1470		0.923317
1480		0.923192
1490		0.923082
1500		0.922963
1510		0.922826
1520		0.922704
1530		0.922548
1540		0.922417
1550		0.922288
1560		0.922134
1570		0.922008
1580		0.921815
1590		0.921668
1600		0.921503
1610		0.921345
1620		0.921185
1630		0.921068
1640		0.920936
1650		0.920830
1660		0.920706
1670		0.920602
1680		0.920516
1690		0.920411
1700		0.920329
1710		0.920213
1720		0.920129
1730		0.919995
1740		0.919966
1750		0.919857
1760		0.919803
1770		0.919722
1780		0.919617
1790		0.919475
1800		0.919339
1810		0.919269
1820		0.919194
1830		0.919084
1840		0.919014
1850		0.918951
1860		0.918873
1870		0.918725
1880		0.918656
1890		0.918561
1900		0.918491
1910		0.918419
1920		0.918333
1930		0.918260
1940		0.918219
1950		0.918159
1960		0.918087
1970		0.918003
1980		0.917916
1990		0.917862
2000		0.917812
2010		0.917731
2020		0.917646
2030		0.917579
2040		0.917459
2050		0.917363
2060		0.917306
2070		0.917194
2080		0.917132
2090		0.917050
2100		0.916937
2110		0.916844
2120		0.916697
2130		0.916583
2140		0.916460
2150		0.916351
2160		0.916283
2170		0.916131
2180		0.916019
2190		0.915913
2200		0.915836
2210		0.915749
2220		0.915613
2230		0.915506
2240		0.915442
2250		0.915362
2260		0.915260
2270		0.915153
2280		0.915052
2290		0.914977
2300		0.914864
2310		0.914818
2320		0.914702
2330		0.914587
2340		0.914506
2350		0.914454
2360		0.914369
2370		0.914298
2380		0.914229
2390		0.914168
2400		0.914088
2410		0.914045
2420		0.913978
2430		0.913869
2440		0.913799
2450		0.913746
2460		0.913676
2470		0.913609
2480		0.913622
2490		0.913559
2500		0.913574
2510		0.913541
2520		0.913497
2530		0.913454
2540		0.913436
2550		0.913340
2560		0.913259
2570		0.913227
2580		0.913113
2590		0.913082
2600		0.912986
2610		0.912903
2620		0.912870
2630		0.912805
2640		0.912704
2650		0.912634
2660		0.912547
2670		0.912440
2680		0.912335
2690		0.912239
2700		0.912156
2710		0.912054
2720		0.911953
2730		0.911829
2740		0.911731
2750		0.911639
2760		0.911582
2770		0.911444
2780		0.911358
2790		0.911266
2800		0.911214
2810		0.911147
2820		0.911056
2830		0.910968
2840		0.910889
2850		0.910776
2860		0.910646
2870		0.910523
2880		0.910411
2890		0.910317
2900		0.910214
2910		0.910139
2920		0.910066
2930		0.909992
2940		0.909856
2950		0.909791
2960		0.909686
2970		0.909654
2980		0.909560
2990		0.909507
3000		0.909417
3010		0.909342
3020		0.909296
3030		0.909248
3040		0.909178
3050		0.909124
3060		0.909089
3070		0.909029
3080		0.908988
3090		0.908945
3100		0.908871
3110		0.908826
3120		0.908776
3130		0.908696
3140		0.908695
3150		0.908650
3160		0.908608
3170		0.908558
3180		0.908501
3190		0.908425
3200		0.908385
3210		0.908312
3220		0.908195
3230		0.908155
3240		0.908066
3250		0.907968
3260		0.907936
3270		0.907842
3280		0.907792
3290		0.907695
3300		0.907604
3310		0.907529
3320		0.907495
3330		0.907398
3340		0.907352
3350		0.907243
3360		0.907202
3370		0.907110
3380		0.907044
3390		0.906984
3400		0.906944
3410		0.906896
3420		0.906806
3430		0.906775
3440		0.906656
3450		0.906580
3460		0.906512
3470		0.906457
3480		0.906435
3490		0.906330
3500		0.906266
3510		0.906183
3520		0.906081
3530		0.905968
3540		0.905906
3550		0.905770
3560		0.905638
3570		0.905499
3580		0.905416
3590		0.905293
3600		0.905146
3610		0.905037
3620		0.904939
3630		0.904814
3640		0.904738
3650		0.904621
3660		0.904510
3670		0.904398
3680		0.904320
3690		0.904173
3700		0.904136
3710		0.904041
3720		0.903989
3730		0.903885
3740		0.903791
3750		0.903668
3760		0.903634
3770		0.903560
3780		0.903502
3790		0.903396
3800		0.903307
3810		0.903237
3820		0.903180
3830		0.903118
3840		0.903062
3850		0.902970
3860		0.902920
3870		0.902865
3880		0.902822
3890		0.902747
3900		0.902726
3910		0.902675
3920		0.902615
3930		0.902546
3940		0.902490
3950		0.902425
3960		0.902313
3970		0.902265
3980		0.902176
3990		0.902099
4000		0.902027
4010		0.901955
4020		0.901838
4030		0.901832
4040		0.901735
4050		0.901654
4060		0.901617
4070		0.901538
4080		0.901456
4090		0.901340
4100		0.901235
4110		0.901187
4120		0.901124
4130		0.901074
4140		0.901008
4150		0.900904
4160		0.900826
4170		0.900758
4180		0.900632
4190		0.900559
4200		0.900510
4210		0.900447
4220		0.900357
4230		0.900218
4240		0.900123
4250		0.899988
4260		0.899848
4270		0.899722
4280		0.899603
4290		0.899489
4300		0.899374
4310		0.899261
4320		0.899157
4330		0.899069
4340		0.898994
4350		0.898863
4360		0.898789
4370		0.898651
4380		0.898576
4390		0.898523
4400		0.898447
4410		0.898408
4420		0.898351
4430		0.898324
4440		0.898287
4450		0.898215
4460		0.898138
4470		0.898110
4480		0.898035
4490		0.898026
4500		0.897954
4510		0.897897
4520		0.897815
4530		0.897776
4540		0.897725
4550		0.897651
4560		0.897626
4570		0.897548
4580		0.897548
4590		0.897541
4600		0.897448
4610		0.897406
4620		0.897344
4630		0.897325
4640		0.897228
4650		0.897201
4660		0.897149
4670		0.897153
4680		0.897079
4690		0.897049
4700		0.896996
4710		0.896964
4720		0.896901
4730		0.896861
4740		0.896807
4750		0.896805
4760		0.896780
4770		0.896740
4780		0.896758
4790		0.896764
4800		0.896724
4810		0.896697
4820		0.896734
4830		0.896703
4840		0.896703
4850		0.896693
4860		0.896680
4870		0.896690
4880		0.896672
4890		0.896653
4900		0.896611
4910		0.896567
4920		0.896545
4930		0.896556
4940		0.896546
4950		0.896478
4960		0.896447
4970		0.896399
4980		0.896404
4990		0.896391
5000		0.896382
5010		0.896339
5020		0.896340
5030		0.896351
5040		0.896376
5050		0.896394
5060		0.896387
5070		0.896402
5080		0.896433
5090		0.896411
5100		0.896402
5110		0.896404
5120		0.896360
5130		0.896369
5140		0.896316
5150		0.896246
5160		0.896174
5170		0.896078
5180		0.896039
5190		0.896018
5200		0.895920
5210		0.895833
5220		0.895773
5230		0.895703
5240		0.895602
5250		0.895508
5260		0.895413
5270		0.895300
5280		0.895224
5290		0.895151
5300		0.895025
5310		0.894923
5320		0.894814
