k		corr_k
0		1.000000
10		0.979702
20		0.963005
30		0.946707
40		0.930561
50		0.914896
60		0.899664
70		0.884580
80		0.869774
90		0.855335
100		0.841233
110		0.827350
120		0.813858
130		0.800649
140		0.787678
150		0.774934
160		0.762474
170		0.750472
180		0.738706
190		0.727249
200		0.716082
210		0.705308
220		0.694885
230		0.684528
240		0.674495
250		0.664621
260		0.654839
270		0.645072
280		0.635554
290		0.626394
300		0.617361
310		0.608405
320		0.599572
330		0.590959
340		0.582683
350		0.574615
360		0.566600
370		0.558670
380		0.550949
390		0.543295
400		0.535800
410		0.528414
420		0.521256
430		0.514296
440		0.507583
450		0.500910
460		0.494412
470		0.488259
480		0.482372
490		0.476819
500		0.471293
510		0.465825
520		0.460407
530		0.455029
540		0.449673
550		0.444280
560		0.438854
570		0.433357
580		0.427982
590		0.422781
600		0.417705
610		0.412547
620		0.407426
630		0.402323
640		0.397331
650		0.392338
660		0.387350
670		0.382362
680		0.377394
690		0.372400
700		0.367530
710		0.362826
720		0.358200
730		0.353715
740		0.349302
750		0.344990
760		0.340711
770		0.336635
780		0.332566
790		0.328510
800		0.324562
810		0.320621
820		0.316796
830		0.312912
840		0.309015
850		0.305235
860		0.301563
870		0.297951
880		0.294330
890		0.290752
900		0.287340
910		0.283915
920		0.280377
930		0.276817
940		0.273294
950		0.269885
960		0.266490
970		0.263201
980		0.259882
990		0.256459
1000		0.253059
1010		0.249579
1020		0.246198
1030		0.242756
1040		0.239211
1050		0.235671
1060		0.232198
1070		0.228790
1080		0.225486
1090		0.222318
1100		0.219222
1110		0.216095
1120		0.213083
1130		0.210008
1140		0.206994
1150		0.204091
1160		0.201401
1170		0.198792
1180		0.196171
1190		0.193658
1200		0.191334
1210		0.188968
1220		0.186490
1230		0.184182
1240		0.181874
1250		0.179646
1260		0.177553
1270		0.175439
1280		0.173375
1290		0.171430
1300		0.169526
1310		0.167668
1320		0.165774
1330		0.164076
1340		0.162492
1350		0.160973
1360		0.159490
1370		0.158073
1380		0.156671
1390		0.155235
1400		0.153796
1410		0.152372
1420		0.150830
1430		0.149348
1440		0.147895
1450		0.146475
1460		0.145145
1470		0.143817
1480		0.142595
1490		0.141315
1500		0.139930
1510		0.138733
1520		0.137389
1530		0.136034
1540		0.134488
1550		0.132863
1560		0.131213
1570		0.129594
1580		0.127957
1590		0.126507
1600		0.125126
1610		0.123960
1620		0.122946
1630		0.121932
1640		0.120907
1650		0.119959
1660		0.118847
1670		0.117704
1680		0.116549
1690		0.115463
1700		0.114508
1710		0.113571
1720		0.112535
1730		0.111670
1740		0.110951
1750		0.110387
1760		0.109951
1770		0.109485
1780		0.108997
1790		0.108483
1800		0.107910
1810		0.107194
1820		0.106368
1830		0.105457
1840		0.104399
1850		0.103289
1860		0.102139
1870		0.101000
1880		0.099914
1890		0.098735
1900		0.097462
1910		0.096110
1920		0.094768
1930		0.093434
1940		0.092061
1950		0.090798
1960		0.089709
1970		0.088623
1980		0.087540
1990		0.086471
2000		0.085425
2010		0.084298
2020		0.083191
2030		0.082065
2040		0.080866
2050		0.079733
2060		0.078726
2070		0.077873
2080		0.077071
2090		0.076395
2100		0.075831
2110		0.075287
2120		0.074649
2130		0.073923
2140		0.073319
2150		0.072830
2160		0.072426
2170		0.071953
2180		0.071376
2190		0.070788
2200		0.070086
2210		0.069443
2220		0.068839
2230		0.068252
2240		0.067670
2250		0.067108
2260		0.066574
2270		0.066138
2280		0.065763
2290		0.065451
2300		0.065071
2310		0.064683
2320		0.064294
2330		0.063738
2340		0.063264
2350		0.062785
2360		0.062206
2370		0.061607
2380		0.061087
2390		0.060514
2400		0.060020
2410		0.059653
2420		0.059376
2430		0.059145
2440		0.058862
2450		0.058507
2460		0.058154
2470		0.057840
2480		0.057382
2490		0.056877
2500		0.056308
2510		0.055659
2520		0.054984
2530		0.054490
2540		0.054006
2550		0.053515
2560		0.053109
2570		0.052859
2580		0.052590
2590		0.052312
2600		0.052111
2610		0.051965
2620		0.051845
2630		0.051932
2640		0.052016
2650		0.052159
2660		0.052353
2670		0.052496
2680		0.052554
2690		0.052485
2700		0.052326
2710		0.052030
2720		0.051873
