T	<m>	d<m>	suscep
10.000	0.066	0.010	45249.000
9.901	0.071	0.003	3339.057
9.802	0.073	0.002	1048.153
9.703	0.070	0.003	3517.057
9.604	0.072	0.003	4157.643
9.505	0.072	0.003	2875.118
9.406	0.074	0.002	1325.750
9.307	0.073	0.003	2980.123
9.208	0.074	0.002	2561.686
9.109	0.074	0.004	5790.976
9.010	0.075	0.002	2581.798
8.911	0.075	0.002	2415.890
8.812	0.074	0.004	6493.872
8.713	0.074	0.003	5432.113
8.614	0.075	0.003	5079.173
8.515	0.076	0.004	6257.193
8.416	0.077	0.002	1561.074
8.317	0.078	0.003	3982.445
8.218	0.075	0.002	2910.197
8.119	0.076	0.003	5769.923
8.020	0.079	0.002	2592.020
7.921	0.078	0.004	8482.515
7.822	0.083	0.004	7261.826
7.723	0.080	0.002	3327.981
7.624	0.081	0.001	552.991
7.525	0.083	0.004	7931.429
7.426	0.083	0.003	4942.095
7.327	0.086	0.003	3931.760
7.228	0.085	0.003	5754.566
7.129	0.086	0.004	7627.718
7.030	0.086	0.001	658.322
6.931	0.087	0.003	5518.107
6.832	0.086	0.002	2000.878
6.733	0.087	0.002	3516.412
6.634	0.086	0.003	6897.196
6.535	0.091	0.002	2347.360
6.436	0.088	0.003	7473.586
6.337	0.091	0.002	2962.285
6.238	0.090	0.002	3953.831
6.139	0.094	0.003	7657.273
6.040	0.091	0.003	4922.517
5.941	0.093	0.003	5382.932
5.842	0.093	0.003	6077.371
5.743	0.094	0.002	3921.295
5.644	0.095	0.002	2919.206
5.545	0.097	0.002	4227.953
5.446	0.096	0.003	6722.732
5.347	0.098	0.002	3618.478
5.248	0.097	0.003	5852.896
5.149	0.097	0.003	5354.049
5.050	0.098	0.003	8386.534
4.951	0.100	0.002	4567.966
4.852	0.102	0.002	3720.527
4.753	0.101	0.002	5118.451
4.654	0.102	0.002	3589.171
4.555	0.103	0.003	10354.336
4.456	0.104	0.003	6395.871
4.357	0.104	0.002	2603.626
4.258	0.106	0.003	10731.799
4.159	0.106	0.003	7341.188
4.060	0.105	0.002	3331.034
3.961	0.105	0.002	2949.760
3.862	0.107	0.003	9087.520
3.763	0.107	0.004	20308.264
3.664	0.107	0.002	5888.646
3.565	0.110	0.003	10263.113
3.466	0.108	0.002	3308.713
3.367	0.109	0.003	10307.098
3.268	0.108	0.002	3658.507
3.169	0.106	0.002	4517.513
3.070	0.106	0.002	7008.469
2.971	0.108	0.001	2825.984
2.872	0.107	0.002	6073.816
2.773	0.104	0.002	5236.206
2.674	0.105	0.002	9000.747
2.575	0.099	0.002	4525.049
2.476	0.097	0.001	2420.032
2.377	0.093	0.002	8015.146
2.278	0.088	0.003	13539.948
2.179	0.083	0.002	4703.993
2.080	0.075	0.002	7150.000
1.981	0.067	0.003	20958.102
1.882	0.059	0.003	17106.270
1.783	0.052	0.002	5698.261
1.684	0.046	0.002	9672.803
1.585	0.039	0.002	9720.505
1.486	0.034	0.001	3557.200
1.387	0.029	0.001	5374.729
1.288	0.025	0.001	1487.578
1.189	0.022	0.001	4665.265
1.090	0.019	0.001	2584.862
0.991	0.017	0.001	2180.625
0.892	0.015	0.001	2603.979
0.793	0.014	0.000	999.921
0.694	0.014	0.000	737.662
0.595	0.014	0.000	157.983
0.496	0.013	0.000	547.883
0.397	0.013	0.000	125.944
0.298	0.013	0.000	100.461
0.199	0.013	0.000	3.769
