T	<m>	d<m>	suscep
10.000	0.070	0.028	79.914
9.901	0.070	0.026	70.611
9.802	0.071	0.024	63.283
9.703	0.070	0.026	73.331
9.604	0.071	0.027	78.052
9.505	0.070	0.025	67.723
9.406	0.071	0.027	79.718
9.307	0.073	0.026	76.624
9.208	0.073	0.025	73.346
9.109	0.075	0.026	79.078
9.010	0.075	0.025	74.056
8.911	0.076	0.027	83.678
8.812	0.075	0.024	68.704
8.713	0.074	0.025	74.376
8.614	0.075	0.025	75.453
8.515	0.076	0.025	78.800
8.416	0.078	0.025	76.540
8.317	0.078	0.023	66.709
8.218	0.079	0.024	74.386
8.119	0.081	0.024	74.264
8.020	0.080	0.025	80.196
7.921	0.080	0.024	78.555
7.822	0.081	0.026	91.893
7.723	0.080	0.024	76.992
7.624	0.082	0.023	74.160
7.525	0.080	0.024	82.846
7.426	0.082	0.025	87.419
7.327	0.085	0.024	84.015
7.228	0.085	0.024	85.340
7.129	0.086	0.024	87.998
7.030	0.084	0.024	88.783
6.931	0.085	0.025	93.005
6.832	0.087	0.024	86.869
6.733	0.088	0.025	93.524
6.634	0.087	0.024	91.998
6.535	0.089	0.024	91.757
6.436	0.090	0.023	88.627
6.337	0.088	0.024	98.924
6.238	0.091	0.023	86.116
6.139	0.091	0.024	95.374
6.040	0.093	0.023	94.427
5.941	0.093	0.024	101.323
5.842	0.094	0.024	103.436
5.743	0.095	0.023	93.677
5.644	0.097	0.023	97.467
5.545	0.096	0.022	92.097
5.446	0.097	0.022	92.425
5.347	0.098	0.022	98.891
5.248	0.098	0.022	95.728
5.149	0.099	0.022	100.727
5.050	0.099	0.020	84.677
4.951	0.101	0.021	91.027
4.852	0.101	0.022	103.018
4.753	0.102	0.022	105.682
4.654	0.104	0.020	92.083
4.555	0.102	0.021	101.265
4.456	0.103	0.022	115.306
4.357	0.104	0.020	98.977
4.258	0.105	0.020	103.195
4.159	0.105	0.022	117.969
4.060	0.106	0.020	101.327
3.961	0.106	0.021	115.925
3.862	0.107	0.019	103.022
3.763	0.107	0.020	111.890
3.664	0.108	0.019	107.231
3.565	0.106	0.019	104.898
3.466	0.108	0.020	117.781
3.367	0.108	0.020	124.502
3.268	0.109	0.018	104.132
3.169	0.108	0.019	120.068
3.070	0.106	0.018	109.764
2.971	0.106	0.018	111.233
2.872	0.106	0.018	115.449
2.773	0.104	0.017	103.163
2.674	0.102	0.016	103.747
2.575	0.099	0.017	122.484
2.476	0.097	0.016	112.201
2.377	0.090	0.015	103.030
2.278	0.084	0.016	117.633
2.179	0.073	0.015	109.708
2.080	0.060	0.013	88.080
1.981	0.047	0.011	68.182
1.882	0.039	0.010	56.406
1.783	0.033	0.009	42.965
1.684	0.027	0.008	36.754
1.585	0.022	0.007	33.533
1.486	0.016	0.006	23.316
1.387	0.013	0.005	20.173
1.288	0.009	0.004	16.433
1.189	0.006	0.004	11.028
1.090	0.004	0.003	8.009
0.991	0.002	0.002	4.484
0.892	0.001	0.001	2.634
0.793	0.001	0.001	1.469
0.694	0.000	0.001	0.552
0.595	0.000	0.000	0.121
0.496	0.000	0.000	0.033
0.397	0.000	0.000	0.000
0.298	0.000	0.000	0.000
0.199	0.000	0.000	0.000
