T	<e>	d<e>	cv
5.00000	-0.54020	0.04290	0.07539
4.75500	-0.56573	0.04385	0.08710
4.51000	-0.58626	0.04831	0.11748
4.26500	-0.61476	0.04822	0.13090
4.02000	-0.64573	0.04329	0.11877
3.77500	-0.68511	0.04540	0.14814
3.53000	-0.72124	0.04740	0.18461
3.28500	-0.76972	0.04562	0.19746
3.04000	-0.82110	0.04757	0.25052
2.79500	-0.89323	0.05011	0.32882
2.55000	-0.98512	0.05411	0.46051
2.30500	-1.13229	0.06146	0.72713
2.06000	-1.51316	0.10044	2.43301
1.81500	-1.81759	0.04551	0.64144
1.57000	-1.92648	0.02577	0.27169
1.32500	-1.97730	0.01398	0.10791
1.08000	-1.99454	0.00737	0.04228
0.83500	-1.99949	0.00200	0.00490
0.59000	-2.00000	0.00000	0.00000
0.34500	-2.00000	0.00000	0.00000
