T	<m>	d<m>	suscep
5.00000	-0.00293	0.02885	174.51492
4.75500	-0.00067	0.02577	146.44498
4.51000	-0.00291	0.02748	175.61009
4.26500	-0.00027	0.02699	179.10338
4.02000	-0.00139	0.02722	193.19337
3.77500	0.00076	0.02774	213.71507
3.53000	0.00014	0.02451	178.46991
3.28500	-0.00026	0.02520	202.65471
3.04000	-0.00151	0.02508	217.03893
2.79500	-0.00202	0.02334	204.33334
2.55000	-0.00109	0.02152	190.40569
2.30500	-0.00108	0.01921	167.80423
2.06000	-0.00095	0.01450	106.99144
1.81500	-0.00025	0.00960	53.23571
1.57000	0.00035	0.00592	23.42576
1.32500	-0.00006	0.00320	8.08488
1.08000	0.00004	0.00168	2.74750
0.83500	-0.00002	0.00048	0.29357
0.59000	-0.00000	0.00009	0.01384
0.34500	0.00000	0.00000	0.00000
