T	<e>	d<e>	cv
5.00000	-0.54533	0.04487	0.08247
4.75500	-0.56494	0.04677	0.09909
4.51000	-0.58856	0.04344	0.09498
4.26500	-0.61531	0.04476	0.11278
4.02000	-0.64519	0.04516	0.12924
3.77500	-0.67848	0.04515	0.14651
3.53000	-0.71790	0.04784	0.18809
3.28500	-0.76193	0.04779	0.21665
3.04000	-0.82197	0.04973	0.27381
2.79500	-0.89268	0.05158	0.34841
2.55000	-0.98273	0.05288	0.43988
2.30500	-1.13449	0.06686	0.86081
2.06000	-1.55073	0.07478	1.34768
1.81500	-1.81634	0.04542	0.63855
1.57000	-1.92585	0.02684	0.29605
1.32500	-1.97747	0.01328	0.09693
1.08000	-1.99450	0.00661	0.03161
0.83500	-1.99946	0.00199	0.00350
0.59000	-1.99998	0.00035	0.00000
0.34500	-2.00000	0.00000	0.00000
