T	<m>	d<m>	suscep
5.00000	0.00101	0.02824	167.28354
4.75500	0.00062	0.02804	173.36954
4.51000	-0.00001	0.02531	148.90968
4.26500	0.00175	0.02720	181.95697
4.02000	0.00150	0.02690	188.68729
3.77500	0.00056	0.02639	193.45949
3.53000	-0.00111	0.02523	189.04733
3.28500	-0.00220	0.02435	189.24438
3.04000	-0.00064	0.02551	224.41071
2.79500	-0.00111	0.02494	233.30615
2.55000	0.00037	0.02153	190.60046
2.30500	-0.00023	0.02051	191.35909
2.06000	-0.00034	0.01396	99.24048
1.81500	-0.00040	0.00922	49.12012
1.57000	-0.00002	0.00551	20.29333
1.32500	0.00010	0.00331	8.64805
1.08000	-0.00005	0.00176	3.00428
0.83500	0.00001	0.00051	0.33300
0.59000	0.00000	0.00009	0.01384
0.34500	0.00000	0.00000	0.00000
