T	<e>	d<e>	cv
5.00000	-0.54338	0.04677	0.08961
4.75500	-0.56570	0.04543	0.09348
4.51000	-0.58946	0.04443	0.09938
4.26500	-0.62121	0.04659	0.12219
4.02000	-0.64537	0.04395	0.12238
3.77500	-0.67690	0.04255	0.13007
3.53000	-0.72122	0.04501	0.16651
3.28500	-0.77078	0.04705	0.21001
3.04000	-0.82572	0.04662	0.24059
2.79500	-0.88804	0.05018	0.32977
2.55000	-0.98642	0.05495	0.47484
2.30500	-1.12859	0.06782	0.88571
2.06000	-1.54350	0.08683	1.81759
1.81500	-1.82655	0.04138	0.52975
1.57000	-1.92819	0.02603	0.27842
1.32500	-1.97576	0.01447	0.11570
1.08000	-1.99496	0.00655	0.02951
0.83500	-1.99934	0.00236	0.00525
0.59000	-2.00000	0.00000	0.00000
0.34500	-2.00000	0.00000	0.00000
