T	<e>	d<e>	cv
5.00000	-0.54159	0.04633	0.08792
4.75500	-0.56365	0.04600	0.09585
4.51000	-0.58772	0.04433	0.09893
4.26500	-0.61922	0.04569	0.11751
4.02000	-0.64931	0.04368	0.12089
3.77500	-0.68213	0.04430	0.14103
3.53000	-0.72904	0.04381	0.15771
3.28500	-0.76824	0.04707	0.21010
3.04000	-0.82226	0.04475	0.22176
2.79500	-0.88998	0.04859	0.30920
2.55000	-0.98283	0.05472	0.47106
2.30500	-1.12723	0.05953	0.68210
2.06000	-1.53620	0.10231	2.52419
1.81500	-1.81638	0.04459	0.61513
1.57000	-1.92906	0.02606	0.27812
1.32500	-1.97658	0.01313	0.09359
1.08000	-1.99453	0.00660	0.03140
0.83500	-1.99948	0.00197	0.00280
0.59000	-2.00000	0.00000	0.00000
0.34500	-2.00000	0.00000	0.00000
