T	<e>	d<e>
2.260	-1.415	0.103
2.260	-1.395	0.098
2.260	-1.389	0.118
2.260	-1.373	0.095
2.260	-1.396	0.109
2.260	-1.374	0.111
2.260	-1.459	0.100
2.260	-1.372	0.113
2.260	-1.439	0.111
2.260	-1.452	0.098
2.260	-1.416	0.110
2.260	-1.377	0.097
2.260	-1.374	0.124
2.260	-1.412	0.101
2.260	-1.468	0.102
2.260	-1.380	0.110
2.260	-1.404	0.099
2.260	-1.454	0.099
2.260	-1.428	0.096
2.260	-1.388	0.097
2.260	-1.413	0.102
2.260	-1.387	0.110
2.260	-1.420	0.108
2.260	-1.419	0.112
2.260	-1.431	0.099
2.260	-1.399	0.126
2.260	-1.405	0.099
2.260	-1.447	0.111
2.260	-1.434	0.117
2.260	-1.412	0.122
2.260	-1.442	0.108
2.260	-1.391	0.103
2.260	-1.458	0.102
2.260	-1.433	0.115
2.260	-1.375	0.094
2.260	-1.363	0.092
2.260	-1.413	0.094
2.260	-1.461	0.094
2.260	-1.441	0.111
2.260	-1.424	0.108
2.260	-1.359	0.104
2.260	-1.371	0.115
2.260	-1.338	0.097
2.260	-1.354	0.090
2.260	-1.399	0.130
2.260	-1.368	0.087
2.260	-1.335	0.089
2.260	-1.339	0.084
2.260	-1.431	0.098
2.260	-1.442	0.108
2.260	-1.473	0.090
2.260	-1.411	0.111
2.260	-1.420	0.096
2.260	-1.372	0.116
2.260	-1.366	0.114
2.260	-1.386	0.109
2.260	-1.370	0.113
2.260	-1.433	0.120
2.260	-1.397	0.101
2.260	-1.421	0.095
2.260	-1.372	0.106
2.260	-1.401	0.092
2.260	-1.369	0.096
2.260	-1.351	0.103
2.260	-1.457	0.110
2.260	-1.391	0.125
2.260	-1.415	0.103
2.260	-1.434	0.103
2.260	-1.297	0.073
2.260	-1.444	0.102
2.260	-1.435	0.104
2.260	-1.386	0.090
2.260	-1.466	0.095
2.260	-1.308	0.076
2.260	-1.440	0.099
2.260	-1.465	0.095
2.260	-1.447	0.098
2.260	-1.438	0.111
2.260	-1.405	0.098
2.260	-1.404	0.116
2.260	-1.438	0.107
2.260	-1.355	0.106
2.260	-1.396	0.111
2.260	-1.388	0.120
2.260	-1.446	0.103
2.260	-1.432	0.120
2.260	-1.459	0.107
2.260	-1.338	0.071
2.260	-1.434	0.116
2.260	-1.454	0.097
2.260	-1.398	0.111
2.260	-1.433	0.105
2.260	-1.420	0.110
2.260	-1.453	0.104
2.260	-1.392	0.104
2.260	-1.351	0.119
2.260	-1.429	0.107
2.260	-1.446	0.114
2.260	-1.428	0.099
2.260	-1.423	0.096
2.260	-1.463	0.112
2.260	-1.430	0.101
2.260	-1.360	0.078
2.260	-1.335	0.091
2.260	-1.471	0.110
2.260	-1.458	0.093
2.260	-1.462	0.106
2.260	-1.450	0.105
2.260	-1.357	0.101
2.260	-1.452	0.115
2.260	-1.339	0.088
2.260	-1.374	0.088
2.260	-1.368	0.093
2.260	-1.435	0.101
2.260	-1.447	0.110
2.260	-1.378	0.097
2.260	-1.423	0.106
2.260	-1.445	0.106
2.260	-1.404	0.107
2.260	-1.443	0.101
2.260	-1.318	0.081
2.260	-1.411	0.109
2.260	-1.456	0.095
2.260	-1.443	0.091
2.260	-1.395	0.102
2.260	-1.456	0.116
2.260	-1.367	0.099
2.260	-1.384	0.087
2.260	-1.425	0.096
2.260	-1.348	0.104
2.260	-1.408	0.116
2.260	-1.475	0.095
2.260	-1.354	0.095
2.260	-1.495	0.093
2.260	-1.417	0.097
2.260	-1.453	0.102
2.260	-1.463	0.101
2.260	-1.430	0.108
2.260	-1.366	0.105
2.260	-1.434	0.112
2.260	-1.404	0.113
2.260	-1.454	0.093
2.260	-1.466	0.091
2.260	-1.367	0.095
2.260	-1.407	0.102
2.260	-1.448	0.109
2.260	-1.421	0.104
2.260	-1.401	0.105
2.260	-1.400	0.107
2.260	-1.359	0.096
2.260	-1.424	0.109
2.260	-1.398	0.118
2.260	-1.442	0.112
2.260	-1.445	0.102
2.260	-1.411	0.102
2.260	-1.414	0.122
2.260	-1.443	0.122
2.260	-1.419	0.093
2.260	-1.462	0.101
2.260	-1.446	0.092
2.260	-1.400	0.115
2.260	-1.416	0.113
2.260	-1.380	0.105
2.260	-1.366	0.095
2.260	-1.416	0.110
2.260	-1.394	0.104
2.260	-1.367	0.100
2.260	-1.411	0.107
2.260	-1.448	0.091
2.260	-1.421	0.104
2.260	-1.433	0.105
2.260	-1.361	0.103
2.260	-1.391	0.116
2.260	-1.478	0.087
2.260	-1.425	0.111
2.260	-1.375	0.093
2.260	-1.448	0.099
2.260	-1.477	0.095
2.260	-1.408	0.097
2.260	-1.440	0.091
2.260	-1.409	0.103
2.260	-1.399	0.125
2.260	-1.307	0.072
2.260	-1.411	0.085
2.260	-1.416	0.108
2.260	-1.439	0.093
2.260	-1.415	0.116
2.260	-1.425	0.094
2.260	-1.389	0.096
2.260	-1.424	0.124
2.260	-1.384	0.101
2.260	-1.420	0.109
2.260	-1.450	0.099
2.260	-1.414	0.092
2.260	-1.450	0.113
2.260	-1.460	0.093
2.260	-1.431	0.102
2.260	-1.391	0.108
2.260	-1.433	0.105
2.260	-1.406	0.103
2.260	-1.417	0.103
2.260	-1.408	0.099
2.260	-1.460	0.104
2.260	-1.378	0.099
2.260	-1.418	0.112
2.260	-1.455	0.100
2.260	-1.446	0.106
2.260	-1.374	0.110
2.260	-1.380	0.102
2.260	-1.421	0.115
2.260	-1.441	0.107
2.260	-1.297	0.067
2.260	-1.373	0.112
2.260	-1.464	0.107
2.260	-1.473	0.096
2.260	-1.412	0.111
2.260	-1.384	0.123
2.260	-1.421	0.116
2.260	-1.409	0.111
2.260	-1.405	0.096
2.260	-1.392	0.104
2.260	-1.437	0.097
2.260	-1.369	0.131
2.260	-1.475	0.097
2.260	-1.365	0.097
2.260	-1.356	0.101
2.260	-1.330	0.082
2.260	-1.419	0.116
2.260	-1.428	0.091
2.260	-1.392	0.117
2.260	-1.368	0.096
2.260	-1.412	0.105
2.260	-1.417	0.110
2.260	-1.451	0.108
2.260	-1.396	0.109
2.260	-1.422	0.102
2.260	-1.429	0.128
2.260	-1.365	0.118
2.260	-1.424	0.109
2.260	-1.402	0.108
2.260	-1.422	0.107
2.260	-1.353	0.086
2.260	-1.456	0.100
2.260	-1.417	0.093
2.260	-1.393	0.106
2.260	-1.359	0.102
2.260	-1.434	0.112
2.260	-1.434	0.112
2.260	-1.392	0.106
2.260	-1.387	0.118
2.260	-1.444	0.119
2.260	-1.460	0.101
2.260	-1.409	0.107
2.260	-1.462	0.100
2.260	-1.397	0.112
2.260	-1.446	0.091
2.260	-1.390	0.117
2.260	-1.429	0.099
2.260	-1.388	0.097
2.260	-1.410	0.101
2.260	-1.470	0.098
2.260	-1.423	0.106
2.260	-1.388	0.099
2.260	-1.381	0.114
2.260	-1.388	0.096
2.260	-1.416	0.106
2.260	-1.332	0.104
2.260	-1.448	0.103
2.260	-1.450	0.111
2.260	-1.451	0.097
2.260	-1.466	0.091
2.260	-1.473	0.106
2.260	-1.404	0.119
2.260	-1.463	0.093
2.260	-1.384	0.089
2.260	-1.419	0.106
2.260	-1.405	0.118
2.260	-1.408	0.101
2.260	-1.402	0.102
2.260	-1.439	0.095
2.260	-1.400	0.119
2.260	-1.441	0.094
2.260	-1.458	0.102
2.260	-1.409	0.109
2.260	-1.397	0.104
2.260	-1.459	0.099
2.260	-1.473	0.098
2.260	-1.367	0.105
2.260	-1.445	0.094
2.260	-1.421	0.096
2.260	-1.448	0.107
2.260	-1.431	0.104
2.260	-1.342	0.093
2.260	-1.438	0.096
2.260	-1.408	0.080
2.260	-1.343	0.087
2.260	-1.437	0.098
2.260	-1.418	0.110
2.260	-1.455	0.092
2.260	-1.401	0.108
2.260	-1.406	0.105
2.260	-1.390	0.114
2.260	-1.393	0.120
2.260	-1.376	0.080
2.260	-1.445	0.105
2.260	-1.467	0.087
2.260	-1.393	0.110
2.260	-1.395	0.111
2.260	-1.445	0.098
2.260	-1.384	0.106
2.260	-1.325	0.089
2.260	-1.443	0.104
2.260	-1.440	0.111
2.260	-1.456	0.113
2.260	-1.465	0.092
2.260	-1.417	0.119
2.260	-1.374	0.101
2.260	-1.448	0.114
2.260	-1.434	0.106
2.260	-1.384	0.105
2.260	-1.413	0.105
2.260	-1.386	0.121
2.260	-1.457	0.098
2.260	-1.418	0.109
2.260	-1.417	0.122
2.260	-1.438	0.095
2.260	-1.419	0.100
2.260	-1.424	0.095
2.260	-1.437	0.106
2.260	-1.393	0.107
2.260	-1.444	0.109
2.260	-1.439	0.098
2.260	-1.455	0.094
2.260	-1.469	0.103
2.260	-1.474	0.105
2.260	-1.322	0.071
2.260	-1.398	0.115
2.260	-1.416	0.123
2.260	-1.420	0.111
2.260	-1.419	0.107
2.260	-1.430	0.118
2.260	-1.423	0.108
2.260	-1.350	0.102
2.260	-1.368	0.101
2.260	-1.371	0.098
2.260	-1.476	0.101
2.260	-1.433	0.099
2.260	-1.375	0.092
2.260	-1.426	0.104
2.260	-1.426	0.109
2.260	-1.413	0.108
2.260	-1.322	0.078
2.260	-1.409	0.121
2.260	-1.446	0.109
2.260	-1.393	0.121
2.260	-1.432	0.113
2.260	-1.467	0.104
2.260	-1.363	0.118
2.260	-1.401	0.117
2.260	-1.373	0.105
2.260	-1.381	0.105
2.260	-1.402	0.113
2.260	-1.422	0.107
2.260	-1.358	0.115
2.260	-1.489	0.099
2.260	-1.406	0.121
2.260	-1.369	0.119
2.260	-1.429	0.119
2.260	-1.445	0.111
2.260	-1.431	0.114
2.260	-1.443	0.102
2.260	-1.399	0.118
2.260	-1.445	0.124
2.260	-1.420	0.114
2.260	-1.449	0.101
2.260	-1.338	0.093
2.260	-1.323	0.082
2.260	-1.423	0.103
2.260	-1.381	0.113
2.260	-1.449	0.091
2.260	-1.414	0.096
2.260	-1.416	0.100
2.260	-1.390	0.102
2.260	-1.432	0.097
2.260	-1.382	0.102
2.260	-1.417	0.099
2.260	-1.447	0.097
2.260	-1.465	0.108
2.260	-1.396	0.093
2.260	-1.456	0.106
2.260	-1.471	0.091
2.260	-1.428	0.096
2.260	-1.375	0.088
2.260	-1.378	0.108
2.260	-1.453	0.111
2.260	-1.368	0.112
2.260	-1.424	0.111
2.260	-1.430	0.093
2.260	-1.458	0.104
2.260	-1.349	0.110
2.260	-1.430	0.105
2.260	-1.409	0.120
2.260	-1.395	0.104
2.260	-1.406	0.097
2.260	-1.421	0.113
2.260	-1.452	0.094
2.260	-1.315	0.071
2.260	-1.417	0.115
2.260	-1.393	0.102
2.260	-1.338	0.084
2.260	-1.417	0.101
2.260	-1.397	0.109
2.260	-1.413	0.098
2.260	-1.443	0.111
2.260	-1.388	0.105
2.260	-1.426	0.104
2.260	-1.303	0.095
2.260	-1.406	0.116
2.260	-1.351	0.088
2.260	-1.429	0.099
2.260	-1.450	0.096
2.260	-1.453	0.094
2.260	-1.413	0.121
2.260	-1.417	0.113
2.260	-1.428	0.102
2.260	-1.364	0.099
2.260	-1.428	0.106
2.260	-1.457	0.102
2.260	-1.438	0.121
2.260	-1.427	0.112
2.260	-1.403	0.115
2.260	-1.428	0.109
2.260	-1.414	0.109
2.260	-1.412	0.099
2.260	-1.412	0.115
2.260	-1.475	0.101
2.260	-1.361	0.103
2.260	-1.454	0.104
2.260	-1.426	0.106
2.260	-1.451	0.113
2.260	-1.442	0.091
2.260	-1.433	0.117
2.260	-1.413	0.097
2.260	-1.398	0.134
2.260	-1.357	0.110
2.260	-1.367	0.100
2.260	-1.369	0.121
2.260	-1.448	0.094
2.260	-1.382	0.098
2.260	-1.432	0.088
2.260	-1.439	0.109
2.260	-1.419	0.110
2.260	-1.414	0.124
2.260	-1.459	0.110
2.260	-1.323	0.087
2.260	-1.425	0.091
2.260	-1.363	0.097
2.260	-1.418	0.124
2.260	-1.418	0.104
2.260	-1.415	0.113
2.260	-1.392	0.120
2.260	-1.484	0.092
2.260	-1.432	0.123
2.260	-1.382	0.090
2.260	-1.363	0.100
2.260	-1.409	0.111
2.260	-1.434	0.118
2.260	-1.412	0.113
2.260	-1.442	0.107
2.260	-1.432	0.089
2.260	-1.395	0.096
2.260	-1.432	0.102
2.260	-1.432	0.110
2.260	-1.396	0.109
2.260	-1.422	0.124
2.260	-1.371	0.107
2.260	-1.384	0.121
2.260	-1.414	0.091
2.260	-1.432	0.104
2.260	-1.455	0.093
2.260	-1.368	0.102
2.260	-1.447	0.096
2.260	-1.390	0.108
2.260	-1.420	0.107
2.260	-1.406	0.105
2.260	-1.468	0.100
2.260	-1.424	0.097
2.260	-1.411	0.108
2.260	-1.388	0.108
2.260	-1.466	0.093
2.260	-1.425	0.107
2.260	-1.414	0.103
2.260	-1.415	0.090
2.260	-1.396	0.112
2.260	-1.422	0.099
2.260	-1.417	0.109
2.260	-1.440	0.105
2.260	-1.389	0.119
2.260	-1.467	0.099
2.260	-1.408	0.123
2.260	-1.404	0.114
2.260	-1.390	0.101
2.260	-1.477	0.101
2.260	-1.424	0.105
2.260	-1.378	0.111
2.260	-1.427	0.102
2.260	-1.438	0.106
2.260	-1.472	0.104
2.260	-1.451	0.101
2.260	-1.419	0.099
2.260	-1.334	0.073
2.260	-1.376	0.105
2.260	-1.428	0.098
2.260	-1.373	0.100
2.260	-1.412	0.131
2.260	-1.400	0.100
2.260	-1.417	0.107
2.260	-1.455	0.107
2.260	-1.393	0.108
2.260	-1.443	0.117
2.260	-1.449	0.092
2.260	-1.405	0.098
2.260	-1.363	0.089
2.260	-1.353	0.087
2.260	-1.421	0.101
2.260	-1.400	0.111
2.260	-1.408	0.112
2.260	-1.419	0.101
2.260	-1.410	0.099
2.260	-1.300	0.083
2.260	-1.376	0.109
2.260	-1.449	0.096
2.260	-1.417	0.115
2.260	-1.410	0.100
2.260	-1.408	0.096
2.260	-1.436	0.124
2.260	-1.414	0.114
2.260	-1.440	0.094
2.260	-1.417	0.107
2.260	-1.343	0.082
2.260	-1.442	0.115
2.260	-1.445	0.098
2.260	-1.443	0.087
2.260	-1.429	0.112
2.260	-1.451	0.105
2.260	-1.369	0.117
2.260	-1.455	0.099
2.260	-1.372	0.097
2.260	-1.353	0.100
2.260	-1.455	0.086
2.260	-1.440	0.122
2.260	-1.438	0.113
2.260	-1.401	0.105
2.260	-1.378	0.109
2.260	-1.367	0.114
2.260	-1.438	0.106
2.260	-1.356	0.096
2.260	-1.422	0.122
2.260	-1.453	0.112
2.260	-1.412	0.109
2.260	-1.453	0.096
2.260	-1.435	0.112
2.260	-1.374	0.104
2.260	-1.413	0.114
2.260	-1.359	0.102
2.260	-1.416	0.117
2.260	-1.395	0.104
2.260	-1.360	0.099
2.260	-1.331	0.102
2.260	-1.452	0.103
2.260	-1.413	0.098
2.260	-1.422	0.093
2.260	-1.425	0.111
2.260	-1.421	0.109
2.260	-1.413	0.112
2.260	-1.420	0.104
2.260	-1.386	0.114
2.260	-1.384	0.103
2.260	-1.439	0.116
2.260	-1.390	0.110
2.260	-1.401	0.112
2.260	-1.420	0.123
2.260	-1.431	0.093
2.260	-1.381	0.099
2.260	-1.469	0.108
2.260	-1.416	0.131
2.260	-1.366	0.115
2.260	-1.459	0.113
2.260	-1.468	0.106
2.260	-1.442	0.114
2.260	-1.456	0.117
2.260	-1.407	0.122
2.260	-1.386	0.095
2.260	-1.389	0.117
2.260	-1.443	0.104
2.260	-1.444	0.123
2.260	-1.417	0.117
2.260	-1.365	0.098
2.260	-1.402	0.109
2.260	-1.429	0.103
2.260	-1.429	0.120
2.260	-1.417	0.117
2.260	-1.451	0.090
2.260	-1.353	0.089
2.260	-1.334	0.082
2.260	-1.420	0.125
2.260	-1.433	0.129
2.260	-1.433	0.105
2.260	-1.368	0.091
2.260	-1.431	0.105
2.260	-1.430	0.105
2.260	-1.446	0.089
2.260	-1.376	0.117
2.260	-1.389	0.121
2.260	-1.331	0.071
2.260	-1.402	0.117
2.260	-1.454	0.115
2.260	-1.390	0.111
2.260	-1.421	0.107
2.260	-1.429	0.106
2.260	-1.381	0.109
2.260	-1.418	0.103
2.260	-1.463	0.106
2.260	-1.482	0.112
2.260	-1.438	0.107
2.260	-1.402	0.108
2.260	-1.412	0.117
2.260	-1.312	0.075
2.260	-1.382	0.099
2.260	-1.364	0.102
2.260	-1.431	0.105
2.260	-1.327	0.076
2.260	-1.380	0.111
2.260	-1.373	0.107
2.260	-1.389	0.101
2.260	-1.371	0.110
2.260	-1.380	0.107
2.260	-1.423	0.100
2.260	-1.436	0.110
2.260	-1.393	0.116
2.260	-1.444	0.103
2.260	-1.466	0.114
2.260	-1.373	0.114
2.260	-1.460	0.109
2.260	-1.438	0.110
2.260	-1.445	0.124
2.260	-1.336	0.072
2.260	-1.469	0.106
2.260	-1.311	0.078
2.260	-1.429	0.116
2.260	-1.385	0.117
2.260	-1.424	0.119
2.260	-1.390	0.116
2.260	-1.451	0.100
2.260	-1.335	0.074
2.260	-1.383	0.098
2.260	-1.425	0.107
2.260	-1.395	0.103
2.260	-1.448	0.100
2.260	-1.464	0.095
2.260	-1.383	0.106
2.260	-1.408	0.120
2.260	-1.386	0.095
2.260	-1.371	0.094
2.260	-1.466	0.089
2.260	-1.457	0.116
2.260	-1.407	0.103
2.260	-1.451	0.101
2.260	-1.456	0.091
2.260	-1.404	0.123
2.260	-1.400	0.100
2.260	-1.471	0.099
2.260	-1.402	0.104
2.260	-1.385	0.107
2.260	-1.349	0.087
2.260	-1.459	0.090
2.260	-1.422	0.113
2.260	-1.444	0.113
2.260	-1.398	0.100
2.260	-1.408	0.111
2.260	-1.417	0.105
2.260	-1.373	0.114
2.260	-1.420	0.116
2.260	-1.394	0.084
2.260	-1.457	0.104
2.260	-1.377	0.104
2.260	-1.382	0.102
2.260	-1.423	0.101
2.260	-1.404	0.099
2.260	-1.445	0.104
2.260	-1.412	0.105
2.260	-1.440	0.107
2.260	-1.428	0.115
2.260	-1.412	0.092
2.260	-1.388	0.108
2.260	-1.423	0.112
2.260	-1.352	0.090
2.260	-1.446	0.091
2.260	-1.305	0.081
2.260	-1.421	0.095
2.260	-1.460	0.116
2.260	-1.394	0.101
2.260	-1.393	0.099
2.260	-1.373	0.112
2.260	-1.429	0.099
2.260	-1.382	0.117
2.260	-1.379	0.106
2.260	-1.386	0.091
2.260	-1.396	0.109
2.260	-1.453	0.092
2.260	-1.416	0.105
2.260	-1.419	0.106
2.260	-1.332	0.072
2.260	-1.489	0.090
2.260	-1.456	0.095
2.260	-1.381	0.091
2.260	-1.360	0.090
2.260	-1.442	0.090
2.260	-1.424	0.125
2.260	-1.427	0.100
2.260	-1.415	0.113
2.260	-1.320	0.079
2.260	-1.417	0.096
2.260	-1.312	0.076
2.260	-1.424	0.098
2.260	-1.375	0.088
2.260	-1.354	0.116
2.260	-1.405	0.112
2.260	-1.321	0.073
2.260	-1.434	0.096
2.260	-1.409	0.109
2.260	-1.348	0.094
2.260	-1.396	0.107
2.260	-1.345	0.113
2.260	-1.460	0.108
2.260	-1.355	0.111
2.260	-1.411	0.098
2.260	-1.349	0.087
2.260	-1.406	0.125
2.260	-1.317	0.079
2.260	-1.387	0.106
2.260	-1.362	0.107
2.260	-1.360	0.098
2.260	-1.465	0.108
2.260	-1.489	0.081
2.260	-1.436	0.122
2.260	-1.416	0.108
2.260	-1.458	0.091
2.260	-1.396	0.111
2.260	-1.429	0.106
2.260	-1.329	0.086
2.260	-1.438	0.088
2.260	-1.428	0.103
2.260	-1.364	0.098
2.260	-1.452	0.099
2.260	-1.336	0.086
2.260	-1.387	0.099
2.260	-1.452	0.099
2.260	-1.339	0.114
2.260	-1.446	0.121
2.260	-1.466	0.092
2.260	-1.477	0.091
2.260	-1.416	0.100
2.260	-1.403	0.122
2.260	-1.457	0.100
2.260	-1.440	0.095
2.260	-1.430	0.107
2.260	-1.466	0.113
2.260	-1.399	0.121
2.260	-1.455	0.102
2.260	-1.449	0.112
2.260	-1.407	0.105
2.260	-1.380	0.091
2.260	-1.312	0.081
2.260	-1.313	0.096
2.260	-1.457	0.093
2.260	-1.350	0.104
2.260	-1.403	0.106
2.260	-1.472	0.103
2.260	-1.409	0.115
2.260	-1.355	0.093
2.260	-1.397	0.102
2.260	-1.429	0.103
2.260	-1.351	0.105
2.260	-1.444	0.088
2.260	-1.450	0.100
2.260	-1.435	0.112
2.260	-1.441	0.105
2.260	-1.450	0.099
2.260	-1.461	0.091
2.260	-1.471	0.087
2.260	-1.425	0.111
2.260	-1.421	0.109
2.260	-1.337	0.075
2.260	-1.410	0.104
2.260	-1.367	0.103
2.260	-1.403	0.096
2.260	-1.350	0.104
2.260	-1.412	0.114
2.260	-1.358	0.099
2.260	-1.381	0.107
2.260	-1.401	0.098
2.260	-1.400	0.105
2.260	-1.397	0.101
2.260	-1.434	0.098
2.260	-1.425	0.098
2.260	-1.432	0.094
2.260	-1.439	0.092
2.260	-1.448	0.100
2.260	-1.404	0.100
2.260	-1.422	0.127
2.260	-1.445	0.107
2.260	-1.407	0.111
2.260	-1.442	0.095
2.260	-1.358	0.083
2.260	-1.444	0.104
2.260	-1.361	0.102
2.260	-1.319	0.072
2.260	-1.391	0.104
2.260	-1.470	0.099
2.260	-1.353	0.086
2.260	-1.437	0.107
2.260	-1.414	0.094
2.260	-1.337	0.117
2.260	-1.397	0.114
2.260	-1.415	0.116
2.260	-1.453	0.109
2.260	-1.431	0.094
2.260	-1.433	0.104
2.260	-1.459	0.102
2.260	-1.435	0.097
2.260	-1.421	0.092
2.260	-1.430	0.108
2.260	-1.463	0.102
2.260	-1.345	0.074
2.260	-1.377	0.085
2.260	-1.457	0.105
2.260	-1.473	0.084
2.260	-1.447	0.112
2.260	-1.276	0.076
2.260	-1.446	0.104
2.260	-1.414	0.103
2.260	-1.452	0.095
2.260	-1.461	0.101
2.260	-1.458	0.114
2.260	-1.425	0.110
2.260	-1.348	0.098
2.260	-1.341	0.091
2.260	-1.407	0.109
2.260	-1.394	0.115
2.260	-1.356	0.109
2.260	-1.445	0.109
2.260	-1.436	0.089
2.260	-1.445	0.086
2.260	-1.434	0.097
2.260	-1.398	0.100
2.260	-1.409	0.100
2.260	-1.432	0.110
2.260	-1.389	0.113
2.260	-1.360	0.114
2.260	-1.456	0.092
2.260	-1.376	0.116
2.260	-1.371	0.109
2.260	-1.462	0.099
2.260	-1.452	0.097
2.260	-1.397	0.121
2.260	-1.335	0.116
2.260	-1.404	0.124
2.260	-1.365	0.107
2.260	-1.425	0.103
2.260	-1.314	0.072
2.260	-1.429	0.082
2.260	-1.440	0.097
2.260	-1.427	0.102
2.260	-1.432	0.105
2.260	-1.450	0.106
2.260	-1.378	0.114
2.260	-1.390	0.105
2.260	-1.294	0.089
2.260	-1.416	0.105
2.260	-1.443	0.102
2.260	-1.339	0.089
2.260	-1.334	0.103
2.260	-1.361	0.097
2.260	-1.408	0.106
2.260	-1.428	0.098
2.260	-1.373	0.105
2.260	-1.455	0.100
2.260	-1.397	0.113
2.260	-1.375	0.122
2.260	-1.423	0.105
2.260	-1.416	0.109
2.260	-1.396	0.119
2.260	-1.433	0.099
2.260	-1.462	0.093
2.260	-1.423	0.117
2.260	-1.439	0.113
2.260	-1.413	0.112
2.260	-1.450	0.103
2.260	-1.401	0.101
2.260	-1.358	0.115
2.260	-1.420	0.099
2.260	-1.446	0.099
2.260	-1.343	0.088
2.260	-1.399	0.098
2.260	-1.415	0.097
2.260	-1.333	0.071
2.260	-1.440	0.108
2.260	-1.374	0.105
2.260	-1.375	0.111
2.260	-1.328	0.094
2.260	-1.422	0.123
2.260	-1.422	0.106
2.260	-1.372	0.123
2.260	-1.456	0.100
2.260	-1.405	0.108
2.260	-1.434	0.107
2.260	-1.367	0.105
2.260	-1.351	0.093
2.260	-1.468	0.095
2.260	-1.446	0.130
2.260	-1.442	0.100
2.260	-1.470	0.106
2.260	-1.344	0.087
2.260	-1.455	0.094
2.260	-1.441	0.109
2.260	-1.328	0.073
2.260	-1.393	0.114
2.260	-1.404	0.112
2.260	-1.432	0.087
2.260	-1.463	0.094
2.260	-1.382	0.110
2.260	-1.407	0.113
2.260	-1.424	0.117
2.260	-1.434	0.113
2.260	-1.390	0.095
2.260	-1.378	0.115
2.260	-1.446	0.099
2.260	-1.468	0.091
2.260	-1.413	0.104
2.260	-1.453	0.101
2.260	-1.454	0.090
2.260	-1.442	0.108
2.260	-1.446	0.092
2.260	-1.434	0.097
2.260	-1.361	0.087
2.260	-1.441	0.123
2.260	-1.396	0.101
2.260	-1.353	0.114
2.260	-1.439	0.091
2.260	-1.462	0.084
2.260	-1.361	0.112
2.260	-1.439	0.125
2.260	-1.393	0.101
2.260	-1.390	0.110
2.260	-1.430	0.099
2.260	-1.464	0.109
2.260	-1.435	0.096
2.260	-1.382	0.104
2.260	-1.449	0.103
2.260	-1.440	0.102
2.260	-1.363	0.108
2.260	-1.431	0.106
2.260	-1.404	0.107
2.260	-1.415	0.110
2.260	-1.418	0.099
2.260	-1.453	0.098
2.260	-1.405	0.087
2.260	-1.420	0.107
2.260	-1.422	0.113
2.260	-1.316	0.078
2.260	-1.407	0.124
2.260	-1.343	0.097
2.260	-1.470	0.096
2.260	-1.433	0.104
2.260	-1.322	0.078
2.260	-1.361	0.083
2.260	-1.409	0.116
2.260	-1.374	0.117
2.260	-1.303	0.066
2.260	-1.425	0.112
2.260	-1.458	0.103
2.260	-1.379	0.086
2.260	-1.424	0.114
2.260	-1.475	0.105
2.260	-1.380	0.097
2.260	-1.399	0.108
2.260	-1.455	0.105
2.260	-1.387	0.109
2.260	-1.448	0.089
2.260	-1.358	0.103
2.260	-1.449	0.112
2.260	-1.430	0.109
2.260	-1.341	0.077
2.260	-1.421	0.107
2.260	-1.423	0.096
2.260	-1.453	0.088
2.260	-1.357	0.107
2.260	-1.390	0.119
2.260	-1.424	0.089
2.260	-1.407	0.092
2.260	-1.442	0.100
2.260	-1.455	0.103
2.260	-1.446	0.098
2.260	-1.342	0.122
2.260	-1.410	0.107
2.260	-1.381	0.103
2.260	-1.379	0.119
2.260	-1.429	0.122
2.260	-1.417	0.121
2.260	-1.412	0.120
2.260	-1.394	0.121
2.260	-1.434	0.103
2.260	-1.423	0.100
2.260	-1.486	0.098
2.260	-1.435	0.104
2.260	-1.420	0.122
2.260	-1.388	0.109
2.260	-1.425	0.117
2.260	-1.419	0.103
2.260	-1.427	0.110
2.260	-1.409	0.096
2.260	-1.452	0.103
2.260	-1.440	0.101
2.260	-1.422	0.117
2.260	-1.435	0.106
2.260	-1.436	0.118
2.260	-1.456	0.101
2.260	-1.468	0.093
2.260	-1.414	0.101
2.260	-1.452	0.106
2.260	-1.445	0.099
2.260	-1.426	0.122
2.260	-1.410	0.107
2.260	-1.326	0.079
2.260	-1.410	0.112
2.260	-1.388	0.123
2.260	-1.422	0.096
2.260	-1.408	0.124
2.260	-1.411	0.102
2.260	-1.327	0.077
2.260	-1.376	0.094
2.260	-1.434	0.095
2.260	-1.419	0.110
2.260	-1.444	0.095
2.260	-1.362	0.118
2.260	-1.447	0.115
2.260	-1.408	0.114
2.260	-1.412	0.114
2.260	-1.397	0.096
2.260	-1.435	0.127
2.260	-1.430	0.098
2.260	-1.347	0.107
2.260	-1.357	0.083
2.260	-1.424	0.120
2.260	-1.324	0.103
2.260	-1.424	0.106
2.260	-1.459	0.103
2.260	-1.434	0.102
2.260	-1.387	0.108
2.260	-1.441	0.106
2.260	-1.415	0.112
2.260	-1.461	0.105
2.260	-1.381	0.106
2.260	-1.402	0.107
2.260	-1.433	0.125
2.260	-1.472	0.093
2.260	-1.399	0.117
2.260	-1.380	0.124
2.260	-1.444	0.109
2.260	-1.373	0.113
2.260	-1.311	0.087
2.260	-1.449	0.121
2.260	-1.442	0.113
2.260	-1.416	0.118
2.260	-1.430	0.104
