T	<e>	d<e>
2.260	-1.417	0.100
2.260	-1.380	0.093
2.260	-1.432	0.103
2.260	-1.440	0.099
2.260	-1.364	0.110
2.260	-1.414	0.116
2.260	-1.457	0.087
2.260	-1.410	0.126
2.260	-1.435	0.096
2.260	-1.437	0.102
2.260	-1.368	0.118
2.260	-1.445	0.094
2.260	-1.416	0.104
2.260	-1.430	0.098
2.260	-1.404	0.101
2.260	-1.394	0.108
2.260	-1.427	0.099
2.260	-1.312	0.081
2.260	-1.456	0.111
2.260	-1.397	0.103
2.260	-1.357	0.088
2.260	-1.431	0.093
2.260	-1.391	0.099
2.260	-1.405	0.112
2.260	-1.390	0.092
2.260	-1.357	0.089
2.260	-1.452	0.103
2.260	-1.457	0.101
2.260	-1.370	0.108
2.260	-1.321	0.084
2.260	-1.452	0.092
2.260	-1.404	0.108
2.260	-1.425	0.093
2.260	-1.426	0.105
2.260	-1.430	0.094
2.260	-1.375	0.117
2.260	-1.432	0.107
2.260	-1.393	0.098
2.260	-1.316	0.079
2.260	-1.423	0.100
2.260	-1.438	0.098
2.260	-1.396	0.099
2.260	-1.434	0.097
2.260	-1.382	0.094
2.260	-1.408	0.104
2.260	-1.432	0.095
2.260	-1.460	0.118
2.260	-1.409	0.115
2.260	-1.416	0.104
2.260	-1.432	0.098
2.260	-1.411	0.119
2.260	-1.394	0.111
2.260	-1.359	0.123
2.260	-1.449	0.098
2.260	-1.462	0.107
2.260	-1.418	0.100
2.260	-1.430	0.100
2.260	-1.411	0.113
2.260	-1.417	0.107
2.260	-1.399	0.097
2.260	-1.336	0.096
2.260	-1.409	0.108
2.260	-1.360	0.107
2.260	-1.408	0.108
2.260	-1.394	0.120
2.260	-1.426	0.100
2.260	-1.460	0.105
2.260	-1.425	0.102
2.260	-1.335	0.088
2.260	-1.413	0.111
2.260	-1.489	0.092
2.260	-1.404	0.107
2.260	-1.453	0.111
2.260	-1.445	0.096
2.260	-1.411	0.124
2.260	-1.455	0.108
2.260	-1.420	0.115
2.260	-1.461	0.094
2.260	-1.442	0.118
2.260	-1.423	0.095
2.260	-1.394	0.110
2.260	-1.347	0.100
2.260	-1.399	0.101
2.260	-1.455	0.094
2.260	-1.433	0.111
2.260	-1.452	0.113
2.260	-1.385	0.082
2.260	-1.391	0.112
2.260	-1.470	0.101
2.260	-1.435	0.103
2.260	-1.410	0.099
2.260	-1.429	0.110
2.260	-1.447	0.102
2.260	-1.357	0.102
2.260	-1.434	0.107
2.260	-1.375	0.102
2.260	-1.386	0.118
2.260	-1.409	0.102
2.260	-1.391	0.101
2.260	-1.365	0.116
2.260	-1.392	0.108
2.260	-1.329	0.088
2.260	-1.450	0.104
2.260	-1.424	0.102
2.260	-1.436	0.124
2.260	-1.458	0.101
2.260	-1.427	0.117
2.260	-1.356	0.114
2.260	-1.454	0.106
2.260	-1.405	0.100
2.260	-1.430	0.107
2.260	-1.394	0.117
2.260	-1.438	0.100
2.260	-1.345	0.089
2.260	-1.437	0.103
2.260	-1.420	0.107
2.260	-1.454	0.101
2.260	-1.416	0.105
2.260	-1.458	0.087
2.260	-1.415	0.087
2.260	-1.447	0.105
2.260	-1.393	0.123
2.260	-1.384	0.120
2.260	-1.370	0.095
2.260	-1.448	0.092
2.260	-1.436	0.113
2.260	-1.414	0.114
2.260	-1.418	0.133
2.260	-1.335	0.070
2.260	-1.339	0.095
2.260	-1.450	0.110
2.260	-1.357	0.101
2.260	-1.377	0.110
2.260	-1.423	0.100
2.260	-1.367	0.126
2.260	-1.440	0.101
2.260	-1.390	0.109
2.260	-1.432	0.109
2.260	-1.427	0.090
2.260	-1.473	0.104
2.260	-1.391	0.081
2.260	-1.416	0.111
2.260	-1.471	0.105
2.260	-1.464	0.113
2.260	-1.391	0.102
2.260	-1.371	0.098
2.260	-1.442	0.118
2.260	-1.350	0.088
2.260	-1.432	0.107
2.260	-1.379	0.095
2.260	-1.365	0.083
2.260	-1.468	0.085
2.260	-1.474	0.108
2.260	-1.399	0.121
2.260	-1.339	0.079
2.260	-1.379	0.120
2.260	-1.439	0.095
2.260	-1.386	0.086
2.260	-1.375	0.082
2.260	-1.412	0.106
2.260	-1.445	0.098
2.260	-1.406	0.101
2.260	-1.446	0.102
2.260	-1.428	0.104
2.260	-1.368	0.104
2.260	-1.424	0.103
2.260	-1.427	0.099
2.260	-1.349	0.120
2.260	-1.316	0.082
2.260	-1.416	0.110
2.260	-1.416	0.107
2.260	-1.361	0.097
2.260	-1.399	0.088
2.260	-1.347	0.096
2.260	-1.427	0.099
2.260	-1.434	0.103
2.260	-1.461	0.108
2.260	-1.380	0.110
2.260	-1.419	0.107
2.260	-1.433	0.100
2.260	-1.426	0.107
2.260	-1.439	0.114
2.260	-1.459	0.101
2.260	-1.417	0.109
2.260	-1.418	0.102
2.260	-1.440	0.107
2.260	-1.378	0.105
2.260	-1.419	0.110
2.260	-1.443	0.097
2.260	-1.439	0.103
2.260	-1.401	0.112
2.260	-1.438	0.107
2.260	-1.397	0.123
2.260	-1.436	0.107
2.260	-1.444	0.104
2.260	-1.423	0.096
2.260	-1.446	0.096
2.260	-1.346	0.108
2.260	-1.448	0.106
2.260	-1.409	0.099
2.260	-1.374	0.105
2.260	-1.435	0.104
2.260	-1.412	0.107
2.260	-1.462	0.093
2.260	-1.423	0.108
2.260	-1.465	0.098
2.260	-1.396	0.118
2.260	-1.369	0.097
2.260	-1.389	0.090
2.260	-1.460	0.110
2.260	-1.407	0.105
2.260	-1.412	0.098
2.260	-1.406	0.126
2.260	-1.452	0.098
2.260	-1.453	0.101
2.260	-1.360	0.091
2.260	-1.381	0.113
2.260	-1.400	0.110
2.260	-1.382	0.099
2.260	-1.459	0.098
2.260	-1.402	0.104
2.260	-1.388	0.117
2.260	-1.443	0.110
2.260	-1.480	0.100
2.260	-1.341	0.106
2.260	-1.464	0.115
2.260	-1.467	0.090
2.260	-1.413	0.089
2.260	-1.405	0.108
2.260	-1.402	0.082
2.260	-1.407	0.108
2.260	-1.414	0.108
2.260	-1.428	0.106
2.260	-1.462	0.106
2.260	-1.292	0.077
2.260	-1.317	0.080
2.260	-1.422	0.115
2.260	-1.387	0.086
2.260	-1.393	0.101
2.260	-1.425	0.122
2.260	-1.454	0.106
2.260	-1.456	0.087
2.260	-1.438	0.110
2.260	-1.434	0.093
2.260	-1.461	0.097
2.260	-1.454	0.087
2.260	-1.417	0.120
2.260	-1.422	0.088
2.260	-1.388	0.106
2.260	-1.459	0.088
2.260	-1.405	0.114
2.260	-1.402	0.108
2.260	-1.351	0.107
2.260	-1.414	0.098
2.260	-1.346	0.105
2.260	-1.416	0.125
2.260	-1.389	0.108
2.260	-1.417	0.093
2.260	-1.441	0.105
2.260	-1.463	0.104
2.260	-1.443	0.108
2.260	-1.384	0.107
2.260	-1.435	0.100
2.260	-1.400	0.122
2.260	-1.382	0.115
2.260	-1.422	0.121
2.260	-1.408	0.120
2.260	-1.452	0.104
2.260	-1.433	0.107
2.260	-1.422	0.106
2.260	-1.416	0.101
2.260	-1.430	0.104
2.260	-1.415	0.102
2.260	-1.422	0.099
2.260	-1.431	0.119
2.260	-1.339	0.108
2.260	-1.438	0.094
2.260	-1.446	0.104
2.260	-1.425	0.108
2.260	-1.360	0.102
2.260	-1.337	0.098
2.260	-1.447	0.101
2.260	-1.441	0.112
2.260	-1.346	0.101
2.260	-1.435	0.122
2.260	-1.444	0.103
2.260	-1.387	0.105
2.260	-1.464	0.093
2.260	-1.411	0.110
2.260	-1.360	0.097
2.260	-1.401	0.096
2.260	-1.321	0.078
2.260	-1.394	0.124
2.260	-1.458	0.094
2.260	-1.442	0.099
2.260	-1.404	0.093
