T	<e>	d<e>
4.500	-0.487	0.201
4.367	-0.502	0.203
4.233	-0.517	0.202
4.100	-0.541	0.208
3.967	-0.563	0.215
3.833	-0.588	0.213
3.700	-0.618	0.214
3.567	-0.653	0.220
3.433	-0.684	0.223
3.300	-0.726	0.232
3.167	-0.772	0.247
3.033	-0.828	0.260
2.900	-0.896	0.277
2.767	-0.978	0.295
2.633	-1.090	0.308
2.500	-1.236	0.324
2.367	-1.362	0.322
2.233	-1.535	0.292
2.100	-1.664	0.248
1.967	-1.767	0.201
1.833	-1.842	0.158
1.700	-1.900	0.122
1.567	-1.934	0.098
1.433	-1.963	0.072
1.300	-1.979	0.052
1.167	-1.990	0.037
1.033	-1.996	0.022
0.900	-1.999	0.013
0.767	-2.000	0.007
0.633	-2.000	0.001
