T	<e>	d<e>
4.500	-0.483	0.100
4.367	-0.503	0.103
4.233	-0.520	0.101
4.100	-0.539	0.101
3.967	-0.560	0.104
3.833	-0.586	0.104
3.700	-0.612	0.105
3.567	-0.643	0.108
3.433	-0.676	0.108
3.300	-0.712	0.111
3.167	-0.756	0.117
3.033	-0.799	0.115
2.900	-0.869	0.124
2.767	-0.929	0.133
2.633	-1.013	0.139
2.500	-1.143	0.165
2.367	-1.348	0.173
2.233	-1.465	0.177
2.100	-1.659	0.131
1.967	-1.758	0.110
1.833	-1.843	0.081
1.700	-1.882	0.096
1.567	-1.931	0.065
1.433	-1.962	0.047
1.300	-1.980	0.026
1.167	-1.990	0.018
1.033	-1.996	0.011
0.900	-1.998	0.013
0.767	-2.000	0.003
0.633	-2.000	0.001
