T	<e>	d<e>
4.500	-0.485	0.024
4.367	-0.500	0.025
4.233	-0.519	0.026
4.100	-0.539	0.025
3.967	-0.563	0.027
3.833	-0.585	0.029
3.700	-0.615	0.029
3.567	-0.642	0.028
3.433	-0.675	0.028
3.300	-0.716	0.030
3.167	-0.750	0.033
3.033	-0.803	0.034
2.900	-0.860	0.040
2.767	-0.913	0.039
2.633	-1.005	0.055
2.500	-1.089	0.063
2.367	-1.201	0.073
2.233	-1.369	0.098
2.100	-1.473	0.118
1.967	-1.552	0.121
1.833	-1.623	0.139
1.700	-1.705	0.139
1.567	-1.757	0.139
1.433	-1.760	0.133
1.300	-1.795	0.129
1.167	-1.855	0.135
1.033	-1.854	0.138
0.900	-1.854	0.135
0.767	-1.859	0.126
0.633	-1.862	0.128
