T	<e>	d<e>
4.500	-0.429	0.138
4.367	-0.443	0.142
4.233	-0.461	0.149
4.100	-0.478	0.155
3.967	-0.496	0.161
3.833	-0.512	0.167
3.700	-0.537	0.171
3.567	-0.563	0.182
3.433	-0.590	0.192
3.300	-0.620	0.203
3.167	-0.650	0.215
3.033	-0.684	0.232
2.900	-0.725	0.249
2.767	-0.766	0.266
2.633	-0.809	0.284
2.500	-0.857	0.305
2.367	-0.920	0.327
2.233	-0.973	0.351
2.100	-1.030	0.376
1.967	-1.078	0.398
1.833	-1.131	0.420
1.700	-1.175	0.439
1.567	-1.215	0.452
1.433	-1.252	0.466
1.300	-1.278	0.478
1.167	-1.298	0.484
1.033	-1.313	0.489
0.900	-1.334	0.496
0.767	-1.340	0.498
0.633	-1.340	0.498
