T	<e>	d<e>
4.500	-0.238	0.218
4.367	-0.246	0.226
4.233	-0.253	0.233
4.100	-0.259	0.245
3.967	-0.268	0.254
3.833	-0.276	0.261
3.700	-0.281	0.267
3.567	-0.293	0.278
3.433	-0.310	0.287
3.300	-0.319	0.295
3.167	-0.333	0.309
3.033	-0.346	0.321
2.900	-0.356	0.331
2.767	-0.365	0.345
2.633	-0.380	0.360
2.500	-0.395	0.374
2.367	-0.410	0.388
2.233	-0.426	0.403
2.100	-0.442	0.418
1.967	-0.460	0.436
1.833	-0.474	0.449
1.700	-0.489	0.464
1.567	-0.506	0.480
1.433	-0.517	0.491
1.300	-0.528	0.502
1.167	-0.540	0.513
1.033	-0.548	0.521
0.900	-0.555	0.528
0.767	-0.560	0.533
0.633	-0.563	0.536
