T	<e>	d<e>
4.500	-0.482	0.050
4.367	-0.501	0.051
4.233	-0.521	0.050
4.100	-0.543	0.053
3.967	-0.566	0.053
3.833	-0.587	0.052
3.700	-0.619	0.056
3.567	-0.640	0.051
3.433	-0.679	0.056
3.300	-0.716	0.055
3.167	-0.758	0.056
3.033	-0.801	0.059
2.900	-0.863	0.060
2.767	-0.927	0.066
2.633	-1.006	0.070
2.500	-1.099	0.076
2.367	-1.211	0.076
2.233	-1.449	0.098
2.100	-1.629	0.107
1.967	-1.736	0.097
1.833	-1.795	0.105
1.700	-1.861	0.103
1.567	-1.889	0.100
1.433	-1.944	0.071
1.300	-1.943	0.099
1.167	-1.974	0.065
1.033	-1.974	0.073
0.900	-1.841	0.038
0.767	-1.965	0.079
0.633	-1.978	0.072
