T	<m>	d<m>
4.500	0.004	0.051
4.420	0.004	0.052
4.340	0.006	0.050
4.260	0.002	0.051
4.180	0.007	0.052
4.100	0.010	0.052
4.020	0.003	0.052
3.940	0.005	0.054
3.860	0.003	0.052
3.780	0.004	0.053
3.700	0.004	0.054
3.620	0.005	0.053
3.540	0.002	0.053
3.460	0.001	0.054
3.380	0.013	0.055
3.300	0.015	0.056
3.220	0.013	0.057
3.140	-0.001	0.055
3.060	0.008	0.059
2.980	0.012	0.059
2.900	0.015	0.059
2.820	0.043	0.063
2.740	0.002	0.065
2.660	0.038	0.066
2.580	0.088	0.069
2.500	0.114	0.072
2.420	0.113	0.080
2.340	0.408	0.096
2.260	0.690	0.096
2.180	0.818	0.073
2.100	0.869	0.067
2.020	0.901	0.056
1.940	0.930	0.047
1.860	0.946	0.042
1.780	0.959	0.036
1.700	0.970	0.030
1.620	0.978	0.027
1.540	0.984	0.023
1.460	0.989	0.019
1.380	0.992	0.016
1.300	0.995	0.013
1.220	0.997	0.010
1.140	0.998	0.008
1.060	0.999	0.006
0.980	0.999	0.004
0.900	1.000	0.003
0.820	1.000	0.002
0.740	1.000	0.001
0.660	1.000	0.001
0.580	1.000	0.000
