T	<m>	d<m>
4.500	0.001	0.050
4.420	-0.000	0.052
4.340	0.002	0.050
4.260	-0.001	0.050
4.180	-0.002	0.051
4.100	-0.001	0.052
4.020	-0.001	0.052
3.940	0.001	0.051
3.860	-0.000	0.053
3.780	-0.006	0.053
3.700	-0.003	0.053
3.620	0.000	0.054
3.540	-0.008	0.055
3.460	-0.003	0.056
3.380	0.001	0.056
3.300	0.004	0.056
3.220	-0.011	0.059
3.140	-0.007	0.058
3.060	-0.011	0.058
2.980	-0.015	0.061
2.900	-0.003	0.060
2.820	-0.017	0.062
2.740	-0.004	0.065
2.660	-0.005	0.065
2.580	0.013	0.071
2.500	-0.069	0.073
2.420	0.122	0.080
2.340	-0.118	0.087
2.260	0.522	0.093
2.180	-0.817	0.073
2.100	-0.872	0.062
2.020	-0.906	0.055
1.940	-0.930	0.048
1.860	-0.947	0.041
1.780	-0.960	0.036
1.700	-0.970	0.031
1.620	-0.978	0.027
1.540	-0.984	0.023
1.460	-0.989	0.019
1.380	-0.992	0.016
1.300	-0.995	0.013
1.220	-0.997	0.010
1.140	-0.998	0.008
1.060	-0.999	0.006
0.980	-0.999	0.004
0.900	-1.000	0.003
0.820	-1.000	0.002
0.740	-1.000	0.001
0.660	-1.000	0.000
0.580	-1.000	0.000
