T	<m>	d<m>	suscep
4.100	-0.000	0.049	614.614
4.060	0.003	0.049	622.885
4.020	-0.002	0.050	664.926
3.980	0.003	0.051	679.128
3.940	0.005	0.050	663.085
3.900	-0.007	0.050	659.206
3.860	-0.001	0.049	642.259
3.820	-0.013	0.046	576.941
3.780	-0.002	0.050	693.078
3.740	-0.006	0.050	699.743
3.700	-0.004	0.053	806.912
3.660	0.001	0.050	716.128
3.620	-0.000	0.051	761.528
3.580	-0.004	0.053	816.065
3.540	-0.001	0.047	657.249
3.500	0.001	0.051	773.527
3.460	-0.000	0.054	883.101
3.420	0.007	0.049	731.887
3.380	0.000	0.054	894.134
3.340	0.002	0.058	1039.095
3.300	0.004	0.056	998.691
3.260	-0.006	0.057	1033.251
3.220	0.006	0.055	993.225
3.180	-0.003	0.057	1062.850
3.140	-0.005	0.058	1139.036
3.100	-0.004	0.057	1110.606
3.060	-0.006	0.055	1046.039
3.020	0.005	0.065	1449.281
2.980	-0.002	0.062	1370.204
2.940	0.006	0.063	1434.107
2.900	-0.004	0.061	1346.237
2.860	-0.000	0.066	1573.062
2.820	-0.003	0.064	1522.390
2.780	-0.002	0.063	1478.799
2.740	0.003	0.064	1584.493
2.700	-0.010	0.064	1586.202
2.660	0.009	0.071	1998.561
2.620	-0.017	0.065	1692.951
2.580	-0.002	0.069	1933.659
2.540	0.006	0.069	1965.630
2.500	-0.014	0.080	2714.365
2.460	0.013	0.074	2337.578
2.420	-0.002	0.075	2446.447
2.380	-0.005	0.087	3322.509
2.340	-0.002	0.082	3045.077
2.300	0.003	0.088	3511.757
2.260	0.006	0.085	3364.889
2.220	0.015	0.090	3850.932
2.180	-0.005	0.088	3756.938
2.140	0.018	0.091	4090.502
2.100	-0.003	0.121	7310.494
2.060	0.010	0.097	4810.581
2.020	-0.011	0.120	7471.365
1.980	-0.019	0.138	10021.325
1.940	0.017	0.125	8431.687
1.900	0.045	0.170	15946.495
1.860	-0.029	0.171	16492.404
1.820	-0.046	0.184	19553.523
1.780	-0.045	0.211	26202.643
1.740	0.153	0.189	21634.801
1.700	0.235	0.240	35465.938
1.660	-0.178	0.249	39094.473
1.620	0.479	0.245	38739.094
1.580	0.604	0.213	29971.619
1.540	0.828	0.037	941.761
1.500	0.844	0.050	1720.917
1.460	0.881	0.032	727.098
1.420	0.893	0.034	868.970
1.380	0.922	0.020	305.254
1.340	0.935	0.019	277.425
1.300	0.945	0.019	278.702
1.260	0.956	0.014	163.988
1.220	0.963	0.014	171.977
1.180	0.972	0.010	90.625
1.140	0.977	0.009	75.768
1.100	0.982	0.007	48.466
1.060	0.986	0.006	38.974
1.020	0.989	0.006	30.208
0.980	0.992	0.005	22.066
0.940	0.993	0.004	17.088
0.900	0.995	0.004	11.528
0.860	0.996	0.003	8.939
0.820	0.998	0.002	4.421
0.780	0.998	0.002	2.244
0.740	0.999	0.002	1.267
0.700	0.999	0.001	0.804
0.660	1.000	0.001	0.379
0.620	1.000	0.001	0.202
0.580	1.000	0.001	-0.108
0.540	1.000	0.000	0.231
0.500	1.000	0.000	0.000
0.460	1.000	0.000	0.000
0.420	1.000	0.000	0.000
0.380	1.000	0.000	0.000
0.340	1.000	0.000	0.000
0.300	1.000	0.000	0.000
0.260	1.000	0.000	0.000
0.220	1.000	0.000	0.000
0.180	1.000	0.000	0.000
0.140	1.000	0.000	0.000
