T	<m>	d<m>	suscep
4.100	-0.002	0.046	536.930
4.060	0.000	0.046	545.555
4.020	0.002	0.044	511.521
3.980	-0.000	0.047	571.323
3.940	-0.003	0.043	495.632
3.900	0.001	0.046	567.706
3.860	0.001	0.045	542.701
3.820	-0.004	0.046	572.227
3.780	0.003	0.046	587.968
3.740	-0.004	0.046	590.253
3.700	0.003	0.047	635.941
3.660	-0.004	0.047	642.137
3.620	-0.006	0.049	707.047
3.580	-0.002	0.047	655.300
3.540	-0.004	0.049	700.918
3.500	-0.002	0.047	661.272
3.460	0.001	0.048	708.596
3.420	0.003	0.047	684.511
3.380	0.003	0.050	764.465
3.340	0.001	0.051	802.380
3.300	-0.001	0.050	791.895
3.260	0.001	0.052	878.226
3.220	-0.002	0.049	768.563
3.180	-0.002	0.053	941.258
3.140	-0.005	0.051	874.683
3.100	-0.004	0.051	896.147
3.060	-0.005	0.051	907.014
3.020	0.003	0.052	926.297
2.980	-0.001	0.053	981.392
2.940	-0.003	0.053	1016.808
2.900	-0.005	0.050	901.513
2.860	-0.007	0.056	1150.151
2.820	0.002	0.056	1177.812
2.780	0.009	0.060	1352.412
2.740	0.005	0.058	1268.433
2.700	-0.001	0.061	1444.230
2.660	-0.004	0.059	1372.584
2.620	0.000	0.059	1372.510
2.580	0.001	0.059	1430.318
2.540	0.002	0.061	1534.133
2.500	0.000	0.060	1499.315
2.460	-0.002	0.062	1622.367
2.420	0.001	0.067	1964.962
2.380	-0.005	0.067	1973.310
2.340	-0.004	0.071	2256.688
2.300	0.010	0.067	2016.984
2.260	-0.006	0.071	2335.190
2.220	0.004	0.064	1929.032
2.180	-0.002	0.072	2487.660
2.140	0.010	0.078	2943.793
2.100	-0.010	0.077	2941.349
2.060	-0.004	0.074	2792.287
2.020	-0.013	0.073	2793.633
1.980	0.001	0.086	3920.468
1.940	-0.023	0.089	4294.812
1.900	-0.010	0.095	4986.340
1.860	0.015	0.084	3991.612
1.820	-0.015	0.108	6704.833
1.780	0.003	0.107	6682.863
1.740	0.015	0.102	6273.760
1.700	-0.033	0.120	8834.459
1.660	0.034	0.132	11039.720
1.620	0.019	0.139	12459.190
1.580	-0.030	0.177	20690.088
1.540	0.104	0.177	21287.916
1.500	-0.066	0.245	42000.156
1.460	-0.094	0.387	107456.781
1.420	-0.430	0.203	30539.436
1.380	-0.588	0.171	22191.691
1.340	-0.745	0.139	15049.441
1.300	-0.832	0.048	1883.269
1.260	-0.879	0.035	999.653
1.220	-0.899	0.032	877.152
1.180	-0.917	0.029	762.871
1.140	-0.938	0.019	326.042
1.100	-0.951	0.016	229.886
1.060	-0.961	0.014	203.361
1.020	-0.970	0.010	97.794
0.980	-0.977	0.009	76.786
0.940	-0.982	0.007	54.189
0.900	-0.986	0.007	46.806
0.860	-0.990	0.006	36.919
0.820	-0.993	0.004	20.884
0.780	-0.995	0.004	14.183
0.740	-0.996	0.003	10.642
0.700	-0.998	0.002	5.714
0.660	-0.998	0.002	2.367
0.620	-0.999	0.001	0.806
0.580	-1.000	0.001	0.431
0.540	-1.000	0.001	0.231
0.500	-1.000	0.000	0.000
0.460	-1.000	0.000	0.000
0.420	-1.000	0.000	0.000
0.380	-1.000	0.000	0.000
0.340	-1.000	0.000	0.000
0.300	-1.000	0.000	0.000
0.260	-1.000	0.000	0.000
0.220	-1.000	0.000	0.000
0.180	-1.000	0.000	0.000
0.140	-1.000	0.000	0.000
