T	<e>	d<e>	cv
4.100	-0.311	0.037	0.081
4.060	-0.174	0.037	0.084
4.020	-0.182	0.037	0.086
3.980	-0.176	0.037	0.087
3.940	-0.196	0.037	0.089
3.900	-0.194	0.037	0.093
3.860	-0.203	0.036	0.091
3.820	-0.197	0.038	0.099
3.780	-0.201	0.037	0.098
3.740	-0.217	0.037	0.102
3.700	-0.213	0.037	0.102
3.660	-0.227	0.037	0.104
3.620	-0.228	0.038	0.111
3.580	-0.230	0.037	0.110
3.540	-0.236	0.037	0.112
3.500	-0.246	0.038	0.121
3.460	-0.241	0.038	0.121
3.420	-0.256	0.038	0.125
3.380	-0.257	0.038	0.128
3.340	-0.270	0.039	0.139
3.300	-0.269	0.038	0.136
3.260	-0.275	0.039	0.147
3.220	-0.283	0.039	0.148
3.180	-0.286	0.039	0.156
3.140	-0.303	0.039	0.155
3.100	-0.304	0.039	0.165
3.060	-0.309	0.039	0.166
3.020	-0.318	0.040	0.175
2.980	-0.321	0.040	0.182
2.940	-0.332	0.040	0.187
2.900	-0.335	0.040	0.196
2.860	-0.350	0.041	0.206
2.820	-0.360	0.041	0.213
2.780	-0.380	0.041	0.219
2.740	-0.387	0.041	0.232
2.700	-0.397	0.041	0.237
2.660	-0.402	0.042	0.256
2.620	-0.411	0.041	0.253
2.580	-0.427	0.042	0.267
2.540	-0.441	0.043	0.292
2.500	-0.453	0.044	0.313
2.460	-0.470	0.043	0.311
2.420	-0.477	0.044	0.343
2.380	-0.501	0.045	0.373
2.340	-0.517	0.046	0.393
2.300	-0.525	0.047	0.422
2.260	-0.545	0.046	0.420
2.220	-0.575	0.047	0.464
2.180	-0.592	0.047	0.476
2.140	-0.608	0.050	0.564
2.100	-0.646	0.049	0.567
2.060	-0.672	0.051	0.631
2.020	-0.708	0.055	0.757
1.980	-0.738	0.055	0.790
1.940	-0.784	0.065	1.162
1.900	-0.847	0.069	1.343
1.860	-0.890	0.077	1.759
1.820	-0.991	0.072	1.591
1.780	-1.059	0.061	1.212
1.740	-1.119	0.061	1.256
1.700	-1.155	0.050	0.888
1.660	-1.212	0.046	0.802
1.620	-1.239	0.042	0.695
1.580	-1.284	0.037	0.552
1.540	-1.313	0.036	0.549
1.500	-1.328	0.032	0.479
1.460	-1.357	0.030	0.440
1.420	-1.375	0.026	0.360
1.380	-1.397	0.025	0.334
1.340	-1.416	0.023	0.298
1.300	-1.428	0.020	0.253
1.260	-1.435	0.018	0.225
1.220	-1.450	0.017	0.192
1.180	-1.461	0.015	0.168
1.140	-1.464	0.013	0.126
1.100	-1.473	0.012	0.122
1.060	-1.479	0.010	0.102
1.020	-1.487	0.009	0.057
0.980	-1.488	0.008	0.020
0.940	-1.489	0.007	-0.012
0.900	-1.493	0.006	-0.006
0.860	-1.494	0.005	-0.011
0.820	-1.494	0.004	-0.023
0.780	-1.498	0.003	0.002
0.740	-1.499	0.003	0.003
0.700	-1.499	0.002	0.000
0.660	-1.498	0.002	-0.012
0.620	-1.500	0.001	0.001
0.580	-1.500	0.001	0.001
0.540	-1.500	0.000	0.000
0.500	-1.500	0.000	0.000
0.460	-1.500	0.000	-0.001
0.420	-1.500	0.000	0.000
0.380	-1.500	0.000	0.000
0.340	-1.500	0.000	0.000
0.300	-1.500	0.000	0.000
0.260	-1.500	0.000	0.000
0.220	-1.500	0.000	0.000
0.180	-1.500	0.000	0.000
0.140	-1.500	0.000	0.000
