T	<e>	d<e>	cv
4.100	-0.125	0.023	0.032
4.060	-0.126	0.023	0.032
4.020	-0.128	0.023	0.034
3.980	-0.130	0.023	0.035
3.940	-0.130	0.023	0.035
3.900	-0.132	0.022	0.034
3.860	-0.133	0.023	0.037
3.820	-0.134	0.023	0.039
3.780	-0.137	0.023	0.038
3.740	-0.138	0.023	0.039
3.700	-0.139	0.023	0.040
3.660	-0.141	0.023	0.040
3.620	-0.143	0.023	0.042
3.580	-0.144	0.023	0.043
3.540	-0.146	0.023	0.044
3.500	-0.148	0.023	0.045
3.460	-0.149	0.023	0.046
3.420	-0.152	0.023	0.048
3.380	-0.153	0.023	0.049
3.340	-0.156	0.023	0.050
3.300	-0.158	0.023	0.052
3.260	-0.159	0.023	0.052
3.220	-0.162	0.023	0.054
3.180	-0.163	0.024	0.056
3.140	-0.167	0.024	0.058
3.100	-0.168	0.024	0.060
3.060	-0.171	0.023	0.060
3.020	-0.175	0.023	0.060
2.980	-0.176	0.024	0.065
2.940	-0.179	0.024	0.068
2.900	-0.181	0.024	0.070
2.860	-0.184	0.024	0.071
2.820	-0.187	0.024	0.075
2.780	-0.190	0.024	0.077
2.740	-0.194	0.024	0.078
2.700	-0.197	0.024	0.082
2.660	-0.199	0.024	0.084
2.620	-0.203	0.024	0.087
2.580	-0.207	0.024	0.089
2.540	-0.211	0.024	0.093
2.500	-0.214	0.025	0.099
2.460	-0.218	0.024	0.099
2.420	-0.223	0.025	0.106
2.380	-0.226	0.025	0.111
2.340	-0.231	0.025	0.114
2.300	-0.236	0.025	0.118
2.260	-0.240	0.025	0.125
2.220	-0.245	0.025	0.132
2.180	-0.252	0.025	0.133
2.140	-0.257	0.026	0.148
2.100	-0.262	0.025	0.148
2.060	-0.269	0.026	0.159
2.020	-0.275	0.026	0.170
1.980	-0.282	0.026	0.178
1.940	-0.289	0.027	0.191
1.900	-0.297	0.026	0.191
1.860	-0.305	0.027	0.208
1.820	-0.314	0.027	0.217
1.780	-0.323	0.027	0.234
1.740	-0.333	0.027	0.244
1.700	-0.343	0.027	0.261
1.660	-0.354	0.028	0.285
1.620	-0.366	0.028	0.308
1.580	-0.378	0.029	0.345
1.540	-0.393	0.030	0.376
1.500	-0.409	0.029	0.392
1.460	-0.425	0.030	0.437
1.420	-0.444	0.031	0.487
1.380	-0.465	0.032	0.562
1.340	-0.489	0.033	0.625
1.300	-0.515	0.034	0.715
1.260	-0.544	0.035	0.784
1.220	-0.583	0.039	1.027
1.180	-0.633	0.048	1.668
1.140	-0.708	0.045	1.627
1.100	-0.771	0.041	1.449
1.060	-0.819	0.035	1.116
1.020	-0.859	0.028	0.787
0.980	-0.886	0.025	0.693
0.940	-0.911	0.021	0.534
0.900	-0.930	0.019	0.466
0.860	-0.946	0.016	0.360
0.820	-0.958	0.014	0.310
0.780	-0.969	0.011	0.244
0.740	-0.978	0.010	0.200
0.700	-0.984	0.008	0.146
0.660	-0.989	0.007	0.095
0.620	-0.993	0.006	0.050
0.580	-0.995	0.004	0.021
0.540	-0.997	0.003	0.000
0.500	-0.999	0.002	0.000
0.460	-0.999	0.002	-0.000
0.420	-1.000	0.001	0.000
0.380	-1.000	0.001	0.000
0.340	-1.000	0.000	0.000
0.300	-1.000	0.000	0.001
0.260	-1.000	0.000	0.001
0.220	-1.000	0.000	0.000
0.180	-1.000	0.000	0.000
0.140	-1.000	0.000	0.000
