T	<e>	d<e>	cv
4.100	-0.391	0.071	0.303
4.060	-0.190	0.049	0.148
4.020	-0.239	0.045	0.130
3.980	-0.324	0.063	0.259
3.940	-0.282	0.061	0.249
3.900	-0.225	0.078	0.409
3.860	-0.344	0.071	0.349
3.820	-0.246	0.051	0.182
3.780	-0.205	0.068	0.328
3.740	-0.306	0.057	0.234
3.700	-0.144	0.077	0.439
3.660	-0.231	0.091	0.628
3.620	-0.280	0.064	0.322
3.580	-0.255	0.052	0.215
3.540	-0.202	0.126	1.301
3.500	-0.193	0.071	0.418
3.460	-0.199	0.092	0.731
3.420	-0.274	0.054	0.259
3.380	-0.361	0.054	0.264
3.340	-0.439	0.084	0.650
3.300	-0.432	0.068	0.433
3.260	-0.333	0.060	0.347
3.220	-0.251	0.068	0.454
3.180	-0.345	0.071	0.506
3.140	-0.467	0.058	0.353
3.100	-0.310	0.059	0.372
3.060	-0.237	0.065	0.459
3.020	-0.300	0.112	1.401
2.980	-0.436	0.061	0.428
2.940	-0.368	0.061	0.441
2.900	-0.435	0.063	0.490
2.860	-0.457	0.077	0.733
2.820	-0.427	0.057	0.412
2.780	-0.438	0.055	0.399
2.740	-0.418	0.059	0.474
2.700	-0.422	0.064	0.576
2.660	-0.569	0.065	0.613
2.620	-0.535	0.061	0.552
2.580	-0.426	0.083	1.060
2.540	-0.510	0.071	0.805
2.500	-0.537	0.060	0.584
2.460	-0.593	0.058	0.563
2.420	-0.671	0.071	0.877
2.380	-0.510	0.062	0.687
2.340	-0.684	0.059	0.643
2.300	-0.666	0.065	0.805
2.260	-0.694	0.061	0.751
2.220	-0.709	0.063	0.821
2.180	-0.857	0.065	0.913
2.140	-0.807	0.065	0.950
2.100	-0.932	0.073	1.235
2.060	-1.050	0.084	1.692
2.020	-1.011	0.077	1.472
1.980	-1.049	0.077	1.532
1.940	-1.140	0.065	1.147
1.900	-1.086	0.064	1.145
1.860	-1.252	0.047	0.667
1.820	-1.261	0.049	0.741
1.780	-1.267	0.043	0.609
1.740	-1.287	0.046	0.701
1.700	-1.324	0.038	0.522
1.660	-1.357	0.035	0.464
1.620	-1.369	0.031	0.378
1.580	-1.370	0.030	0.364
1.540	-1.376	0.029	0.368
1.500	-1.403	0.027	0.343
1.460	-1.458	0.028	0.377
1.420	-1.445	0.022	0.243
1.380	-1.424	0.021	0.241
1.340	-1.453	0.018	0.187
1.300	-1.457	0.016	0.152
1.260	-1.463	0.015	0.146
1.220	-1.476	0.013	0.110
1.180	-1.483	0.012	0.100
1.140	-1.484	0.010	0.082
1.100	-1.492	0.009	0.070
1.060	-1.490	0.008	0.065
1.020	-1.495	0.007	0.048
0.980	-1.494	0.006	0.032
0.940	-1.496	0.005	0.033
0.900	-1.498	0.004	0.022
0.860	-1.498	0.003	0.017
0.820	-1.499	0.003	0.017
0.780	-1.499	0.002	0.010
0.740	-1.499	0.002	0.005
0.700	-1.499	0.001	0.002
0.660	-1.500	0.001	0.002
0.620	-1.500	0.001	0.001
0.580	-1.500	0.000	0.001
0.540	-1.500	0.000	0.000
0.500	-1.500	0.000	0.000
0.460	-1.500	0.000	0.000
0.420	-1.500	0.000	0.000
0.380	-1.500	0.000	0.000
0.340	-1.500	0.000	0.000
0.300	-1.500	0.000	0.000
0.260	-1.500	0.000	0.000
0.220	-1.500	0.000	0.000
0.180	-1.500	0.000	0.000
0.140	-1.500	0.000	0.000
