T	<e>	d<e>	cv
4.100	-0.152	0.023	0.033
4.060	-0.050	0.023	0.033
4.020	-0.052	0.023	0.034
3.980	-0.043	0.023	0.036
3.940	-0.065	0.023	0.036
3.900	-0.058	0.023	0.037
3.860	-0.069	0.023	0.038
3.820	-0.077	0.024	0.039
3.780	-0.059	0.024	0.040
3.740	-0.076	0.024	0.041
3.700	-0.071	0.024	0.042
3.660	-0.073	0.024	0.043
3.620	-0.080	0.024	0.045
3.580	-0.083	0.024	0.044
3.540	-0.076	0.024	0.045
3.500	-0.081	0.024	0.049
3.460	-0.098	0.023	0.047
3.420	-0.091	0.024	0.050
3.380	-0.076	0.024	0.051
3.340	-0.097	0.024	0.053
3.300	-0.093	0.024	0.053
3.260	-0.090	0.024	0.056
3.220	-0.098	0.024	0.059
3.180	-0.108	0.024	0.059
3.140	-0.111	0.025	0.063
3.100	-0.115	0.024	0.064
3.060	-0.126	0.025	0.068
3.020	-0.122	0.024	0.066
2.980	-0.118	0.025	0.070
2.940	-0.137	0.024	0.070
2.900	-0.137	0.024	0.072
2.860	-0.133	0.024	0.074
2.820	-0.139	0.025	0.078
2.780	-0.151	0.025	0.083
2.740	-0.144	0.024	0.081
2.700	-0.148	0.025	0.089
2.660	-0.151	0.025	0.092
2.620	-0.173	0.025	0.096
2.580	-0.165	0.025	0.098
2.540	-0.169	0.025	0.102
2.500	-0.185	0.025	0.105
2.460	-0.195	0.026	0.111
2.420	-0.203	0.026	0.116
2.380	-0.207	0.026	0.118
2.340	-0.211	0.026	0.128
2.300	-0.216	0.026	0.133
2.260	-0.222	0.026	0.136
2.220	-0.224	0.027	0.150
2.180	-0.242	0.026	0.151
2.140	-0.252	0.028	0.169
2.100	-0.264	0.027	0.175
2.060	-0.281	0.027	0.178
2.020	-0.271	0.028	0.201
1.980	-0.298	0.028	0.203
1.940	-0.299	0.028	0.212
1.900	-0.322	0.029	0.239
1.860	-0.329	0.028	0.241
1.820	-0.347	0.030	0.271
1.780	-0.362	0.030	0.285
1.740	-0.385	0.031	0.318
1.700	-0.384	0.031	0.339
1.660	-0.414	0.032	0.372
1.620	-0.425	0.032	0.410
1.580	-0.445	0.033	0.452
1.540	-0.482	0.035	0.536
1.500	-0.520	0.037	0.610
1.460	-0.544	0.042	0.847
1.420	-0.591	0.047	1.114
1.380	-0.657	0.049	1.290
1.340	-0.722	0.041	0.982
1.300	-0.766	0.036	0.785
1.260	-0.805	0.032	0.677
1.220	-0.844	0.028	0.548
1.180	-0.870	0.025	0.472
1.140	-0.893	0.022	0.393
1.100	-0.909	0.020	0.334
1.060	-0.926	0.018	0.286
1.020	-0.937	0.016	0.250
0.980	-0.950	0.014	0.205
0.940	-0.961	0.012	0.181
0.900	-0.972	0.010	0.133
0.860	-0.975	0.009	0.101
0.820	-0.984	0.008	0.090
0.780	-0.988	0.006	0.051
0.740	-0.992	0.005	0.023
0.700	-0.994	0.004	0.008
0.660	-0.996	0.003	-0.002
0.620	-0.997	0.003	-0.005
0.580	-0.999	0.002	0.001
0.540	-0.998	0.001	-0.005
0.500	-0.999	0.001	-0.005
0.460	-1.000	0.001	-0.000
0.420	-0.999	0.000	-0.005
0.380	-1.000	0.000	-0.000
0.340	-1.000	0.000	0.001
0.300	-1.000	0.000	0.000
0.260	-1.000	0.000	0.000
0.220	-1.000	0.000	0.000
0.180	-1.000	0.000	0.000
0.140	-1.000	0.000	0.000
