T	<m>	d<m>	suscep
4.100	0.009	0.055	764.187
4.060	-0.003	0.054	760.271
4.020	-0.002	0.051	674.556
3.980	0.007	0.053	751.783
3.940	-0.002	0.054	780.288
3.900	-0.003	0.058	889.689
3.860	-0.005	0.053	759.197
3.820	0.004	0.056	867.070
3.780	0.000	0.055	845.404
3.740	0.009	0.059	969.734
3.700	0.001	0.054	827.722
3.660	0.002	0.055	861.539
3.620	0.003	0.056	892.778
3.580	0.002	0.059	1010.886
3.540	0.001	0.058	1011.734
3.500	-0.002	0.059	1032.343
3.460	-0.006	0.060	1077.050
3.420	-0.004	0.062	1160.734
3.380	-0.004	0.059	1090.682
3.340	-0.000	0.062	1192.096
3.300	-0.000	0.060	1146.485
3.260	0.000	0.065	1338.342
3.220	-0.003	0.064	1328.686
3.180	-0.002	0.062	1262.557
3.140	-0.011	0.069	1581.261
3.100	0.003	0.069	1611.213
3.060	-0.003	0.073	1835.964
3.020	-0.007	0.073	1836.321
2.980	0.005	0.071	1766.941
2.940	-0.005	0.069	1683.117
2.900	0.008	0.069	1724.990
2.860	0.005	0.073	1948.205
2.820	-0.006	0.074	2026.698
2.780	-0.005	0.080	2400.163
2.740	0.010	0.079	2384.191
2.700	-0.000	0.076	2262.967
2.660	0.006	0.088	3048.046
2.620	-0.009	0.081	2597.015
2.580	-0.012	0.078	2443.312
2.540	-0.015	0.091	3395.949
2.500	-0.019	0.100	4181.193
2.460	-0.011	0.101	4327.230
2.420	0.000	0.113	5564.400
2.380	0.013	0.111	5438.514
2.340	-0.022	0.122	6670.613
2.300	-0.004	0.114	5873.873
2.260	0.029	0.121	6774.632
2.220	0.002	0.127	7582.259
2.180	0.057	0.156	11651.042
2.140	0.031	0.179	15628.036
2.100	-0.046	0.176	15409.321
2.060	-0.036	0.183	17133.533
2.020	0.063	0.159	13202.178
1.980	-0.049	0.302	48364.289
1.940	-0.040	0.247	32846.535
1.900	-0.261	0.194	20694.113
1.860	-0.460	0.210	24743.045
1.820	-0.713	0.074	3115.076
1.780	-0.776	0.064	2400.772
1.740	-0.828	0.054	1785.884
1.700	-0.870	0.033	665.846
1.660	-0.878	0.036	812.613
1.620	-0.904	0.028	505.286
1.580	-0.917	0.025	412.025
1.540	-0.931	0.021	307.873
1.500	-0.945	0.018	230.500
1.460	-0.953	0.015	150.300
1.420	-0.960	0.013	121.655
1.380	-0.967	0.011	91.712
1.340	-0.973	0.010	76.446
1.300	-0.977	0.008	54.279
1.260	-0.982	0.008	45.536
1.220	-0.985	0.007	35.656
1.180	-0.988	0.006	32.574
1.140	-0.990	0.005	20.011
1.100	-0.993	0.004	15.909
1.060	-0.994	0.004	13.267
1.020	-0.995	0.004	10.723
0.980	-0.996	0.003	7.079
0.940	-0.998	0.002	3.524
0.900	-0.998	0.002	2.917
0.860	-0.999	0.002	1.744
0.820	-0.999	0.001	0.305
0.780	-0.999	0.001	0.401
0.740	-1.000	0.001	0.084
0.700	-1.000	0.001	0.089
0.660	-1.000	0.000	0.189
0.620	-1.000	0.000	0.101
0.580	-1.000	0.000	0.000
0.540	-1.000	0.000	0.000
0.500	-1.000	0.000	0.000
0.460	-1.000	0.000	0.000
0.420	-1.000	0.000	0.000
0.380	-1.000	0.000	0.000
0.340	-1.000	0.000	0.000
0.300	-1.000	0.000	0.000
0.260	-1.000	0.000	0.000
0.220	-1.000	0.000	0.000
0.180	-1.000	0.000	0.000
0.140	-1.000	0.000	0.000
