T	<m>	d<m>	suscep
4.100	-0.005	0.062	987.125
4.060	-0.010	0.067	1163.002
4.020	0.004	0.070	1276.342
3.980	0.001	0.060	950.377
3.940	-0.005	0.068	1239.224
3.900	0.006	0.064	1092.197
3.860	0.004	0.066	1200.627
3.820	-0.011	0.071	1364.574
3.780	-0.001	0.063	1116.356
3.740	-0.024	0.077	1673.194
3.700	-0.008	0.072	1462.209
3.660	0.001	0.069	1379.237
3.620	-0.003	0.079	1798.920
3.580	0.005	0.080	1866.908
3.540	-0.006	0.075	1674.042
3.500	0.004	0.081	1964.092
3.460	-0.006	0.078	1864.538
3.420	0.001	0.085	2211.954
3.380	-0.008	0.080	1971.549
3.340	-0.012	0.086	2307.936
3.300	0.008	0.074	1758.408
3.260	0.019	0.089	2564.481
3.220	0.011	0.085	2355.080
3.180	0.001	0.090	2665.336
3.140	0.004	0.093	2915.661
3.100	0.014	0.098	3221.278
3.060	0.001	0.106	3876.694
3.020	-0.025	0.098	3308.282
2.980	-0.016	0.103	3743.642
2.940	-0.000	0.116	4791.463
2.900	0.012	0.102	3761.230
2.860	-0.008	0.117	5016.065
2.820	0.040	0.113	4709.736
2.780	-0.034	0.137	7079.254
2.740	-0.021	0.152	8821.711
2.700	0.020	0.164	10504.478
2.660	0.036	0.136	7323.130
2.620	0.075	0.177	12500.703
2.580	-0.032	0.223	20126.424
2.540	-0.100	0.209	18105.547
2.500	0.172	0.344	49539.730
2.460	-0.002	0.327	45607.137
2.420	0.073	0.228	22584.865
2.380	0.396	0.212	19808.469
2.340	0.520	0.124	6895.540
2.300	0.616	0.109	5401.440
2.260	0.718	0.097	4338.938
2.220	0.794	0.061	1753.998
2.180	0.816	0.047	1076.720
2.140	0.852	0.042	861.536
2.100	0.861	0.050	1260.030
2.060	0.890	0.033	538.926
2.020	0.909	0.025	330.879
1.980	0.916	0.030	467.393
1.940	0.927	0.022	253.512
1.900	0.937	0.019	202.467
1.860	0.947	0.016	135.954
1.820	0.952	0.017	156.525
1.780	0.960	0.013	93.083
1.740	0.965	0.013	92.960
1.700	0.971	0.010	63.640
1.660	0.974	0.010	63.479
1.620	0.978	0.009	46.644
1.580	0.981	0.008	36.195
1.540	0.984	0.007	30.073
1.500	0.986	0.006	24.667
1.460	0.988	0.006	21.404
1.420	0.991	0.006	21.303
1.380	0.992	0.005	14.900
1.340	0.993	0.004	10.774
1.300	0.995	0.004	9.087
1.260	0.996	0.003	6.548
1.220	0.997	0.003	4.969
1.180	0.997	0.002	3.072
1.140	0.998	0.002	2.193
1.100	0.999	0.002	1.193
1.060	0.999	0.001	0.472
1.020	0.999	0.001	0.980
0.980	0.999	0.001	0.383
0.940	1.000	0.001	0.066
0.900	1.000	0.001	0.139
0.860	1.000	0.001	0.291
0.820	1.000	0.000	-0.076
0.780	1.000	0.000	0.160
0.740	1.000	0.000	0.000
0.700	1.000	0.000	0.000
0.660	1.000	0.000	0.000
0.620	1.000	0.000	0.000
0.580	1.000	0.000	0.000
0.540	1.000	0.000	0.000
0.500	1.000	0.000	0.000
0.460	1.000	0.000	0.000
0.420	1.000	0.000	0.000
0.380	1.000	0.000	0.000
0.340	1.000	0.000	0.000
0.300	1.000	0.000	0.000
0.260	1.000	0.000	0.000
0.220	1.000	0.000	0.000
0.180	1.000	0.000	0.000
0.140	1.000	0.000	0.000
