T	<m>	d<m>	suscep
5.500	-0.002	0.049	455.230
5.450	0.006	0.053	537.111
5.400	0.001	0.048	440.333
5.350	0.004	0.053	554.711
5.300	0.002	0.052	544.635
5.250	0.003	0.054	583.983
5.200	0.005	0.049	492.701
5.150	-0.003	0.050	516.053
5.100	-0.001	0.055	623.367
5.050	-0.003	0.052	568.917
5.000	0.002	0.057	682.374
4.950	0.007	0.055	635.145
4.900	-0.001	0.055	658.457
4.850	-0.002	0.052	594.947
4.800	0.004	0.051	569.172
4.750	-0.004	0.054	632.890
4.700	0.008	0.058	763.390
4.650	-0.001	0.054	653.803
4.600	0.003	0.057	736.327
4.550	0.002	0.057	753.478
4.500	-0.006	0.059	821.504
4.450	0.000	0.057	771.600
4.400	0.004	0.060	853.037
4.350	0.008	0.057	779.800
4.300	-0.003	0.064	998.527
4.250	-0.008	0.061	927.962
4.200	-0.002	0.059	868.096
4.150	-0.007	0.062	956.589
4.100	0.004	0.064	1057.443
4.050	0.007	0.060	932.572
4.000	-0.006	0.061	970.814
3.950	0.008	0.063	1066.517
3.900	0.001	0.063	1051.165
3.850	0.008	0.068	1255.604
3.800	-0.008	0.073	1454.305
3.750	0.005	0.064	1131.012
3.700	0.005	0.068	1316.811
3.650	0.008	0.066	1243.779
3.600	0.002	0.073	1554.524
3.550	-0.005	0.076	1686.524
3.500	0.002	0.085	2174.536
3.450	0.004	0.085	2173.872
3.400	-0.007	0.081	2024.463
3.350	-0.000	0.089	2467.635
3.300	0.018	0.092	2675.310
3.250	0.002	0.084	2279.193
3.200	0.024	0.095	2967.377
3.150	0.011	0.095	2984.496
3.100	-0.030	0.088	2625.541
3.050	0.021	0.104	3696.737
3.000	0.004	0.103	3736.389
2.950	0.013	0.109	4210.652
2.900	-0.048	0.104	3937.318
2.850	-0.015	0.108	4300.218
2.800	0.061	0.127	6033.029
2.750	-0.033	0.127	6197.115
2.700	-0.046	0.195	14794.441
2.650	-0.086	0.146	8420.050
2.600	-0.004	0.174	12195.041
2.550	0.014	0.157	10104.930
2.500	-0.084	0.322	43424.277
2.450	-0.047	0.265	30160.490
2.400	-0.083	0.266	30994.547
2.350	-0.535	0.168	12618.392
2.300	-0.475	0.347	54875.477
2.250	0.463	0.295	40429.180
2.200	0.813	0.051	1234.204
2.150	0.821	0.096	4453.373
2.100	0.867	0.036	639.970
2.050	0.884	0.045	1024.909
2.000	0.910	0.024	302.188
1.950	0.928	0.020	224.551
1.900	0.937	0.020	220.000
1.850	0.949	0.015	128.682
1.800	0.954	0.020	237.812
1.750	0.964	0.013	105.214
1.700	0.970	0.010	62.757
1.650	0.976	0.009	54.583
1.600	0.979	0.008	43.672
1.550	0.984	0.007	31.089
1.500	0.986	0.006	25.208
1.450	0.989	0.006	21.810
1.400	0.991	0.005	13.661
1.350	0.993	0.004	11.528
1.300	0.995	0.004	8.317
1.250	0.996	0.003	5.800
1.200	0.997	0.003	4.583
1.150	0.998	0.002	2.826
1.100	0.998	0.002	2.045
1.050	0.999	0.002	0.714
1.000	0.999	0.001	0.688
0.950	1.000	0.001	0.132
0.900	1.000	0.001	0.278
0.850	1.000	0.001	0.074
0.800	1.000	0.000	-0.078
0.750	1.000	0.000	0.000
0.700	1.000	0.000	0.000
0.650	1.000	0.000	0.000
0.600	1.000	0.000	0.000
0.550	1.000	0.000	0.000
