T	<m>	d<m>	suscep
5.500	-0.001	0.039	290.454
5.450	-0.002	0.037	258.972
5.400	0.001	0.039	299.599
5.350	0.000	0.039	300.740
5.300	0.002	0.036	252.882
5.250	0.001	0.038	292.788
5.200	-0.000	0.037	278.617
5.150	0.004	0.038	297.364
5.100	-0.002	0.039	307.568
5.050	-0.001	0.040	326.972
5.000	-0.001	0.039	320.058
4.950	0.002	0.040	341.552
4.900	-0.001	0.039	328.163
4.850	-0.002	0.040	338.564
4.800	-0.002	0.039	340.772
4.750	0.001	0.039	338.117
4.700	-0.003	0.040	364.255
4.650	-0.001	0.038	317.701
4.600	0.002	0.038	323.020
4.550	0.000	0.039	356.751
4.500	-0.001	0.041	393.114
4.450	0.002	0.041	395.783
4.400	0.000	0.042	411.557
4.350	0.001	0.039	365.357
4.300	-0.001	0.039	369.838
4.250	0.000	0.041	408.118
4.200	-0.001	0.042	442.836
4.150	-0.001	0.042	445.080
4.100	0.004	0.041	419.616
4.050	-0.000	0.043	488.349
4.000	0.003	0.044	503.476
3.950	-0.004	0.043	479.860
3.900	0.001	0.040	425.776
3.850	0.001	0.042	473.956
3.800	0.003	0.044	541.911
3.750	-0.004	0.041	460.016
3.700	0.000	0.044	551.622
3.650	0.003	0.046	609.738
3.600	-0.003	0.043	536.461
3.550	-0.002	0.046	628.767
3.500	0.003	0.046	636.443
3.450	0.004	0.044	594.930
3.400	0.001	0.042	550.410
3.350	-0.001	0.046	654.569
3.300	-0.003	0.045	640.345
3.250	0.002	0.044	613.660
3.200	-0.001	0.047	710.474
3.150	0.001	0.047	736.056
3.100	-0.003	0.046	706.094
3.050	0.003	0.046	733.153
3.000	-0.002	0.048	816.488
2.950	-0.005	0.048	820.018
2.900	0.003	0.049	874.194
2.850	0.001	0.051	967.865
2.800	-0.000	0.048	853.619
2.750	-0.004	0.050	956.374
2.700	-0.001	0.049	949.500
2.650	-0.006	0.050	1008.244
2.600	-0.002	0.050	1017.933
2.550	-0.000	0.053	1141.043
2.500	-0.006	0.051	1106.941
2.450	-0.002	0.052	1144.286
2.400	0.001	0.055	1326.830
2.350	-0.003	0.054	1290.333
2.300	0.007	0.057	1490.515
2.250	-0.002	0.059	1634.974
2.200	-0.006	0.058	1614.200
2.150	-0.008	0.061	1816.062
2.100	0.005	0.060	1811.384
2.050	-0.006	0.063	2042.758
2.000	-0.004	0.062	2027.949
1.950	0.005	0.068	2501.431
1.900	0.000	0.070	2698.385
1.850	-0.013	0.069	2722.217
1.800	-0.001	0.076	3370.221
1.750	0.014	0.076	3467.742
1.700	0.004	0.078	3715.913
1.650	0.005	0.091	5310.159
1.600	-0.005	0.092	5559.745
1.550	0.007	0.099	6606.959
1.500	0.021	0.099	6910.875
1.450	0.020	0.109	8664.369
1.400	0.012	0.134	13348.973
1.350	0.029	0.156	18960.330
1.300	0.005	0.188	28573.561
1.250	-0.174	0.185	28643.062
1.200	-0.160	0.201	35430.199
1.150	0.151	0.354	114166.406
1.100	0.790	0.072	4973.637
1.050	0.875	0.042	1791.072
1.000	0.914	0.025	629.000
0.950	0.940	0.018	354.671
0.900	0.957	0.014	224.236
0.850	0.969	0.011	138.382
0.800	0.979	0.008	87.422
0.750	0.987	0.006	50.917
0.700	0.991	0.005	34.821
0.650	0.995	0.004	17.500
0.600	0.997	0.003	9.167
0.550	0.999	0.002	2.727
