T	<m>	d<m>	suscep
5.500	0.000	0.039	283.462
5.450	-0.001	0.039	292.605
5.400	-0.000	0.037	269.336
5.350	-0.003	0.038	288.809
5.300	0.000	0.042	341.585
5.250	-0.002	0.038	294.528
5.200	-0.001	0.038	296.173
5.150	-0.001	0.040	321.696
5.100	0.004	0.040	322.044
5.050	-0.001	0.038	300.202
5.000	0.001	0.041	350.981
4.950	0.003	0.037	291.496
4.900	-0.003	0.037	300.264
4.850	0.001	0.039	327.992
4.800	-0.001	0.039	325.818
4.750	-0.001	0.036	288.881
4.700	0.004	0.041	367.106
4.650	0.000	0.040	368.291
4.600	-0.002	0.039	343.298
4.550	0.000	0.038	340.533
4.500	0.002	0.040	367.796
4.450	0.000	0.039	359.125
4.400	0.002	0.043	436.830
4.350	-0.002	0.041	406.231
4.300	-0.001	0.039	362.810
4.250	0.001	0.040	395.626
4.200	0.001	0.039	381.552
4.150	0.002	0.041	421.636
4.100	0.001	0.040	399.861
4.050	0.002	0.040	405.276
4.000	0.002	0.043	494.435
3.950	0.002	0.042	477.550
3.900	0.003	0.041	450.988
3.850	-0.000	0.041	454.974
3.800	0.001	0.041	453.849
3.750	0.001	0.043	520.461
3.700	-0.001	0.040	460.933
3.650	-0.005	0.046	605.053
3.600	0.002	0.044	568.466
3.550	0.000	0.046	632.844
3.500	0.004	0.043	553.390
3.450	0.000	0.043	565.067
3.400	-0.003	0.043	567.861
3.350	0.003	0.042	559.232
3.300	0.002	0.044	619.456
3.250	0.003	0.045	645.421
3.200	-0.002	0.043	611.731
3.150	0.001	0.046	713.552
3.100	0.004	0.045	678.693
3.050	-0.001	0.044	663.641
3.000	0.003	0.050	867.327
2.950	-0.002	0.047	774.311
2.900	-0.001	0.049	858.028
2.850	0.001	0.048	834.101
2.800	0.004	0.050	925.887
2.750	-0.002	0.050	946.168
2.700	0.001	0.053	1081.182
2.650	-0.011	0.048	915.688
2.600	0.001	0.049	976.119
2.550	-0.005	0.051	1071.657
2.500	0.003	0.053	1193.692
2.450	-0.007	0.055	1300.834
2.400	-0.001	0.053	1219.452
2.350	-0.002	0.056	1419.390
2.300	0.000	0.056	1454.966
2.250	0.006	0.056	1470.822
2.200	-0.002	0.061	1756.582
2.150	-0.000	0.061	1816.295
2.100	-0.005	0.061	1886.538
2.050	0.007	0.062	1975.480
2.000	0.005	0.065	2184.226
1.950	-0.002	0.071	2706.533
1.900	-0.006	0.067	2474.919
1.850	-0.007	0.075	3204.285
1.800	-0.004	0.073	3109.609
1.750	-0.002	0.074	3306.065
1.700	0.003	0.084	4330.225
1.650	0.012	0.081	4188.055
1.600	-0.001	0.093	5719.825
1.550	0.010	0.102	7088.437
1.500	0.018	0.113	8888.407
1.450	-0.012	0.105	8007.620
1.400	0.018	0.119	10671.799
1.350	0.033	0.175	23916.807
1.300	-0.011	0.182	26608.410
1.250	-0.035	0.177	26411.557
1.200	0.363	0.252	55391.988
1.150	0.625	0.123	13766.113
1.100	0.802	0.056	2974.091
1.050	0.874	0.034	1128.036
1.000	0.914	0.024	625.750
0.950	0.937	0.019	413.355
0.900	0.958	0.012	160.694
0.850	0.970	0.012	181.471
0.800	0.980	0.008	82.344
0.750	0.987	0.007	57.917
0.700	0.991	0.005	31.250
0.650	0.994	0.004	18.846
0.600	0.997	0.003	7.917
0.550	0.998	0.002	3.977
