T	<m>	d<m>	suscep
5.500	0.000	0.046	402.078
5.450	0.003	0.039	296.538
5.400	-0.005	0.040	315.862
5.350	0.000	0.045	388.849
5.300	-0.001	0.045	396.761
5.250	0.002	0.046	421.563
5.200	-0.002	0.047	437.531
5.150	-0.001	0.045	414.662
5.100	-0.000	0.043	374.450
5.050	0.001	0.046	431.147
5.000	0.001	0.046	434.516
4.950	0.002	0.048	483.796
4.900	0.000	0.046	460.259
4.850	-0.003	0.046	457.602
4.800	0.000	0.048	501.766
4.750	-0.000	0.043	414.629
4.700	0.004	0.045	442.156
4.650	-0.003	0.048	517.765
4.600	0.003	0.049	537.808
4.550	-0.003	0.049	544.175
4.500	-0.005	0.047	504.713
4.450	0.002	0.046	509.397
4.400	-0.000	0.047	535.938
4.350	0.001	0.047	526.620
4.300	-0.003	0.050	600.210
4.250	0.000	0.048	561.772
4.200	-0.005	0.048	568.902
4.150	-0.001	0.054	750.148
4.100	0.001	0.046	545.120
4.050	0.002	0.048	596.089
4.000	0.003	0.051	675.840
3.950	0.001	0.051	702.025
3.900	0.005	0.049	636.677
3.850	-0.002	0.053	758.726
3.800	0.003	0.053	780.825
3.750	0.003	0.052	766.239
3.700	-0.006	0.055	870.282
3.650	0.000	0.054	829.730
3.600	-0.006	0.054	843.203
3.550	-0.002	0.053	821.684
3.500	-0.011	0.056	942.149
3.450	-0.006	0.054	893.716
3.400	0.005	0.059	1081.127
3.350	-0.004	0.058	1061.480
3.300	0.005	0.059	1097.820
3.250	-0.004	0.058	1079.308
3.200	-0.001	0.059	1156.398
3.150	0.007	0.060	1214.736
3.100	0.001	0.061	1239.640
3.050	-0.000	0.071	1711.691
3.000	-0.001	0.062	1336.565
2.950	-0.001	0.067	1573.980
2.900	0.010	0.069	1741.875
2.850	-0.004	0.068	1695.657
2.800	0.002	0.076	2157.469
2.750	-0.005	0.071	1901.402
2.700	0.001	0.077	2280.068
2.650	0.005	0.079	2441.961
2.600	-0.005	0.077	2394.601
2.550	0.022	0.083	2848.782
2.500	0.000	0.082	2787.671
2.450	0.018	0.084	3050.523
2.400	-0.013	0.089	3453.913
2.350	0.025	0.096	4119.500
2.300	0.025	0.092	3886.049
2.250	-0.007	0.102	4890.220
2.200	0.019	0.119	6723.724
2.150	0.000	0.114	6294.304
2.100	-0.042	0.134	9006.889
2.050	-0.011	0.119	7233.814
2.000	0.042	0.165	14198.493
1.950	0.078	0.201	21716.006
1.900	-0.004	0.123	8413.694
1.850	-0.223	0.175	17259.766
1.800	0.090	0.331	63681.586
1.750	-0.299	0.383	88121.227
1.700	0.721	0.097	5780.147
1.650	0.816	0.048	1492.008
1.600	0.854	0.044	1273.477
1.550	0.894	0.030	599.435
1.500	0.919	0.023	368.125
1.450	0.931	0.019	262.759
1.400	0.947	0.015	176.116
1.350	0.957	0.014	159.028
1.300	0.966	0.012	118.990
1.250	0.973	0.010	73.700
1.200	0.980	0.008	60.417
1.150	0.984	0.006	36.522
1.100	0.989	0.006	30.114
1.050	0.992	0.005	24.286
1.000	0.994	0.004	11.250
0.950	0.995	0.003	9.539
0.900	0.997	0.003	5.069
0.850	0.998	0.002	2.426
0.800	0.999	0.002	0.938
0.750	0.999	0.001	0.750
0.700	1.000	0.001	0.446
0.650	1.000	0.001	0.385
0.600	1.000	0.000	0.104
0.550	1.000	0.000	0.000
