T	<m>	d<m>	suscep
5.500	0.003	0.041	325.608
5.450	0.001	0.043	357.538
5.400	0.003	0.043	361.321
5.350	0.004	0.044	387.681
5.300	0.002	0.044	381.068
5.250	-0.003	0.044	391.009
5.200	-0.005	0.045	415.341
5.150	0.004	0.045	418.905
5.100	0.004	0.047	446.157
5.050	-0.000	0.046	431.583
5.000	0.000	0.047	456.097
4.950	-0.007	0.047	464.602
4.900	-0.008	0.048	497.181
4.850	0.007	0.047	471.432
4.800	0.002	0.048	496.927
4.750	-0.006	0.049	519.834
4.700	0.004	0.047	499.290
4.650	0.001	0.047	493.303
4.600	-0.001	0.047	512.528
4.550	0.000	0.046	493.751
4.500	0.006	0.048	530.287
4.450	0.003	0.050	591.278
4.400	-0.000	0.048	551.418
4.350	0.001	0.052	645.492
4.300	0.000	0.047	549.105
4.250	-0.002	0.055	741.258
4.200	0.001	0.051	658.067
4.150	-0.002	0.053	714.315
4.100	0.003	0.052	702.688
4.050	-0.000	0.050	652.266
4.000	0.001	0.052	709.114
3.950	0.003	0.054	784.005
3.900	-0.002	0.053	749.737
3.850	0.002	0.056	859.360
3.800	-0.004	0.049	666.177
3.750	-0.006	0.052	763.964
3.700	0.007	0.059	975.943
3.650	-0.003	0.057	949.137
3.600	-0.001	0.055	887.843
3.550	-0.006	0.057	975.614
3.500	0.002	0.057	989.441
3.450	0.005	0.060	1099.613
3.400	0.003	0.063	1222.930
3.350	-0.003	0.066	1345.196
3.300	0.002	0.063	1246.774
3.250	-0.000	0.071	1606.670
3.200	0.002	0.065	1390.297
3.150	-0.012	0.066	1453.811
3.100	0.005	0.074	1870.993
3.050	0.001	0.070	1667.924
3.000	-0.002	0.072	1800.678
2.950	-0.002	0.073	1874.612
2.900	0.002	0.068	1660.451
2.850	-0.002	0.079	2283.011
2.800	0.002	0.077	2212.869
2.750	-0.006	0.073	2005.631
2.700	-0.012	0.077	2321.150
2.650	0.022	0.083	2738.865
2.600	0.004	0.089	3218.259
2.550	-0.009	0.096	3771.914
2.500	-0.016	0.101	4295.766
2.450	-0.025	0.101	4343.094
2.400	0.008	0.100	4339.368
2.350	-0.022	0.104	4861.331
2.300	-0.015	0.131	7829.222
2.250	-0.011	0.122	6881.816
2.200	0.068	0.136	8786.564
2.150	0.022	0.154	11578.066
2.100	-0.019	0.205	20995.168
2.050	0.029	0.195	19508.160
2.000	-0.333	0.238	29588.527
1.950	-0.162	0.291	45474.738
1.900	0.319	0.171	16132.345
1.850	0.343	0.300	50881.484
1.800	0.783	0.104	6330.347
1.750	0.835	0.069	2873.500
1.700	0.887	0.038	874.669
1.650	0.907	0.034	731.099
1.600	0.925	0.026	449.648
1.550	0.945	0.019	231.734
1.500	0.956	0.015	151.542
1.450	0.966	0.013	126.681
1.400	0.973	0.012	102.143
1.350	0.979	0.009	64.352
1.300	0.984	0.008	51.298
1.250	0.988	0.006	27.400
1.200	0.991	0.005	18.438
1.150	0.993	0.005	19.076
1.100	0.995	0.004	11.023
1.050	0.997	0.003	6.369
1.000	0.998	0.002	4.250
0.950	0.998	0.002	3.618
0.900	0.999	0.002	1.042
0.850	0.999	0.001	0.809
0.800	1.000	0.001	0.313
0.750	1.000	0.001	-0.167
0.700	1.000	0.000	0.089
0.650	1.000	0.000	0.000
0.600	1.000	0.000	0.000
0.550	1.000	0.000	0.000
