T	<m>	d<m>	suscep
5.100	-0.001	0.035	246.025
5.050	-0.001	0.035	258.425
5.000	-0.001	0.036	269.811
4.950	0.001	0.035	263.653
4.900	-0.001	0.036	270.944
4.850	0.003	0.035	264.355
4.800	0.001	0.035	261.682
4.750	-0.001	0.035	268.369
4.700	-0.002	0.035	271.301
4.650	-0.000	0.035	276.547
4.600	0.001	0.035	283.489
4.550	-0.001	0.035	276.783
4.500	-0.002	0.035	282.876
4.450	0.000	0.034	279.617
4.400	-0.000	0.035	296.279
4.350	0.001	0.036	307.599
4.300	-0.000	0.035	306.910
4.250	-0.001	0.035	306.249
4.200	0.001	0.036	332.537
4.150	-0.001	0.036	324.179
4.100	0.000	0.034	300.327
4.050	0.001	0.036	326.507
4.000	0.003	0.037	354.631
3.950	0.000	0.037	359.134
3.900	-0.000	0.035	334.048
3.850	-0.001	0.036	344.624
3.800	-0.001	0.036	364.552
3.750	-0.000	0.036	371.402
3.700	0.000	0.037	380.617
3.650	0.001	0.035	360.659
3.600	0.002	0.038	414.850
3.550	0.000	0.037	398.246
3.500	-0.000	0.037	420.838
3.450	0.001	0.036	403.710
3.400	0.000	0.037	418.690
3.350	0.001	0.037	417.562
3.300	-0.001	0.037	437.908
3.250	-0.000	0.036	424.458
3.200	0.001	0.037	453.816
3.150	0.001	0.037	464.714
3.100	-0.000	0.037	456.812
3.050	0.001	0.038	495.749
3.000	0.000	0.036	462.438
2.950	-0.000	0.037	490.415
2.900	-0.001	0.037	505.925
2.850	0.002	0.037	510.185
2.800	0.001	0.039	559.167
2.750	0.002	0.037	535.215
2.700	-0.001	0.038	571.450
2.650	-0.000	0.040	620.502
2.600	0.001	0.040	651.499
2.550	0.001	0.039	623.008
2.500	0.000	0.039	648.305
2.450	-0.001	0.040	682.608
2.400	-0.000	0.038	623.015
2.350	-0.002	0.040	729.311
2.300	0.001	0.041	769.208
2.250	0.002	0.040	759.345
2.200	-0.002	0.042	823.227
2.150	0.002	0.041	809.878
2.100	0.001	0.041	820.015
2.050	0.000	0.041	853.356
2.000	-0.001	0.041	863.155
1.950	0.001	0.043	1003.641
1.900	0.001	0.043	1027.577
1.850	-0.001	0.044	1110.880
1.800	0.000	0.043	1083.383
1.750	0.001	0.045	1201.608
1.700	0.001	0.044	1184.867
1.650	-0.001	0.045	1304.981
1.600	-0.001	0.045	1323.440
1.550	0.000	0.047	1497.297
1.500	0.003	0.048	1632.375
1.450	-0.002	0.049	1762.364
1.400	0.001	0.051	1942.123
1.350	-0.001	0.048	1767.004
1.300	0.001	0.055	2425.774
1.250	0.000	0.054	2445.108
1.200	-0.001	0.056	2775.441
1.150	0.002	0.053	2548.752
1.100	0.001	0.058	3217.146
1.050	0.000	0.061	3677.531
1.000	-0.005	0.067	4741.373
0.950	-0.006	0.066	4774.654
0.900	0.002	0.076	6742.699
0.850	0.006	0.080	7897.275
0.800	0.008	0.090	10513.221
0.750	-0.008	0.098	13491.384
0.700	-0.009	0.131	25689.602
0.650	-0.048	0.167	44875.809
0.600	-0.113	0.265	122356.062
0.550	0.788	0.088	14878.758
0.500	0.908	0.028	1615.375
0.450	0.957	0.014	450.834
0.400	0.979	0.008	179.219
0.350	0.991	0.005	64.643
0.300	0.997	0.003	11.875
0.250	0.999	0.001	-0.250
0.200	1.000	0.000	0.000
0.150	1.000	0.000	0.417
