T	<m>	d<m>
20.500	0.058	0.115
20.100	0.059	0.118
19.700	0.060	0.118
19.300	0.060	0.115
18.900	0.061	0.115
18.500	0.064	0.117
18.100	0.065	0.115
17.700	0.064	0.116
17.300	0.067	0.116
16.900	0.068	0.114
16.500	0.069	0.116
16.100	0.070	0.113
15.700	0.071	0.116
15.300	0.075	0.112
14.900	0.074	0.113
14.500	0.079	0.114
14.100	0.081	0.114
13.700	0.081	0.112
13.300	0.085	0.112
12.900	0.084	0.113
12.500	0.086	0.113
12.100	0.089	0.110
11.700	0.093	0.110
11.300	0.093	0.110
10.900	0.097	0.109
10.500	0.102	0.112
10.100	0.103	0.109
9.700	0.105	0.109
9.300	0.109	0.110
8.900	0.114	0.109
8.500	0.117	0.108
8.100	0.119	0.106
7.700	0.123	0.104
7.300	0.129	0.105
6.900	0.132	0.103
6.500	0.136	0.104
6.100	0.144	0.101
5.700	0.152	0.100
5.300	0.158	0.099
4.900	0.165	0.097
4.500	0.171	0.098
4.100	0.178	0.094
3.700	0.189	0.092
3.300	0.197	0.090
2.900	0.206	0.089
2.500	0.217	0.083
2.100	0.225	0.079
1.700	0.227	0.074
1.300	0.211	0.071
0.900	0.110	0.058
