T	<m>	d<m>	suscep
10.000	0.069	0.006	1114.988
9.901	0.068	0.007	1249.735
9.802	0.071	0.007	1172.350
9.703	0.070	0.008	1656.717
9.604	0.070	0.005	829.524
9.505	0.071	0.005	834.745
9.406	0.072	0.005	810.839
9.307	0.073	0.006	1131.675
9.208	0.072	0.006	1187.907
9.109	0.074	0.005	874.286
9.010	0.073	0.005	709.961
8.911	0.074	0.006	950.525
8.812	0.075	0.006	1055.407
8.713	0.077	0.006	1066.596
8.614	0.075	0.007	1463.707
8.515	0.077	0.007	1681.342
8.416	0.079	0.005	925.202
8.317	0.077	0.005	766.728
8.218	0.080	0.006	1061.040
8.119	0.079	0.007	1496.305
8.020	0.079	0.006	1156.531
7.921	0.081	0.005	805.896
7.822	0.081	0.006	1262.864
7.723	0.080	0.005	923.508
7.624	0.081	0.007	1700.370
7.525	0.084	0.007	1818.289
7.426	0.082	0.007	1553.040
7.327	0.085	0.006	1138.819
7.228	0.085	0.006	1399.696
7.129	0.086	0.007	1952.465
7.030	0.087	0.006	1365.541
6.931	0.086	0.006	1617.516
6.832	0.086	0.007	2055.511
6.733	0.087	0.007	2140.298
6.634	0.088	0.007	2253.184
6.535	0.087	0.005	1180.088
6.436	0.090	0.005	928.255
6.337	0.091	0.007	1891.668
6.238	0.090	0.006	1308.593
6.139	0.092	0.007	1857.265
6.040	0.090	0.006	1387.169
5.941	0.094	0.006	1700.682
5.842	0.092	0.005	972.698
5.743	0.096	0.005	1058.724
5.644	0.095	0.007	2025.735
5.545	0.095	0.006	1811.677
5.446	0.096	0.005	1245.501
5.347	0.096	0.004	942.351
5.248	0.098	0.005	1442.931
5.149	0.099	0.006	1672.752
5.050	0.099	0.006	2119.653
4.951	0.100	0.006	1860.483
4.852	0.101	0.005	1303.638
4.753	0.101	0.005	1372.554
4.654	0.102	0.006	2130.103
4.555	0.104	0.005	1655.159
4.456	0.104	0.004	1082.922
4.357	0.103	0.006	1972.688
4.258	0.105	0.005	1469.293
4.159	0.106	0.004	1004.629
4.060	0.106	0.004	1288.608
3.961	0.107	0.006	2576.875
3.862	0.107	0.005	1438.827
3.763	0.107	0.006	2161.241
3.664	0.107	0.004	1464.383
3.565	0.108	0.005	1869.495
3.466	0.109	0.005	2095.210
3.367	0.109	0.003	975.052
3.268	0.108	0.005	1796.512
3.169	0.108	0.004	1531.477
3.070	0.107	0.004	1567.345
2.971	0.107	0.003	1070.683
2.872	0.106	0.005	2260.968
2.773	0.104	0.005	2489.271
2.674	0.102	0.005	2186.986
2.575	0.101	0.004	1615.825
2.476	0.097	0.004	1576.636
2.377	0.092	0.005	2523.033
2.278	0.085	0.004	1825.834
2.179	0.080	0.003	954.452
2.080	0.072	0.003	1062.200
1.981	0.064	0.004	2015.207
1.882	0.053	0.003	1484.392
1.783	0.047	0.002	644.490
1.684	0.039	0.002	647.046
1.585	0.033	0.002	464.826
1.486	0.028	0.002	537.822
1.387	0.025	0.001	307.273
1.288	0.021	0.001	360.782
1.189	0.018	0.001	298.406
1.090	0.015	0.001	347.549
0.991	0.013	0.001	155.387
0.892	0.012	0.001	147.605
0.793	0.011	0.001	152.245
0.694	0.011	0.001	111.880
0.595	0.011	0.000	60.767
0.496	0.011	0.000	46.355
0.397	0.012	0.000	25.248
0.298	0.012	0.000	12.099
0.199	0.012	0.000	0.628
