T	<m>	d<m>
20.500	0.058	0.029
20.100	0.059	0.030
19.700	0.059	0.029
19.300	0.061	0.031
18.900	0.062	0.030
18.500	0.063	0.028
18.100	0.065	0.029
17.700	0.064	0.029
17.300	0.067	0.029
16.900	0.068	0.030
16.500	0.069	0.029
16.100	0.071	0.028
15.700	0.072	0.028
15.300	0.072	0.029
14.900	0.077	0.029
14.500	0.078	0.028
14.100	0.080	0.027
13.700	0.079	0.027
13.300	0.084	0.029
12.900	0.084	0.027
12.500	0.087	0.028
12.100	0.090	0.026
11.700	0.092	0.027
11.300	0.092	0.027
10.900	0.098	0.027
10.500	0.100	0.028
10.100	0.103	0.026
9.700	0.104	0.028
9.300	0.108	0.027
8.900	0.112	0.026
8.500	0.115	0.028
8.100	0.119	0.025
7.700	0.125	0.027
7.300	0.129	0.026
6.900	0.132	0.026
6.500	0.139	0.027
6.100	0.146	0.025
5.700	0.148	0.025
5.300	0.157	0.025
4.900	0.162	0.024
4.500	0.172	0.023
4.100	0.181	0.023
3.700	0.189	0.023
3.300	0.195	0.023
2.900	0.206	0.022
2.500	0.216	0.021
2.100	0.224	0.020
1.700	0.228	0.019
1.300	0.213	0.018
0.900	0.116	0.019
2.200	0.222	0.020
2.160	0.223	0.021
2.120	0.223	0.020
2.080	0.224	0.019
2.040	0.226	0.020
2.000	0.226	0.019
1.960	0.226	0.020
1.920	0.226	0.021
1.880	0.228	0.020
1.840	0.226	0.019
1.800	0.226	0.019
1.760	0.227	0.019
1.720	0.228	0.020
1.680	0.228	0.018
1.640	0.226	0.019
1.600	0.226	0.018
1.560	0.224	0.019
1.520	0.225	0.018
1.480	0.225	0.018
1.440	0.222	0.018
1.400	0.220	0.018
1.360	0.218	0.019
1.320	0.215	0.017
1.280	0.214	0.017
1.240	0.211	0.017
1.200	0.204	0.017
1.160	0.200	0.017
1.120	0.193	0.017
1.080	0.177	0.019
1.040	0.170	0.018
1.000	0.146	0.018
0.960	0.133	0.016
0.920	0.117	0.016
0.880	0.106	0.014
0.840	0.091	0.014
0.800	0.082	0.012
0.760	0.070	0.012
0.720	0.060	0.010
0.680	0.051	0.010
0.640	0.042	0.009
0.600	0.035	0.009
0.560	0.028	0.007
0.520	0.021	0.007
0.480	0.015	0.005
0.440	0.010	0.005
0.400	0.007	0.004
0.360	0.004	0.003
0.320	0.002	0.002
0.280	0.001	0.001
0.240	0.000	0.001
