T	<e>	d<e>	cv
5.00000	-0.63294	0.44006	0.12395
4.75500	-0.65798	0.43906	0.13641
4.51000	-0.69990	0.44842	0.15818
4.26500	-0.74212	0.45459	0.18179
4.02000	-0.79498	0.46408	0.21326
3.77500	-0.84414	0.46982	0.24783
3.53000	-0.91754	0.48254	0.29899
3.28500	-0.99120	0.49707	0.36642
3.04000	-1.09322	0.50723	0.44543
2.79500	-1.21599	0.51870	0.55101
2.55000	-1.35985	0.51112	0.64289
2.30500	-1.52697	0.47723	0.68596
2.06000	-1.69811	0.41019	0.63439
1.81500	-1.83423	0.31453	0.48035
1.57000	-1.92590	0.21072	0.28822
1.32500	-1.97539	0.11849	0.12794
1.08000	-1.99382	0.05755	0.04543
0.83500	-1.99942	0.01731	0.00688
0.59000	-1.99998	0.00283	0.00036
0.34500	-2.00000	0.00000	0.00000
