T	<e>	d<e>	cv
5.00000	-0.63280	0.44440	0.12642
4.75500	-0.66628	0.44686	0.14130
4.51000	-0.70230	0.44632	0.15668
4.26500	-0.74452	0.45695	0.18367
4.02000	-0.79322	0.46633	0.21529
3.77500	-0.84892	0.47322	0.25144
3.53000	-0.91167	0.48148	0.29765
3.28500	-1.00272	0.49559	0.36416
3.04000	-1.09555	0.50896	0.44846
2.79500	-1.22233	0.51664	0.54661
2.55000	-1.36190	0.51247	0.64619
2.30500	-1.53648	0.47663	0.68416
2.06000	-1.70038	0.40747	0.62598
1.81500	-1.83130	0.31690	0.48764
1.57000	-1.92902	0.20422	0.27070
1.32500	-1.97614	0.11579	0.12216
1.08000	-1.99503	0.05127	0.03607
0.83500	-1.99949	0.01600	0.00587
0.59000	-1.99998	0.00283	0.00036
0.34500	-2.00000	0.00000	0.00000
