T	<e>	d<e>	cv
5.00000	-0.63182	0.43804	0.12278
4.75500	-0.67042	0.44583	0.14067
4.51000	-0.70450	0.44695	0.15715
4.26500	-0.74505	0.45986	0.18602
4.02000	-0.79048	0.46458	0.21369
3.77500	-0.85070	0.47081	0.24884
3.53000	-0.91661	0.48294	0.29950
3.28500	-1.00132	0.49817	0.36797
3.04000	-1.09316	0.50812	0.44699
2.79500	-1.21514	0.51664	0.54669
2.55000	-1.35927	0.51349	0.64878
2.30500	-1.52214	0.48303	0.70256
2.06000	-1.69713	0.41064	0.63573
1.81500	-1.83483	0.31420	0.47950
1.57000	-1.92565	0.20865	0.28260
1.32500	-1.97533	0.11778	0.12642
1.08000	-1.99480	0.05319	0.03881
0.83500	-1.99946	0.01655	0.00628
0.59000	-2.00000	0.00000	0.00000
0.34500	-2.00000	0.00000	0.00000
