T	<e>	d<e>	cv
5.00000	-0.63252	0.44408	0.12620
4.75500	-0.66462	0.44233	0.13847
4.51000	-0.70456	0.44971	0.15909
4.26500	-0.74322	0.45649	0.18331
4.02000	-0.79400	0.46002	0.20950
3.77500	-0.84114	0.46552	0.24332
3.53000	-0.91744	0.48504	0.30208
3.28500	-0.99982	0.49716	0.36646
3.04000	-1.09007	0.50700	0.44501
2.79500	-1.22657	0.51668	0.54684
2.55000	-1.36210	0.50996	0.63990
2.30500	-1.52336	0.47994	0.69373
2.06000	-1.69386	0.41195	0.63979
1.81500	-1.83020	0.32051	0.49898
1.57000	-1.92686	0.20813	0.28112
1.32500	-1.97629	0.11497	0.12050
1.08000	-1.99459	0.05347	0.03922
0.83500	-1.99949	0.01599	0.00587
0.59000	-1.99998	0.00283	0.00036
0.34500	-2.00000	0.00000	0.00000
