T	<e>	d<e>	cv
5.00000	-0.63482	0.44139	0.12471
4.75500	-0.66581	0.44716	0.14149
4.51000	-0.70006	0.45023	0.15945
4.26500	-0.74591	0.45624	0.18310
4.02000	-0.78494	0.46369	0.21286
3.77500	-0.84529	0.46832	0.24625
3.53000	-0.91482	0.48230	0.29867
3.28500	-0.99768	0.49436	0.36231
3.04000	-1.09354	0.50986	0.45007
2.79500	-1.22182	0.51651	0.54641
2.55000	-1.35586	0.51346	0.64866
2.30500	-1.53021	0.47953	0.69241
2.06000	-1.69230	0.41470	0.64833
1.81500	-1.83338	0.31582	0.48442
1.57000	-1.92778	0.20791	0.28060
1.32500	-1.97572	0.11726	0.12533
1.08000	-1.99501	0.05134	0.03615
0.83500	-1.99927	0.01923	0.00848
0.59000	-2.00000	0.00000	0.00000
0.34500	-2.00000	0.00000	0.00000
