T	<m>	d<m>	suscep
5.00000	0.00039	0.22116	2.50436
4.75500	0.00060	0.21698	2.53462
4.51000	-0.00002	0.21364	2.59082
4.26500	-0.00116	0.21014	2.65037
4.02000	-0.00157	0.20571	2.69494
3.77500	-0.00123	0.19933	2.69448
3.53000	-0.00231	0.19364	2.71905
3.28500	-0.00015	0.18434	2.64825
3.04000	-0.00050	0.17544	2.59190
2.79500	-0.00141	0.16105	2.37572
2.55000	-0.00027	0.14550	2.12539
2.30500	-0.00031	0.12342	1.69187
2.06000	0.00064	0.09712	1.17214
1.81500	-0.00016	0.07195	0.73013
1.57000	-0.00007	0.04711	0.36190
1.32500	0.00024	0.02738	0.14489
1.08000	0.00005	0.01290	0.03947
0.83500	0.00000	0.00424	0.00552
0.59000	0.00000	0.00000	0.00000
0.34500	0.00000	0.00000	0.00000
