T	<e>	d<e>	cv
10.000	-0.164	0.096	24.133
9.901	-0.266	0.002	0.012
9.802	-0.267	0.003	0.024
9.703	-0.267	0.002	0.010
9.604	-0.268	0.000	0.000
9.505	-0.270	0.001	0.003
9.406	-0.275	0.001	0.003
9.307	-0.275	0.001	0.001
9.208	-0.280	0.002	0.008
9.109	-0.284	0.004	0.042
9.010	-0.286	0.001	0.003
8.911	-0.289	0.003	0.032
8.812	-0.296	0.004	0.062
8.713	-0.293	0.000	0.000
8.614	-0.297	0.002	0.016
8.515	-0.302	0.002	0.017
8.416	-0.307	0.002	0.013
8.317	-0.312	0.001	0.004
8.218	-0.312	0.003	0.042
8.119	-0.313	0.003	0.034
8.020	-0.316	0.001	0.006
7.921	-0.321	0.000	0.000
7.822	-0.319	0.005	0.111
7.723	-0.331	0.003	0.029
7.624	-0.333	0.004	0.088
7.525	-0.336	0.000	0.000
7.426	-0.341	0.001	0.010
7.327	-0.347	0.000	0.001
7.228	-0.350	0.001	0.005
7.129	-0.352	0.002	0.019
7.030	-0.359	0.000	0.000
6.931	-0.362	0.005	0.133
6.832	-0.364	0.003	0.037
6.733	-0.373	0.000	0.000
6.634	-0.378	0.001	0.007
6.535	-0.383	0.005	0.180
6.436	-0.386	0.004	0.096
6.337	-0.395	0.000	0.000
6.238	-0.400	0.004	0.113
6.139	-0.406	0.003	0.079
6.040	-0.407	0.002	0.019
5.941	-0.420	0.007	0.381
5.842	-0.420	0.005	0.173
5.743	-0.434	0.005	0.240
5.644	-0.439	0.002	0.040
5.545	-0.449	0.003	0.084
5.446	-0.454	0.005	0.182
5.347	-0.460	0.006	0.352
5.248	-0.471	0.006	0.344
5.149	-0.482	0.002	0.055
5.050	-0.487	0.003	0.093
4.951	-0.497	0.003	0.099
4.852	-0.507	0.002	0.065
4.753	-0.519	0.003	0.130
4.654	-0.531	0.001	0.018
4.555	-0.537	0.007	0.577
4.456	-0.551	0.001	0.018
4.357	-0.563	0.007	0.659
4.258	-0.571	0.003	0.125
4.159	-0.588	0.004	0.191
4.060	-0.603	0.005	0.363
3.961	-0.616	0.007	0.776
3.862	-0.637	0.005	0.402
3.763	-0.652	0.005	0.490
3.664	-0.672	0.010	1.853
3.565	-0.690	0.010	1.923
3.466	-0.708	0.008	1.549
3.367	-0.731	0.011	2.602
3.268	-0.756	0.007	1.238
3.169	-0.780	0.009	2.026
3.070	-0.813	0.011	3.324
2.971	-0.843	0.014	5.546
2.872	-0.879	0.016	8.564
2.773	-0.919	0.016	9.042
2.674	-0.951	0.013	6.575
2.575	-0.994	0.014	7.720
2.476	-1.042	0.017	11.821
2.377	-1.094	0.019	16.985
2.278	-1.149	0.018	15.970
2.179	-1.211	0.019	20.930
2.080	-1.273	0.019	22.753
1.981	-1.349	0.022	32.577
1.882	-1.420	0.022	37.303
1.783	-1.483	0.019	28.271
1.684	-1.546	0.020	38.414
1.585	-1.602	0.016	25.177
1.486	-1.649	0.014	22.473
1.387	-1.693	0.013	23.262
1.288	-1.728	0.011	18.762
1.189	-1.757	0.009	16.225
1.090	-1.780	0.007	10.153
0.991	-1.799	0.006	9.673
0.892	-1.814	0.005	9.190
0.793	-1.826	0.004	5.069
0.694	-1.835	0.002	2.985
0.595	-1.842	0.002	2.648
0.496	-1.846	0.001	1.778
0.397	-1.849	0.001	1.586
0.298	-1.851	0.000	0.000
0.199	-1.851	0.000	0.000
