T	<e>	d<e>	cv
10.000	-0.261	0.026	0.027
9.901	-0.264	0.023	0.021
9.802	-0.265	0.025	0.027
9.703	-0.271	0.023	0.024
9.604	-0.269	0.023	0.023
9.505	-0.271	0.024	0.025
9.406	-0.275	0.023	0.025
9.307	-0.280	0.022	0.023
9.208	-0.286	0.026	0.032
9.109	-0.284	0.025	0.031
9.010	-0.287	0.024	0.029
8.911	-0.286	0.027	0.038
8.812	-0.291	0.023	0.028
8.713	-0.292	0.025	0.034
8.614	-0.300	0.025	0.035
8.515	-0.305	0.023	0.029
8.416	-0.304	0.022	0.029
8.317	-0.308	0.026	0.039
8.218	-0.314	0.024	0.035
8.119	-0.315	0.026	0.042
8.020	-0.319	0.023	0.034
7.921	-0.322	0.024	0.038
7.822	-0.326	0.023	0.037
7.723	-0.334	0.027	0.051
7.624	-0.333	0.025	0.044
7.525	-0.334	0.022	0.036
7.426	-0.341	0.024	0.043
7.327	-0.345	0.021	0.035
7.228	-0.349	0.023	0.042
7.129	-0.354	0.025	0.050
7.030	-0.358	0.026	0.056
6.931	-0.367	0.024	0.050
6.832	-0.370	0.027	0.063
6.733	-0.376	0.023	0.048
6.634	-0.379	0.022	0.045
6.535	-0.386	0.023	0.049
6.436	-0.388	0.024	0.058
6.337	-0.394	0.023	0.053
6.238	-0.404	0.024	0.060
6.139	-0.408	0.025	0.066
6.040	-0.412	0.022	0.053
5.941	-0.425	0.024	0.069
5.842	-0.430	0.025	0.075
5.743	-0.434	0.025	0.080
5.644	-0.444	0.023	0.070
5.545	-0.450	0.022	0.067
5.446	-0.454	0.022	0.067
5.347	-0.462	0.025	0.088
5.248	-0.472	0.024	0.086
5.149	-0.484	0.025	0.099
5.050	-0.493	0.024	0.090
4.951	-0.501	0.023	0.089
4.852	-0.510	0.025	0.111
4.753	-0.516	0.025	0.109
4.654	-0.534	0.025	0.116
4.555	-0.544	0.024	0.117
4.456	-0.551	0.027	0.154
4.357	-0.565	0.026	0.144
4.258	-0.579	0.026	0.156
4.159	-0.597	0.025	0.142
4.060	-0.609	0.027	0.178
3.961	-0.624	0.024	0.156
3.862	-0.643	0.025	0.168
3.763	-0.663	0.026	0.201
3.664	-0.681	0.022	0.153
3.565	-0.704	0.029	0.267
3.466	-0.720	0.027	0.250
3.367	-0.748	0.025	0.232
3.268	-0.773	0.027	0.287
3.169	-0.803	0.028	0.326
3.070	-0.829	0.026	0.285
2.971	-0.860	0.027	0.338
2.872	-0.906	0.032	0.515
2.773	-0.950	0.027	0.397
2.674	-0.986	0.032	0.605
2.575	-1.047	0.026	0.424
2.476	-1.097	0.029	0.543
2.377	-1.187	0.028	0.562
2.278	-1.283	0.033	0.845
2.179	-1.395	0.033	0.951
2.080	-1.515	0.034	1.087
1.981	-1.633	0.035	1.283
1.882	-1.723	0.028	0.876
1.783	-1.829	0.020	0.529
1.684	-1.867	0.015	0.321
1.585	-1.903	0.013	0.260
1.486	-1.928	0.011	0.242
1.387	-1.950	0.009	0.161
1.288	-1.966	0.007	0.106
1.189	-1.979	0.006	0.113
1.090	-1.986	0.005	0.085
0.991	-1.993	0.003	0.042
0.892	-1.996	0.002	0.031
0.793	-1.998	0.002	0.012
0.694	-1.999	0.001	0.008
0.595	-2.000	0.001	0.006
0.496	-2.000	0.000	0.000
0.397	-2.000	0.000	0.000
0.298	-2.000	0.000	0.000
0.199	-2.000	0.000	0.000
