T	<e>	d<e>	cv
10.000	-0.255	0.010	0.015
9.901	-0.259	0.010	0.018
9.802	-0.268	0.013	0.029
9.703	-0.267	0.012	0.023
9.604	-0.268	0.010	0.017
9.505	-0.274	0.013	0.033
9.406	-0.280	0.012	0.026
9.307	-0.284	0.011	0.022
9.208	-0.278	0.010	0.019
9.109	-0.282	0.013	0.035
9.010	-0.284	0.011	0.025
8.911	-0.286	0.013	0.034
8.812	-0.292	0.011	0.024
8.713	-0.294	0.012	0.029
8.614	-0.297	0.009	0.019
8.515	-0.302	0.012	0.033
8.416	-0.305	0.014	0.048
8.317	-0.311	0.012	0.032
8.218	-0.309	0.011	0.030
8.119	-0.315	0.012	0.036
8.020	-0.317	0.013	0.043
7.921	-0.326	0.011	0.033
7.822	-0.326	0.009	0.022
7.723	-0.332	0.012	0.037
7.624	-0.334	0.008	0.019
7.525	-0.340	0.014	0.058
7.426	-0.346	0.011	0.034
7.327	-0.344	0.010	0.029
7.228	-0.348	0.013	0.051
7.129	-0.353	0.012	0.046
7.030	-0.361	0.013	0.058
6.931	-0.359	0.011	0.044
6.832	-0.368	0.010	0.035
6.733	-0.372	0.009	0.026
6.634	-0.378	0.012	0.053
6.535	-0.383	0.011	0.043
6.436	-0.391	0.011	0.048
6.337	-0.395	0.012	0.058
6.238	-0.402	0.014	0.086
6.139	-0.407	0.015	0.098
6.040	-0.414	0.012	0.069
5.941	-0.423	0.012	0.071
5.842	-0.427	0.011	0.061
5.743	-0.440	0.011	0.058
5.644	-0.441	0.009	0.037
5.545	-0.448	0.011	0.065
5.446	-0.455	0.014	0.107
5.347	-0.464	0.012	0.077
5.248	-0.472	0.010	0.055
5.149	-0.481	0.011	0.073
5.050	-0.492	0.010	0.061
4.951	-0.500	0.012	0.104
4.852	-0.512	0.013	0.122
4.753	-0.522	0.011	0.092
4.654	-0.534	0.013	0.121
4.555	-0.542	0.013	0.130
4.456	-0.556	0.016	0.224
4.357	-0.571	0.013	0.138
4.258	-0.579	0.010	0.096
4.159	-0.598	0.013	0.154
4.060	-0.615	0.011	0.131
3.961	-0.628	0.010	0.105
3.862	-0.646	0.013	0.194
3.763	-0.661	0.012	0.156
3.664	-0.678	0.012	0.174
3.565	-0.703	0.014	0.238
3.466	-0.729	0.014	0.255
3.367	-0.747	0.015	0.329
3.268	-0.770	0.011	0.177
3.169	-0.807	0.014	0.332
3.070	-0.829	0.013	0.304
2.971	-0.866	0.014	0.383
2.872	-0.901	0.016	0.525
2.773	-0.935	0.012	0.306
2.674	-0.989	0.016	0.598
2.575	-1.038	0.017	0.734
2.476	-1.107	0.019	0.983
2.377	-1.169	0.022	1.430
2.278	-1.268	0.015	0.717
2.179	-1.344	0.019	1.268
2.080	-1.437	0.016	1.008
1.981	-1.526	0.019	1.509
1.882	-1.630	0.018	1.530
1.783	-1.690	0.010	0.507
1.684	-1.750	0.010	0.612
1.585	-1.794	0.008	0.449
1.486	-1.826	0.005	0.159
1.387	-1.848	0.006	0.272
1.288	-1.872	0.003	0.111
1.189	-1.889	0.003	0.099
1.090	-1.903	0.003	0.092
0.991	-1.913	0.002	0.052
0.892	-1.921	0.002	0.088
0.793	-1.926	0.001	0.025
0.694	-1.931	0.001	0.024
0.595	-1.934	0.001	0.022
0.496	-1.937	0.001	-0.016
0.397	-1.938	0.000	-0.025
0.298	-1.938	0.000	-0.044
0.199	-1.938	0.000	-0.099
