T	<m>	d<m>	suscep
4.100	-0.003	0.062	979.394
4.060	-0.000	0.063	1032.499
4.020	-0.001	0.063	1049.708
3.980	0.004	0.066	1135.331
3.940	-0.002	0.064	1103.825
3.900	-0.001	0.067	1213.297
3.860	-0.002	0.068	1240.045
3.820	-0.001	0.068	1272.473
3.780	-0.001	0.068	1294.080
3.740	-0.000	0.072	1462.363
3.700	0.005	0.072	1484.039
3.660	-0.000	0.073	1525.890
3.620	0.001	0.073	1538.322
3.580	0.001	0.075	1668.846
3.540	-0.001	0.077	1755.070
3.500	0.001	0.076	1722.342
3.460	-0.002	0.078	1840.103
3.420	0.000	0.079	1899.526
3.380	-0.001	0.084	2182.742
3.340	-0.001	0.082	2126.589
3.300	-0.004	0.089	2501.428
3.260	0.004	0.090	2597.268
3.220	0.000	0.091	2724.908
3.180	-0.008	0.092	2768.921
3.140	-0.000	0.094	2931.632
3.100	-0.005	0.102	3509.769
3.060	-0.003	0.098	3294.121
3.020	-0.009	0.103	3709.089
2.980	-0.001	0.113	4468.368
2.940	0.003	0.118	4932.763
2.900	0.002	0.119	5162.902
2.860	0.008	0.125	5709.330
2.820	0.000	0.132	6435.197
2.780	-0.011	0.135	6923.676
2.740	-0.014	0.138	7325.967
2.700	-0.019	0.140	7582.604
2.660	0.026	0.170	11452.218
2.620	0.013	0.173	11999.853
2.580	-0.021	0.188	14303.600
2.540	-0.038	0.202	16784.598
2.500	0.040	0.240	24182.020
2.460	0.043	0.279	33159.195
2.420	-0.013	0.330	47167.840
2.380	0.011	0.424	79264.547
2.340	-0.047	0.508	115587.461
2.300	-0.046	0.596	162190.078
2.260	0.652	0.194	17498.963
2.220	0.782	0.085	3382.602
2.180	0.813	0.068	2249.656
2.140	0.844	0.058	1629.527
2.100	0.858	0.068	2320.744
2.060	0.887	0.041	839.108
2.020	0.905	0.028	412.933
1.980	0.917	0.026	369.539
1.940	0.928	0.023	289.433
1.900	0.938	0.020	222.763
1.860	0.946	0.018	179.671
1.820	0.954	0.015	132.143
1.780	0.960	0.013	107.058
1.740	0.965	0.013	103.843
1.700	0.970	0.011	81.654
1.660	0.974	0.010	69.503
1.620	0.978	0.009	56.250
1.580	0.981	0.008	45.372
1.540	0.984	0.007	35.958
1.500	0.987	0.006	25.417
1.460	0.989	0.006	16.567
1.420	0.990	0.005	9.903
1.380	0.992	0.005	2.219
1.340	0.994	0.004	0.140
1.300	0.995	0.004	-2.548
1.260	0.996	0.003	-3.423
1.220	0.997	0.003	-3.330
1.180	0.997	0.002	-2.701
1.140	0.998	0.002	-2.029
1.100	0.998	0.002	-1.080
1.060	0.999	0.002	-1.002
1.020	0.999	0.001	-0.306
0.980	0.999	0.001	-0.191
0.940	1.000	0.001	-0.199
0.900	1.000	0.001	-0.069
0.860	1.000	0.001	-0.145
0.820	1.000	0.000	0.076
0.780	1.000	0.000	0.080
0.740	1.000	0.000	0.084
0.700	1.000	0.000	0.000
0.660	1.000	0.000	0.095
0.620	1.000	0.000	0.000
0.580	1.000	0.000	0.000
0.540	1.000	0.000	0.000
0.500	1.000	0.000	0.000
0.460	1.000	0.000	0.000
0.420	1.000	0.000	0.000
0.380	1.000	0.000	0.000
0.340	1.000	0.000	0.000
0.300	1.000	0.000	0.000
0.260	1.000	0.000	0.000
0.220	1.000	0.000	0.000
0.180	1.000	0.000	0.000
0.140	1.000	0.000	0.000
